Estrato,n,FE,U
BC - BC,6,NA,NA
BCO/P - BCO/P,3190,-0.43,25
BCO/S - BCO/S,780,-0.3,57
BE/P - BE/P,2330,-0.46,19
BE/S - BE/S,1037,-0.48,24
BM/P - BM/P,245,-1.46,52
BM/S - BM/S,102,-0.3,228
EOTL/P - EOTL/P,22,0.41,-311
EOTL/S - EOTL/S,28,-0.09,193
EOTnL/P - EOTnL/P,1,NA,NA
MXL/P - MXL/P,1116,0.15,-51
MXL/S - MXL/S,129,-0.04,324
MXnL/P - MXnL/P,599,-0.06,158
MXnL/S - MXnL/S,58,0.1,-144
P - P,1186,-0.1,110
SC/P - SC/P,660,-0.41,48
SC/S - SC/S,413,-0.66,35
SP/P - SP/P,1436,-0.48,51
SP/S - SP/S,280,-0.63,63
SSC/P - SSC/P,680,-1.36,18
SSC/S - SSC/S,187,-0.63,63
VHL/P - VHL/P,142,-1.03,56
VHL/S - VHL/S,11,-1.03,105
VHnL/P - VHnL/P,49,-0.17,159
