"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","B/Vsa",6451,2235,4329.24156112,258.04,18534.71697592,590.0485023312,35.1056,7023607.65,16.7774049028058,0.115454138702461,0.000318212535690259,0.359771867904645,4.20299125626501
"2","BA/BP/BJ",8330,2436,11875.73299939,333.2,95083.1280838839,1783.2477152752,49.5072,6295300.74,35.6414555804022,0.136781609195402,0.000386955302154477,0.527207863145305,2.89922898753042
"3","BC/BI",14,4,28.65151309,0.56,217.04598950776,4.235983456,0.0832,19738.44,51.1634162321429,0.14,0.000202650260101609,2.42504741114551,9.29002259012391
"4","BG/VP/VPN/SBQ/SG/SMQ",7307,1982,12329.15125517,292.28,116469.604670117,1936.1278480396,45.1856,5854232.25,42.1826715997331,0.147467204843592,0.000338558484761174,0.626544940444391,2.9112145738981
"5","BM/SBP",984,369,1552.86278347,39.36,15463.3128463277,207.3148290732,5.0912,1304506.53,39.4528146206809,0.106666666666667,0.000282865582895932,2.13273824404715,10.5953580207715
"6","BPQ/MJ",8240,2630,11184.662071404,329.6,78063.4622564367,1598.48768671184,46.6368,6576128.37,33.9340475467354,0.12532319391635,0.00039993136569504,0.462917013593255,2.67376694570014
"7","BQ/BQP",13124,4000,11308.11058419,524.96,56444.175940742,1645.5460475808,76.2144,11989915.74,21.540899466988,0.13124,0.000333613687263494,0.275478888523089,2.50657416758629
"8","BS/BB",21,7,30.92387838,0.84,176.690644291309,4.189904134,0.1136,14737.95,36.8141409285714,0.12,0.000474964292862983,6.05101183682213,32.2158358202156
"9","MC",166,57,24.80262069,6.64,50.429849906019,3.5320650944,0.912,1245200.85,3.73533444126506,0.116491228070175,4.57757477438278e-05,0.92129662844363,48.3421610606294
"10","MDM/MKX/VG",3390,957,181.45822834,135.6,226.402476412123,26.8667766336,20.5952,25495404.3,1.33818752463127,0.141692789968652,3.75361766669454e-05,0.102071575661258,14.9500936612894
"11","MDR",1383,396,65.89520841,55.32,140.146564974315,9.7086890044,8.3088,10396964.43,1.19116428796095,0.13969696969697,3.80880402800416e-05,0.205412719067967,33.7996138267716
"12","MET",1198,335,96.70325215,47.92,235.852026748916,14.5468514588,7.3088,3273608.88,2.01801444386477,0.143044776119403,0.000102333544500893,0.300604418609593,29.1962558675464
"13","MK/MSM/MST/MKE",1303,406,404.9626644,52.12,1271.53019262813,57.8378361376,7.4896,3599663.76,7.76981320798158,0.128374384236453,0.000112788312206138,0.551705079642689,13.9172194640259
"14","ML",538,153,55.3182922,21.52,129.328984837519,7.8259652136,3.2608,1780223.85,2.57055261152416,0.140653594771242,8.59442479663442e-05,0.490367651344101,37.3896489153964
"15","MRC",57,16,1.5715344,2.28,2.21295487216896,0.247987584,0.3504,466952.58,0.689269473684211,0.1425,3.42647212699842e-05,0.646588524031719,183.863286492039
"16","MSC",2130,567,324.18462036,85.2,741.036357138114,50.616676484,13.2768,5461691.04,3.80498380704225,0.15026455026455,0.000103814001166935,0.275002933122669,14.1657829902677
"17","MSCC",751,210,151.1596302,30.04,463.235990746462,23.332736792,4.568,2193678.54,5.03194507989348,0.143047619047619,9.57296140573085e-05,0.618937277740639,24.1083128911521
"18","MSN",219,56,34.3883084,8.76,97.7221819808878,5.496133916,1.3872,582787.08,3.92560598173516,0.156428571428571,9.6089981953615e-05,1.00379794286405,50.118223203438
"19","PC/PY/PH/PI/PN/VW/VS/VSI",9276,2939,1859.31128912,371.04,6663.10198530344,248.0122034672,53.0432,32212174.05,5.01108044717551,0.12624702279687,9.1238796718224e-05,0.200072493977012,7.82549975656397
"20","S/Vsa",6357,2107,3891.82495664,254.28,18461.3379747531,539.9683661736,35.5472,9505340.82,15.3052735434954,0.120683436165164,0.000221664855569061,0.398389415348624,5.10179221471776
"21","SAP/SMP",1883,612,2303.09876678,75.32,21531.11648816,338.3382695236,10.7024,2462658.84,30.5775194739777,0.123071895424837,0.000248511888881856,1.38368671067342,8.86934584483843
"22","SAQ",154,48,265.49900708,6.16,2690.05853460653,39.8604728148,0.8896,131600.97,43.1004881623377,0.128333333333333,0.000364738952911973,4.93881783631286,22.4593348518774
"23","SBC/SBK/SBS",3423,1066,2509.87178028,136.92,10437.2884757075,358.8997956544,19.5408,9519603.75,18.3309361691499,0.12844277673546,0.000111979450825356,0.453095455729254,4.84463578419915
"24","SMC/SMS",3685,1097,4474.1913063,147.4,31575.6790463455,674.03325408,21.8032,3309809.94,30.3540794185889,0.13436645396536,0.000331438970782715,0.703453490507266,4.54228514849929
"25","VM/PT",708,220,410.07565528,28.32,3014.87895566783,61.7592519736,4.1376,844942.86,14.4800725734463,0.128727272727273,0.000260372636322414,1.61924892908022,21.9179005139604
