NUMNAL,x_final,y_final,cve_5,cve5_pmn,tipo
166,-115.392778,32.504167,RAS,AGR,remuestreo
170,-115.183204,32.520878,RAS,AGR,teorica
174,-114.972,32.5369,RAS,AGR,remuestreo
341,-115.163763,32.342274,RAS,AGR,teorica
345,-114.952778,32.358611,RAS,AGR,remuestreo
541,-115.144591,32.16395,RAS,AGR,teorica
545,-114.933889,32.18,RAS,AGR,remuestreo
492,-114.939307,32.224779,RAS,AGR,teorica
513,-116.611417,32.042583,RP,AGR,remuestreo
734,-116.59,31.864167,ZU,AH,remuestreo
985,-116.569336,31.685628,RAP,AGR,teorica
1267,-116.338889,31.525,TA,AGR,remuestreo
1553,-116.110435,31.364252,TA,AGR,teorica
2067,-116.079601,31.095981,ML,MXL/P,teorica
2347,-107.72,31.501944,RA,AGR,remuestreo
2339,-108.138889,31.487222,RAS,AGR,remuestreo
2774,-116.048056,30.827222,RA,AGR,remuestreo
2814,-112.305634,31.102051,RA,AGR,teorica
4102,-116.007528,30.469167,MRC,MXL/P,remuestreo
2122,-111.832806,30.713306,ZU,AH,remuestreo
2319,-111.832806,30.713306,ZU,AH,remuestreo
2538,-111.832778,30.713306,ZU,AH,remuestreo
2826,-111.832778,30.713306,ZU,AH,remuestreo
4828,-111.845,30.5886,RAP,AGR,remuestreo
4820,-112.260278,30.563611,RAP,AGR,remuestreo
4836,-111.430612,30.612913,PC,P,teorica
5495,-112.453,30.3708,PC,P,remuestreo
5511,-111.624225,30.421529,RA,AGR,teorica
7264,-111.795528,29.959694,PC,P,remuestreo
1956,-106.469444,31.719722,ZU,AH,remuestreo
2375,-106.253,31.5458,RAS,AGR,remuestreo
2934,-106.038279,31.37152,RAS,AGR,teorica
2926,-106.456389,31.360833,RAS,AGR,remuestreo
6260,-108.916,30.3764,RAS,AGR,remuestreo
6280,-107.878,30.4167,RAS,AGR,remuestreo
7005,-106.8325,30.270278,RA,AGR,remuestreo
6957,-109.319722,30.178611,RAS,AGR,remuestreo
7687,-108.275261,30.041557,TA,AGR,teorica
60,-116.349722,32.515556,ML,MXL/P,remuestreo
150,-116.234976,32.435239,ML,MXL/P,teorica
62,-116.244,32.5244,ML,MXL/P,remuestreo
66,-116.034167,32.541667,ML,MXL/P,remuestreo
158,-115.813611,32.470278,MDM,MXnL/P,remuestreo
162,-115.604043,32.487267,MDM,MXnL/P,teorica
329,-115.794048,32.291996,MDM,MXnL/P,teorica
337,-115.374037,32.325883,MDM,MXnL/P,teorica
529,-115.773773,32.113388,MDM,MXnL/P,teorica
537,-115.355872,32.148948,MDM,MXnL/P,teorica
750,-115.753772,31.935064,MDM,MXnL/P,teorica
754,-115.543611,31.951944,MDM,MXnL/P,remuestreo
1001,-115.73349,31.756461,MDM,MXnL/P,teorica
