folio,sitio,tipificacion,carbono_arboles
54,1,Inicial,0
54,2,Monitoreo,NULL
54,3,Monitoreo,NULL
54,4,Monitoreo,NULL
58,1,Inicial,0
58,2,Inicial,0
58,3,Monitoreo,NULL
58,4,Monitoreo,NULL
60,1,Inicial,0.00471768
60,2,Inicial,0
60,3,Inicial,0
60,4,Inicial,0
62,1,Inicial,0
62,2,Inicial,0
62,3,Inicial,0
62,4,Inicial,0
64,1,Inicial,0
64,2,Inicial,0
64,3,Inicial,0
64,4,Inicial,0.0277909
66,1,Inicial,0
66,2,Monitoreo,NULL
66,3,Monitoreo,NULL
66,4,Monitoreo,NULL
104,1,Inicial,0
104,2,Inicial,0
104,3,Inicial,0
104,4,Inicial,0
113,1,Monitoreo,NULL
113,2,Monitoreo,NULL
113,3,Monitoreo,NULL
113,4,Monitoreo,NULL
138,1,Reemplazo,0
138,2,Reemplazo,0
138,3,Reemplazo,0
138,4,Reemplazo,0
139,1,Inicial,0
139,2,Inicial,0
139,3,Monitoreo,NULL
139,4,Inicial,0
141,1,Inicial,0
141,2,Inicial,0
141,3,Inicial,0
141,4,Inicial,0
142,1,Inicial,0
142,2,Monitoreo,NULL
142,3,Monitoreo,NULL
142,4,Monitoreo,NULL
146,1,Inicial,0
146,2,Inicial,0
146,3,Inicial,0
146,4,Inicial,0
148,1,Inicial,0
148,2,Inicial,0
148,3,Inicial,0
148,4,Inicial,0
150,1,Inicial,0
150,2,Inicial,0
150,3,Inicial,0
150,4,Inicial,0
152,1,Inicial,0
152,2,Inicial,0
152,3,Inicial,0
152,4,Inicial,0
153,1,Inicial,0.40577453
153,2,Inicial,0.221229
153,3,Inicial,0.26041831
153,4,Inicial,0.2831125
154,1,Inicial,0.071302
154,2,Inicial,0.02878631
154,3,Inicial,0
154,4,Inicial,0.066802
155,1,Inicial,0.04951871
155,2,Inicial,0.05075444
155,3,Inicial,0.05732473
155,4,Inicial,0.17565564
156,1,Inicial,0.0343123
156,2,Inicial,0
156,3,Inicial,0.1247204
156,4,Inicial,1.299433
158,1,Inicial,0
158,2,Inicial,0
158,3,Inicial,0
158,4,Inicial,0
162,1,Monitoreo,NULL
162,2,Monitoreo,NULL
162,3,Monitoreo,NULL
162,4,Monitoreo,NULL
166,1,Monitoreo,NULL
166,2,Monitoreo,NULL
166,3,Monitoreo,NULL
166,4,Monitoreo,NULL
170,1,Monitoreo,NULL
170,2,Monitoreo,NULL
170,3,Monitoreo,NULL
170,4,Monitoreo,NULL
174,1,Monitoreo,NULL
174,2,Monitoreo,NULL
174,3,Monitoreo,NULL
174,4,Monitoreo,NULL
197,1,Inicial,0.44667221
197,2,Inicial,0.9586136
197,3,Inicial,0.51954625
197,4,Inicial,0.19477997
198,1,Inicial,0.0200205
198,2,Inicial,0.064089
198,3,Inicial,0
198,4,Inicial,0.00572994
199,1,Inicial,0.08120736
199,2,Inicial,0.16368803
199,3,Inicial,0.77397382
199,4,Inicial,1.62362751
223,1,Inicial,0
223,2,Inicial,0
223,3,Inicial,0
223,4,Inicial,0
225,1,Inicial,0
225,2,Inicial,0
225,3,Inicial,0
225,4,Inicial,0
227,1,Monitoreo,NULL
227,2,Monitoreo,NULL
227,3,Monitoreo,NULL
227,4,Monitoreo,NULL
229,1,Inicial,0.0497904
229,2,Inicial,0
229,3,Inicial,0.139324
229,4,Inicial,0.0922955
231,1,Inicial,0
231,2,Inicial,0
231,3,Inicial,0
231,4,Inicial,0
233,1,Reemplazo,0
233,2,Reemplazo,0
233,3,Reemplazo,0
233,4,Reemplazo,0
235,1,Inicial,0.00441871
235,2,Inicial,0.01624987
235,3,Inicial,0
235,4,Inicial,0
237,1,Inicial,0
237,2,Inicial,0.6322941
237,3,Inicial,0
237,4,Inicial,0.279946
238,1,Inicial,1.2931564
238,2,Inicial,0.99699283
238,3,Monitoreo,NULL
238,4,Inicial,0.09540936
239,1,Inicial,0.5092016
239,2,Inicial,0.1874742
239,3,Inicial,0
239,4,Inicial,0.89134086
240,1,Inicial,0
240,2,Inicial,0.39639534
240,3,Inicial,0.06903023
240,4,Inicial,0.2146519
241,1,Inicial,0.43276723
241,2,Inicial,0.8931658
241,3,Inicial,0.7309251
241,4,Inicial,1.34759
279,1,Inicial,0
279,2,Inicial,0.1509036
279,3,Inicial,0.0420043
279,4,Inicial,0.0418515
281,1,Inicial,0.07757126
281,2,Inicial,0.3340444
281,3,Inicial,0.2199546
281,4,Inicial,0.7817507
282,1,Inicial,0.03005621
282,2,Inicial,0.1874616
282,3,Inicial,0.01583283
282,4,Inicial,0.20451564
283,1,Inicial,0.187516
283,2,Inicial,0.12630462
283,3,Inicial,0.21398294
283,4,Inicial,0.76177015
309,1,Monitoreo,NULL
309,2,Monitoreo,NULL
309,3,Monitoreo,NULL
309,4,Monitoreo,NULL
311,1,Reemplazo,0
311,2,Reemplazo,0
311,3,Reemplazo,0
311,4,Reemplazo,0
313,1,Inicial,0.02857219
313,2,Inicial,1.239889
313,3,Inicial,0
313,4,Inicial,0
317,1,Inicial,0
317,2,Inicial,0
317,3,Inicial,0
317,4,Inicial,0
319,1,Monitoreo,NULL
319,2,Monitoreo,NULL
319,3,Monitoreo,NULL
319,4,Monitoreo,NULL
321,1,Reemplazo,0
321,2,Reemplazo,0
321,3,Reemplazo,0
321,4,Reemplazo,0
323,1,Inicial,0
323,2,Inicial,0
323,3,Inicial,0
323,4,Inicial,0.01248285
324,1,Inicial,0.0569806
324,2,Inicial,0.15034393
324,3,Inicial,0.10675381
324,4,Inicial,0
325,1,Inicial,0.05225354
325,2,Inicial,0.1820569
325,3,Inicial,0.10453823
325,4,Inicial,0.08156636
326,1,Inicial,0
326,2,Inicial,0
326,3,Inicial,0.0121624
326,4,Inicial,0.0798365
327,1,Monitoreo,NULL
327,2,Monitoreo,NULL
327,3,Monitoreo,NULL
327,4,Monitoreo,NULL
329,1,Inicial,0
329,2,Inicial,0
329,3,Inicial,0
329,4,Inicial,0
333,1,Monitoreo,NULL
333,2,Monitoreo,NULL
333,3,Monitoreo,NULL
333,4,Monitoreo,NULL
337,1,Monitoreo,NULL
337,2,Monitoreo,NULL
337,3,Monitoreo,NULL
337,4,Monitoreo,NULL
341,1,Monitoreo,NULL
341,2,Monitoreo,NULL
341,3,Monitoreo,NULL
341,4,Monitoreo,NULL
345,1,Monitoreo,NULL
345,2,Monitoreo,NULL
345,3,Monitoreo,NULL
345,4,Monitoreo,NULL
349,1,Inicial,0
349,2,Inicial,0
349,3,Inicial,0
349,4,Inicial,0
353,1,Inicial,0
353,2,Inicial,0
353,3,Inicial,0
353,4,Inicial,0
373,1,Inicial,0.2872888
373,2,Inicial,0
373,3,Inicial,0.1530567
373,4,Inicial,0
374,1,Monitoreo,NULL
374,2,Monitoreo,NULL
374,3,Monitoreo,NULL
374,4,Monitoreo,NULL
405,1,Inicial,0
405,2,Inicial,0
405,3,Inicial,0
405,4,Inicial,0
407,1,Inicial,0
407,2,Inicial,0
407,3,Inicial,0
407,4,Inicial,0
409,1,Inicial,0
409,2,Inicial,0
409,3,Inicial,0
409,4,Inicial,0
413,1,Reemplazo,0
413,2,Reemplazo,0
413,3,Reemplazo,0
413,4,Reemplazo,0
415,1,Inicial,0
415,2,Inicial,0
415,3,Inicial,0
415,4,Inicial,0
417,1,Inicial,0
417,2,Inicial,0
417,3,Inicial,0
417,4,Inicial,0
419,1,Inicial,3.383011
419,2,Inicial,0.808354
419,3,Inicial,1.72334
419,4,Inicial,2.924276
420,1,Reemplazo,0.224116
420,2,Reemplazo,1.21415759
420,3,Reemplazo,0.242305
420,4,Reemplazo,0.758353
421,1,Inicial,0
421,2,Inicial,0.1574452
421,3,Inicial,0
421,4,Inicial,0
423,1,Inicial,0.01215342
423,2,Inicial,0
423,3,Inicial,2.35553845
423,4,Inicial,0.00607671
473,1,Inicial,0
473,2,Inicial,0
473,3,Inicial,0
473,4,Inicial,0.761469
475,1,Monitoreo,NULL
475,2,Monitoreo,NULL
475,3,Monitoreo,NULL
475,4,Monitoreo,NULL
489,1,Reemplazo,0.2382211
489,2,Reemplazo,0
489,3,Reemplazo,0.2683564
489,4,Reemplazo,0.0371303
492,1,Inicial,0
492,2,Monitoreo,NULL
492,3,Monitoreo,NULL
492,4,Monitoreo,NULL
509,1,Inicial,0
509,2,Inicial,0
509,3,Inicial,0
509,4,Inicial,0
510,1,Inicial,0
510,2,Inicial,0
510,3,Inicial,0
510,4,Inicial,0
511,1,Inicial,0
511,2,Inicial,0
511,3,Inicial,0.01034393
511,4,Inicial,0
513,1,Monitoreo,NULL
513,2,Monitoreo,NULL
513,3,Monitoreo,NULL
513,4,Monitoreo,NULL
515,1,Inicial,0
515,2,Inicial,0
515,3,Inicial,0
515,4,Inicial,0
517,1,Monitoreo,NULL
517,2,Monitoreo,NULL
517,3,Monitoreo,NULL
517,4,Monitoreo,NULL
519,1,Monitoreo,NULL
519,2,Monitoreo,NULL
519,3,Monitoreo,NULL
519,4,Monitoreo,NULL
521,1,Inicial,0
521,2,Inicial,0
521,3,Inicial,0
521,4,Inicial,0
523,1,Reemplazo,0.02048956
523,2,Reemplazo,0.0808036
523,3,Reemplazo,0.0123774
523,4,Reemplazo,0.00503566
525,1,Reemplazo,0.0247483
525,2,Reemplazo,0
525,3,Reemplazo,0.3361882
525,4,Reemplazo,0
526,1,Inicial,2.2015817
526,2,Inicial,5.5891099
526,3,Inicial,3.64831717
526,4,Inicial,0.00804693
527,1,Inicial,0.0197686
527,2,Inicial,0.02729964
527,3,Inicial,0.00641472
527,4,Inicial,0.00448884
528,1,Inicial,0.0153981
528,2,Inicial,0.59899586
528,3,Inicial,0.022777
528,4,Inicial,0.452293
529,1,Monitoreo,NULL
529,2,Monitoreo,NULL
529,3,Monitoreo,NULL
529,4,Monitoreo,NULL
533,1,Inicial,0
533,2,Inicial,0
533,3,Inicial,0
533,4,Inicial,0
537,1,Reemplazo,0
537,2,Reemplazo,0
537,3,Reemplazo,0.00871294
537,4,Reemplazo,0
541,1,Monitoreo,NULL
541,2,Monitoreo,NULL
541,3,Monitoreo,NULL
541,4,Monitoreo,NULL
545,1,Inicial,0
545,2,Monitoreo,NULL
545,3,Monitoreo,NULL
545,4,Monitoreo,NULL
549,1,Monitoreo,NULL
549,2,Monitoreo,NULL
549,3,Monitoreo,NULL
549,4,Monitoreo,NULL
553,1,Monitoreo,NULL
553,2,Monitoreo,NULL
553,3,Monitoreo,NULL
553,4,Monitoreo,NULL
557,1,Inicial,0
557,2,Inicial,0
