NUMNAL,ANIO_M,SITIOS_M,TIP_M,CUB_VEG_M,CVE_UNION,CLAVEFOT,W84_XFIN14,W84_YFIN14,cve_4,cve4_pmn,,
166,0,0,Monitoreo,No definido,RAS,RAS,-115.393489,32.504217,RAS,AGR,,
170,0,0,Monitoreo,No definido,RAS,RAS,-115.183204,32.520878,RAS,AGR,,
174,0,0,Monitoreo,No definido,RAS,RAS,-114.97264,32.536989,RAS,AGR,,
341,0,0,Monitoreo,No definido,RAS,RAS,-115.163763,32.342274,RAS,AGR,,
345,0,0,Monitoreo,No definido,RAS,RAS,-114.953478,32.358665,RAS,AGR,,
541,0,0,Monitoreo,No definido,RAS,RAS,-115.144591,32.16395,RAS,AGR,,
545,2005,1,Inicial,Sin cubierta vegetal,RAS,RAS,-114.934587,32.180061,RAS,AGR,,
492,2005,1,Inicial,Sin cubierta vegetal,RAS,RAS,-114.939307,32.224779,RAS,AGR,,
513,0,0,Monitoreo,No definido,RP,RP,-116.61212,32.042556,RP,AGR,,
734,0,0,Monitoreo,No definido,ZU,ZU,-116.590728,31.864232,ZU,AH,,
985,0,0,Monitoreo,No definido,RAP,RAP,-116.569336,31.685628,RAP,AGR,,
1267,0,0,Monitoreo,No definido,TA,TA,-116.339611,31.525075,TA,AGR,,
1553,0,0,Monitoreo,No definido,TA,TA,-116.110435,31.364252,TA,AGR,,
2067,2005,4,Inicial,Con cubierta vegetal,RAP,RAP,-116.079601,31.095981,ML,MXL/P,,
2347,0,0,Monitoreo,No definido,RA,RA,-107.720537,31.502058,RA,AGR,,
2339,2005,1,Inicial,Sin cubierta vegetal,RAS,RAS,-108.139436,31.487337,RAS,AGR,,
2774,0,0,Monitoreo,No definido,RA,RA,-116.048769,30.827322,RA,AGR,,
2814,0,0,Monitoreo,No definido,RA,RA,-112.305634,31.102051,RA,AGR,,
4102,2005,4,Inicial,Con cubierta vegetal,MRC,MRC,-116.008206,30.469282,MRC,MXL/P,,
4828,0,0,Monitoreo,No definido,RAP,RAP,-111.8459,30.588742,RAP,AGR,,
4820,0,0,Monitoreo,No definido,RAP,RAP,-112.260909,30.563741,RAP,AGR,,
4836,0,0,Monitoreo,No definido,PC,PC,-111.430612,30.612913,PC,P,,
5495,0,0,Monitoreo,No definido,PC,PC,-112.453412,30.370967,PC,P,,
5511,0,0,Monitoreo,No definido,RA,RA,-111.624225,30.421529,RA,AGR,,
7264,2005,4,Inicial,Con cubierta vegetal,PC,PC,-111.796198,29.959849,PC,P,,
1956,0,0,Monitoreo,No definido,ZU,ZU,-106.46995,31.719836,ZU,AH,,
2375,0,0,Monitoreo,No definido,RAS,RAS,-106.253835,31.545953,RAS,AGR,,
2934,0,0,Monitoreo,No definido,RAS,RAS,-106.038279,31.37152,RAS,AGR,,
2926,2005,4,Inicial,Con cubierta vegetal,RAS,RAS,-106.456897,31.360961,RAS,AGR,,
6260,0,0,Monitoreo,No definido,RAS,RAS,-108.916117,30.376542,RAS,AGR,,
6280,0,0,Monitoreo,No definido,RAS,RAS,-107.878314,30.416825,RAS,AGR,,
7005,0,0,Monitoreo,No definido,RA,RA,-106.833011,30.270445,RA,AGR,,
6957,0,0,Monitoreo,No definido,RAS,RAS,-109.320284,30.178768,RAS,AGR,,
7687,0,0,Monitoreo,No definido,TA,TA,-108.275261,30.041557,TA,AGR,,
60,2005,4,Inicial,Con cubierta vegetal,ML,ML,-116.350451,32.515597,VSa/ML,MXL/S,,
150,2004,4,Inicial,Con cubierta vegetal,ML,ML,-116.234976,32.435239,VSa/ML,MXL/S,,
62,2004,4,Inicial,Con cubierta vegetal,ML,ML,-116.245198,32.524486,VSa/ML,MXL/S,,
66,2004,1,Inicial,Con cubierta vegetal,ML,ML,-116.034889,32.541709,VSa/ML,MXL/S,,
