"","Estrato","TotUMPreal","SumYi","SumAi","SumYi2","SumYiAi","SumAi2","PromAi","cves2_pmn","cves3_pmn","cves4_pmn","cves5_pmn","f","EstRasonHa","VarEstRasonHa","U"
"4","BC",8,41.34834062,1.12,322.890744978176,6.4304414264,0.1696,0.14,10596.3,31978.6,37350.7,59741.1,0.000214186079511227,36.9181612678571,72.1848134541509,45.1064790521689
"5","BCO/P",4404,22367.34319889,672,192927.591167155,3485.617136254,104.8832,0.152588555858311,14073498.5,13191853.5,12916771.5,12946846.9,0.000340952071498671,33.2847369031101,0.170689065891251,2.43284137817585
"6","BCO/S",1137,4011.29000433,168.12,105301.95949604,621.6671541844,25.9664,0.147862796833773,3007713.6,3684114.7,3920676.8,3912800.7,0.00029000095085624,23.8596835851178,3.20092500332423,14.6970151147266
"7","BE/P",3365,10819.6611175,510.24,143188.787479898,1678.748161906,79.296,0.151631500742942,11738564,10910566.4,10708651.8,10689829.8,0.000314231899855031,21.2050429552759,0.413477913993276,5.94351103117913
"8","BE/S",1466,3293.85195305,219.08,29558.3095157852,512.611175162,33.9536,0.149440654843111,4058164.8,4698940.3,4920073.4,4884711.4,0.000297963034453917,15.0349276659211,0.454781888310138,8.79136494238911
"9","BM/P",357,2291.75063575,45.8,48088.2891675815,324.2747338004,6.5392,0.128291316526611,1320739.7,1263362.4,1300704,1319183.2,0.000274466750313676,50.0382234879913,15.2982082419487,15.320554109509
"10","BM/S",160,814.18401886,22.12,89681.6260124411,125.1688002872,3.3328,0.13825,493321.6,560248.7,541573.1,534972.3,0.000295435648484018,36.8075957893309,174.724648564068,70.3875272014477
"11","EOTL/P",32,41.99733245,4.92,235.319453681519,6.44267773,0.7728,0.15375,350886.3,262201.4,270230.5,256911.7,0.000118417425124107,8.53604318089431,7.74489151225031,63.9009238944342
"12","EOTL/S",31,27.61010551,4.8,64.3938176866335,4.4091110364,0.7584,0.154838709677419,164614.1,155765.8,157748.2,152651.1,0.00019651571301606,5.75210531458333,1.73818072282817,44.9238229545777
"13","EOTnL/P",2,0,0.32,0,0,0.0512,0.16,169954.3,156443.3,154700,151927,1.29282482223659e-05,0,0,NA
"15","MXL/P",1484,387.25190409,232.44,562.443372643368,61.3089582932,36.8304,0.156630727762803,19100046.4,18576183.4,18501770.3,18519595.4,8.02085409091907e-05,1.66602953058854,0.0085262686097847,10.8630775900382
"16","MXL/S",198,36.76641434,30.68,40.7254489965601,5.8731468788,4.8592,0.154949494949495,2567468.3,2487824,2437423.9,2129570.2,8.12333053762212e-05,1.19838377900913,0.035904169428554,30.9907860465633
"17","MXnL/P",782,29.74620848,125.12,15.4625012789019,4.7593933568,20.0192,0.16,35199691.3,34741622.5,34105690.3,33961115.6,2.2928725181088e-05,0.237741436061381,0.000916576403937768,24.9594795914519
"18","MXnL/S",72,4.82004127,11.52,5.99596173898316,0.7712066032,1.8432,0.16,2492233.5,2531541.3,2660600.2,2830534.7,2.70615630262675e-05,0.418406360243056,0.0433502853519487,97.5334920866964
"21","P",796,1334.89757323,127.36,6743.7069362335,213.5836117168,20.3776,0.16,30548009.7,31549662.9,31116487,31069662.5,2.5581293929485e-05,10.4812937596577,0.278080600152744,9.86112636858732
"22","SC/P",939,1704.424217393,139.8,5947.46467215257,261.03261642248,21.5216,0.14888178913738,11310999.5,10980787,10896213.7,10799372.6,8.61767239385182e-05,12.1918756608941,0.142460091999227,6.06781256206124
"23","SC/S",613,746.938979604,91.72,2053.36186760083,115.18747627464,14.1936,0.149624796084829,7501794.4,6812025.5,6799071.2,6652584.7,9.01593735332555e-05,8.14368708682948,0.133170130088391,8.78290945179127
"24","SP/P",2375,22586.87007748,361.2,334537.468415614,3578.0652494336,56.6944,0.152084210526316,8426599.4,7933957.5,8162564.8,8423255,0.00029096246807131,62.5328628944629,0.833582801500452,2.8616870097164
"25","SP/S",585,2368.37124515,82.4,23755.8517192283,372.8285015692,12.64,0.140854700854701,2550531.8,2576898.3,2122608.4,1837438.7,0.0002756042989371,28.7423694799757,1.88290055290142,9.35722763887974
"26","SSC/P",993,6685.31403517,153.04,73082.9862336038,1054.9653245984,24.0864,0.154118831822759,2561134.4,2906668,2990571.9,3352144.4,0.000332043513148773,43.6834424671328,1.14830889266816,4.80804562136729
"27","SSC/S",491,1749.18567805,73.92,13047.4765095189,273.7234515596,11.5488,0.150549898167006,2151626.5,1859838.8,1451458.9,931251.4,0.000338280332980837,23.6632261640963,1.20256423465976,9.08314523684881
"28","VHL/P",246,752.59692556,36.76,8481.13916592589,119.2533485704,5.736,0.149430894308943,1159748.7,1088865.7,1097953.5,1106932.2,0.000224053204438986,20.4732569521219,4.45908310047464,20.2158458453932
"29","VHL/S",17,39.11150897,2.64,288.711563167051,6.0843968452,0.4128,0.155294117647059,9019.8,45603.5,78105.8,78956.3,0.000217653490521831,14.8149655189394,30.3356814975082,72.8672373610023
"30","VHnL/P",101,58.04634688,16.16,279.525221000332,9.2874155008,2.5856,0.16,1525027.1,1482089.1,1428189.4,1431551.4,7.07189116513538e-05,3.59197691089109,0.951994239000483,53.2402020659022
