"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","BC",21,6,0.491593549045879,0.84,0.623006748112308,0.0203841342610884,0.1296,34995,0.585230415530808,0.14,0.000171453064723532,1.04606883670916,350.339774820201
"2","BCO/P",13322,3536,263.034626567435,532.88,778.366867598101,39.7495325571637,82.3808,12834391,0.493609492882891,0.150701357466063,0.000275509761234483,0.0517070241597209,20.5315677300188
"3","BCO/S",3220,892,50.4408039593458,128.8,106.65923797281,7.81871178842056,19.4176,3859934,0.391621148752684,0.144394618834081,0.000231092034216129,0.0790270246305993,39.5517373791762
"4","BE/P",9671,2613,160.215850705173,386.84,288.233739526963,24.3103764611295,59.1248,10623200,0.414165677554475,0.148044393417528,0.000245971082159801,0.0431228030807904,20.4074597724801
"5","BE/S",4388,1209,81.9173032596654,175.52,107.277172297028,12.4257520247449,26.6496,4832913,0.466712074177674,0.145177832919768,0.000250159686300995,0.0574111773881993,24.1103485225096
"6","BM/P",796,247,32.88213572751,31.84,139.903997164528,4.72041206502189,4.5216,1293356,1.03273039345195,0.128906882591093,0.000190976034440634,0.365591118244951,69.3848652371868
"7","BM/S",384,115,4.53819663806955,15.36,35.6231862550076,0.777067075449028,2.256,527074,0.295455510290986,0.133565217391304,0.000218185681706933,0.388794238029102,257.919273797443
"8","EOTL/P",103,27,-1.73092159583295,4.12,5.72878796842994,-0.187041557118411,0.6416,248857,-0.420126600930328,0.152592592592593,0.000108496043912769,0.5897049637918,-275.112722325241
"9","EOTL/S",85,24,0.0977956415341248,3.4,0.129089141661616,0.0202228823780423,0.5104,149566,0.0287634239806249,0.141666666666667,0.000160464276640413,0.1076273342639,733.395215045816
"10","EOTnL/P",11,3,0.0486267600835932,0.44,0.00258968477652918,0.00786884164905567,0.0656,136465,0.110515363826348,0.146666666666667,2.19836588136152e-05,0.113121829185973,200.622589953096
"11","MXL/P",4780,1253,-15.6708955673807,191.2,6.85652897424171,-2.40925696500844,29.8688,17895779,-0.0819607508754222,0.152593774940144,7.00165105972755e-05,0.0135045649027714,-32.294661684669
"12","MXL/S",586,157,0.274691045291841,23.44,0.222536256721732,0.0461495537101707,3.6064,2078332,0.0117189012496519,0.149299363057325,7.5541347580656e-05,0.0201623422085368,337.217541874124
"13","MXnL/P",2873,734,1.15321035879993,114.92,0.825820680552398,0.190765514466149,18.1712,33527336,0.0100348969613639,0.156566757493188,2.18925834131289e-05,0.0079033703366737,154.367363407139
"14","MXnL/S",259,67,-0.43614108915344,10.36,0.0844546523610373,-0.0701922848132404,1.6304,2547388,-0.0420985607290965,0.154626865671642,2.63014507409158e-05,0.0277525819568667,-129.20883681865
"15","P",5463,1486,53.2136806475255,218.52,113.287441606165,7.8685551291481,33.2304,29998266,0.243518582498286,0.147052489905787,4.95361965254925e-05,0.0483211263109014,38.8920658939994
"16","SC/P",2638,715,30.3081099027201,105.52,72.2522180924417,4.48825919028429,16.1152,10620137,0.287226212118272,0.14758041958042,6.73249318723478e-05,0.0799087109440644,54.5288232210067
"17","SC/S",1732,477,22.2069785897417,69.28,26.7126068335171,3.22092970651297,10.48,6512927,0.320539529297657,0.145241090146751,7.32389599944848e-05,0.0732833789770847,44.8105177884955
"18","SP/P",6780,1783,153.367169592846,271.2,617.638707926384,23.5064496060022,42.3808,7888741,0.56551316221551,0.152103196859226,0.000226018321554732,0.0906816135911205,31.4291469260026
"19","SP/S",1174,341,18.6340574504303,46.96,58.1114707842809,2.80411622094251,7.0336,1673248,0.396807015554308,0.137712609970674,0.000203795253303754,0.160982363772988,79.5160923640153
"20","SSC/P",3196,834,142.797245482948,127.84,146.886556990234,22.6311234456181,20.0448,2753921,1.11699972999803,0.153285371702638,0.000302840931166871,0.0862039073441272,15.1262040497349
"21","SSC/S",815,232,14.7973554968433,32.6,24.6994828147195,2.14689958150183,4.8848,841099,0.453906610332617,0.14051724137931,0.000275829599131612,0.149815093076184,64.6911888359914
"22","VHL/P",573,155,20.053524547096,22.92,28.6878141509383,3.14376614361722,3.5376,1039478,0.874935625964048,0.147870967741936,0.000149113304947291,0.222722439227199,49.8934970677772
"23","VHL/S",43,11,0.733337448202453,1.72,0.217678456617742,0.117333991712392,0.2704,74888,0.426358981513054,0.156363636363636,0.000146886016451234,0.2490045790919,114.469026379636
"24","VHnL/P",329,87,1.46930217331278,13.16,1.21996161765226,0.228382969920806,2.0336,1376999,0.111649101315561,0.151264367816092,6.31808737696977e-05,0.0835218398059992,146.622591754747
