clave,clave_vsr,clave_fot_tipo,clave_fot_tipo_vsr,descr_usyv,c_usyv,a_mad_mex_C1,a_mad_mex_C2,a_mad_mex_C3,MAD_MEX_02_ord (C4),MAD_MEX_02 (C4),FAO-FRA_02,IPCC_02,BUR_02_principal,BUR_02
VSa/BS,VSr/BS,BS,BS/VSr,Bosque de Ayarin,Bosque de Ayarin Secundario Arbustivo,1,1,1,1,100,Bosque,Tierras Forestales,BCO_01,BCO_01/S
VSh/BS,VSh/BS,BS,BS/VSh,Bosque de Ayarin,Bosque de Ayarin Secundario  Herbaceo,1,1,1,1,100,Bosque,Tierras Forestales,BCO_01,BCO_01/S
BS,BS,BS,BS,Bosque de Ayarin,Bosque de Ayarin Primario,1,1,1,1,1,Bosque,Tierras Forestales,BCO_01,BCO_01/P
VSA/BS,VSA/BS,BS,BS/VSA,Bosque de Ayarin,Bosque de Ayarin Secundario Arboreo,1,1,1,1,1,Bosque,Tierras Forestales,BCO_01,BCO_01/P
BB,BB,BB,BB,Bosque de Cedro,Bosque de Cedro Primario,1,1,1,1,1,Bosque,Tierras Forestales,BCO_01,BCO_01/P
VSa/BB,VSr/BB,BB,BB/VSr,Bosque de Cedro,Bosque de Cedro Secundario Arbustivo,1,1,1,1,100,Bosque,Tierras Forestales,BCO_01,BCO_01/S
VSA/BB,VSA/BB,BB,BB/VSA,Bosque de Cedro,Bosque de Cedro Secundario Arboreo,1,1,1,1,1,Bosque,Tierras Forestales,BCO_01,BCO_01/P
VSh/BB,VSh/BB,BB,BB/VSh,Bosque de Cedro,Bosque de Cedro Secundario  Herbaceo,1,1,1,1,100,Bosque,Tierras Forestales,BCO_01,BCO_01/S
BA,BA,BA,BA,Bosque de Oyamel,Bosque de Oyamel Primario,1,1,1,1,1,Bosque,Tierras Forestales,BCO_01,BCO_01/P
VSA/BA,VSA/BA,BA,BA/VSA,Bosque de Oyamel,Bosque de Oyamel Secundario Arboreo,1,1,1,1,1,Bosque,Tierras Forestales,BCO_01,BCO_01/P
VSa/BA,VSr/BA,BA,BA/VSr,Bosque de Oyamel,Bosque de Oyamel Secundario Arbustivo,1,1,1,1,100,Bosque,Tierras Forestales,BCO_01,BCO_01/S
VSh/BA,VSh/BA,BA,BA/VSh,Bosque de Oyamel,Bosque de Oyamel Secundario  Herbaceo,1,1,1,1,100,Bosque,Tierras Forestales,BCO_01,BCO_01/S
BP,BP,BP,BP,Bosque de Pino,Bosque de Pino Primario,1,1,1,3,3,Bosque,Tierras Forestales,BCO_03,BCO_03/P
VSA/BP,VSA/BP,BP,BP/VSA,Bosque de Pino,Bosque de Pino Secundario Arboreo,1,1,1,3,3,Bosque,Tierras Forestales,BCO_03,BCO_03/P
VSh/BP,VSh/BP,BP,BP/VSh,Bosque de Pino,Bosque de Pino Secundario  Herbaceo,1,1,1,3,100,Bosque,Tierras Forestales,BCO_03,BCO_03/S
VSa/BP,VSr/BP,BP,BP/VSr,Bosque de Pino,Bosque de Pino Secundario Arbustivo,1,1,1,3,100,Bosque,Tierras Forestales,BCO_03,BCO_03/S
VSa/BPQ,VSr/BPQ,BPQ,BPQ/VSr,Bosque de Pino-Encino,Bosque de Pino-Encino Secundario Arbustivo,1,1,1,3,100,Bosque,Tierras Forestales,BCO_03,BCO_03/S
VSh/BPQ,VSh/BPQ,BPQ,BPQ/VSh,Bosque de Pino-Encino,Bosque de Pino-Encino Secundario  Herbaceo,1,1,1,3,100,Bosque,Tierras Forestales,BCO_03,BCO_03/S
VSA/BPQ,VSA/BPQ,BPQ,BPQ/VSA,Bosque de Pino-Encino,Bosque de Pino-Encino Secundario Arboreo,1,1,1,3,3,Bosque,Tierras Forestales,BCO_03,BCO_03/P
BPQ,BPQ,BPQ,BPQ,Bosque de Pino-Encino,Bosque de Pino-Encino Primario,1,1,1,3,3,Bosque,Tierras Forestales,BCO_03,BCO_03/P
BJ,BJ,BJ,BJ,Bosque de Tascate,Bosque de Tascate Primario,1,1,1,3,3,Bosque,Tierras Forestales,BCO_03,BCO_03/P
VSh/BJ,VSh/BJ,BJ,BJ/VSh,Bosque de Tascate,Bosque de Tascate Secundario  Herbaceo,1,1,1,3,100,Bosque,Tierras Forestales,BCO_03,BCO_03/S
VSa/BJ,VSr/BJ,BJ,BJ/VSr,Bosque de Tascate,Bosque de Tascate Secundario Arbustivo,1,1,1,3,100,Bosque,Tierras Forestales,BCO_03,BCO_03/S
VSA/BJ,VSA/BJ,BJ,BJ/VSA,Bosque de Tascate,Bosque de Tascate Secundario Arboreo,1,1,1,3,3,Bosque,Tierras Forestales,BCO_03,BCO_03/P
VSh/MJ,VSh/MJ,MJ,MJ/VSh,Matorral de Coniferas,Matorral de Coniferas Secundario  Herbaceo,1,1,1,3,100,Bosque,Tierras Forestales,BCO_03,BCO_03/S
VSa/MJ,VSr/MJ,MJ,MJ/VSr,Matorral de Coniferas,Matorral de Coniferas Secundario Arbustivo,1,1,1,3,100,Bosque,Tierras Forestales,BCO_03,BCO_03/S
MJ,MJ,MJ,MJ,Matorral de Coniferas,Matorral de Coniferas Primario,1,1,1,3,3,Bosque,Tierras Forestales,BCO_03,BCO_03/P
BQ,BQ,BQ,BQ,Bosque de Encino,Bosque de Encino Primario,1,2,2,2,2,Bosque,Tierras Forestales,BEG_02,BEG_02/P
VSh/BQ,VSh/BQ,BQ,BQ/VSh,Bosque de Encino,Bosque de Encino Secundario  Herbaceo,1,2,2,2,100,Bosque,Tierras Forestales,BEG_02,BEG_02/S
VSa/BQ,VSr/BQ,BQ,BQ/VSr,Bosque de Encino,Bosque de Encino Secundario Arbustivo,1,2,2,2,100,Bosque,Tierras Forestales,BEG_02,BEG_02/S
VSA/BQ,VSA/BQ,BQ,BQ/VSA,Bosque de Encino,Bosque de Encino Secundario Arboreo,1,2,2,2,2,Bosque,Tierras Forestales,BEG_02,BEG_02/P
VSh/BQP,VSh/BQP,BQP,BQP/VSh,Bosque de Encino-Pino,Bosque de Encino-Pino Secundario  Herbaceo,1,2,2,2,100,Bosque,Tierras Forestales,BEG_02,BEG_02/S
VSa/BQP,VSr/BQP,BQP,BQP/VSr,Bosque de Encino-Pino,Bosque de Encino-Pino Secundario Arbustivo,1,2,2,2,100,Bosque,Tierras Forestales,BEG_02,BEG_02/S
VSA/BQP,VSA/BQP,BQP,BQP/VSA,Bosque de Encino-Pino,Bosque de Encino-Pino Secundario Arboreo,1,2,2,2,2,Bosque,Tierras Forestales,BEG_02,BEG_02/P
BQP,BQP,BQP,BQP,Bosque de Encino-Pino,Bosque de Encino-Pino Primario,1,2,2,2,2,Bosque,Tierras Forestales,BEG_02,BEG_02/P
VSh/BG,VSh/BG,BG,BG/VSh,Bosque de Galeria,Bosque de Galeria Secundario  Herbaceo,1,2,2,2,100,Bosque,Tierras Forestales,BEG_02,BEG_02/S
