combinacion_,Dinamica
ACUI - ACUI,NO APLICA
ACUI - AGR_AN,NO APLICA
ACUI - AH,NO APLICA
ACUI - EOTnL/P,RECUPERACION PRADERA
ACUI - MXnL/P,RECUPERACION PRADERA
ACUI - MXnL/S,RECUPERACION PRADERA
ACUI - OT,NO APLICA
ACUI - SC/P,REFORESTACION
ACUI - SC/S,REFORESTACION
ACUI - VHL/P,REFORESTACION
ACUI - VHL/S,REFORESTACION
ACUI - VHnL/P,RECUPERACION PRADERA
AGR_AN - ACUI,NO APLICA
AGR_AN - AGR_AN,NO APLICA
AGR_AN - AGR_PER,NO APLICA
AGR_AN - AH,NO APLICA
AGR_AN - BC,REFORESTACION
AGR_AN - BCO/P,REFORESTACION
AGR_AN - BCO/S,REFORESTACION
AGR_AN - BE/P,REFORESTACION
AGR_AN - BE/S,REFORESTACION
AGR_AN - BM/P,REFORESTACION
AGR_AN - BM/S,REFORESTACION
AGR_AN - EOTL/P,REFORESTACION
AGR_AN - EOTL/S,REFORESTACION
AGR_AN - EOTnL/P,RECUPERACION PRADERA
AGR_AN - MXL/P,REFORESTACION
AGR_AN - MXL/S,REFORESTACION
AGR_AN - MXnL/P,RECUPERACION PRADERA
AGR_AN - MXnL/S,RECUPERACION PRADERA
AGR_AN - OT,NO APLICA
AGR_AN - P,RECUPERACION PRADERA
AGR_AN - SC/P,REFORESTACION
AGR_AN - SC/S,REFORESTACION
AGR_AN - SP/P,REFORESTACION
AGR_AN - SP/S,REFORESTACION
AGR_AN - SSC/P,REFORESTACION
AGR_AN - SSC/S,REFORESTACION
AGR_AN - VHL/P,REFORESTACION
AGR_AN - VHL/S,REFORESTACION
AGR_AN - VHnL/P,RECUPERACION PRADERA
AGR_AN - VHnL/S,RECUPERACION PRADERA
AGR_PER - ACUI,NO APLICA
AGR_PER - AGR_AN,NO APLICA
AGR_PER - AGR_PER,NO APLICA
AGR_PER - AH,NO APLICA
AGR_PER - BC,REFORESTACION
AGR_PER - BCO/P,REFORESTACION
AGR_PER - BCO/S,REFORESTACION
AGR_PER - BE/P,REFORESTACION
AGR_PER - BE/S,REFORESTACION
AGR_PER - BM/P,REFORESTACION
AGR_PER - BM/S,REFORESTACION
AGR_PER - EOTL/P,REFORESTACION
AGR_PER - EOTL/S,REFORESTACION
AGR_PER - EOTnL/P,RECUPERACION PRADERA
AGR_PER - MXL/P,REFORESTACION
AGR_PER - MXL/S,REFORESTACION
AGR_PER - MXnL/P,RECUPERACION PRADERA
AGR_PER - MXnL/S,RECUPERACION PRADERA
AGR_PER - OT,NO APLICA
AGR_PER - P,RECUPERACION PRADERA
AGR_PER - SC/P,REFORESTACION
AGR_PER - SC/S,REFORESTACION
AGR_PER - SP/P,REFORESTACION
AGR_PER - SP/S,REFORESTACION
AGR_PER - SSC/P,REFORESTACION
AGR_PER - SSC/S,REFORESTACION
AGR_PER - VHL/P,REFORESTACION
AGR_PER - VHL/S,REFORESTACION
AGR_PER - VHnL/P,RECUPERACION PRADERA
AH - AGR_AN,NO APLICA
AH - AGR_PER,NO APLICA
AH - AH,NO APLICA
AH - BC,REFORESTACION
AH - BCO/P,REFORESTACION
AH - BCO/S,REFORESTACION
AH - BE/P,REFORESTACION
AH - BE/S,REFORESTACION
AH - BM/P,REFORESTACION
AH - BM/S,REFORESTACION
AH - EOTL/P,REFORESTACION
AH - EOTL/S,REFORESTACION
AH - EOTnL/P,RECUPERACION PRADERA
AH - MXL/P,REFORESTACION
AH - MXL/S,REFORESTACION
AH - MXnL/P,RECUPERACION PRADERA
AH - MXnL/S,RECUPERACION PRADERA
AH - OT,NO APLICA
AH - P,RECUPERACION PRADERA
AH - SC/P,REFORESTACION
AH - SC/S,REFORESTACION
AH - SP/P,REFORESTACION
AH - SP/S,REFORESTACION
AH - SSC/P,REFORESTACION
AH - SSC/S,REFORESTACION
AH - VHL/P,REFORESTACION
AH - VHL/S,REFORESTACION
AH - VHnL/P,RECUPERACION PRADERA
BC - AGR_AN,DEFORESTACION
BC - AGR_PER,DEFORESTACION
BC - AH,DEFORESTACION
BC - BC,PERMANENCIA
BC - BCO/P,PERMANENCIA
BC - BCO/S,PERMANENCIA
BC - BE/P,PERMANENCIA
BC - BE/S,PERMANENCIA
BC - BM/P,PERMANENCIA
BC - MXL/P,PERMANENCIA
BC - MXL/S,PERMANENCIA
BC - P,DEFORESTACION PRADERA
BC - SP/P,PERMANENCIA
BC - SSC/P,PERMANENCIA
BCO/P - AGR_AN,DEFORESTACION
BCO/P - AGR_PER,DEFORESTACION
BCO/P - AH,DEFORESTACION
BCO/P - BC,PERMANENCIA
BCO/P - BCO/P,PERMANENCIA
BCO/P - BCO/S,DEGRADACION
BCO/P - BE/P,PERMANENCIA
BCO/P - BE/S,PERMANENCIA
BCO/P - BM/P,PERMANENCIA
BCO/P - BM/S,PERMANENCIA
BCO/P - EOTL/P,PERMANENCIA
BCO/P - EOTL/S,PERMANENCIA
BCO/P - MXL/P,PERMANENCIA
BCO/P - MXL/S,PERMANENCIA
BCO/P - MXnL/P,DEFORESTACION PRADERA
BCO/P - MXnL/S,DEFORESTACION PRADERA
BCO/P - OT,DEFORESTACION
BCO/P - P,DEFORESTACION PRADERA
BCO/P - SC/P,PERMANENCIA
BCO/P - SC/S,PERMANENCIA
BCO/P - SP/P,PERMANENCIA
BCO/P - SP/S,PERMANENCIA
BCO/P - SSC/P,PERMANENCIA
BCO/P - SSC/S,PERMANENCIA
BCO/P - VHL/P,PERMANENCIA
BCO/S - AGR_AN,DEFORESTACION
BCO/S - AGR_PER,DEFORESTACION
BCO/S - AH,DEFORESTACION
BCO/S - BC,PERMANENCIA
BCO/S - BCO/P,RECUPERACION
BCO/S - BCO/S,PERMANENCIA
BCO/S - BE/P,PERMANENCIA
BCO/S - BE/S,PERMANENCIA
BCO/S - BM/P,PERMANENCIA
BCO/S - BM/S,PERMANENCIA
BCO/S - MXL/P,PERMANENCIA
BCO/S - MXL/S,PERMANENCIA
BCO/S - MXnL/P,DEFORESTACION PRADERA
BCO/S - MXnL/S,DEFORESTACION PRADERA
BCO/S - OT,DEFORESTACION
BCO/S - P,DEFORESTACION PRADERA
BCO/S - SC/P,PERMANENCIA
BCO/S - SC/S,PERMANENCIA
BCO/S - SP/P,PERMANENCIA
BCO/S - SP/S,PERMANENCIA
BCO/S - SSC/P,PERMANENCIA
BCO/S - SSC/S,PERMANENCIA
BCO/S - VHL/P,PERMANENCIA
BE/P - AGR_AN,DEFORESTACION
BE/P - AGR_PER,DEFORESTACION
BE/P - AH,DEFORESTACION
BE/P - BC,PERMANENCIA
BE/P - BCO/P,PERMANENCIA
BE/P - BCO/S,PERMANENCIA
BE/P - BE/P,PERMANENCIA
BE/P - BE/S,DEGRADACION
BE/P - BM/P,PERMANENCIA
BE/P - BM/S,PERMANENCIA
BE/P - EOTL/P,PERMANENCIA
BE/P - EOTL/S,PERMANENCIA
BE/P - MXL/P,PERMANENCIA
BE/P - MXL/S,PERMANENCIA
BE/P - MXnL/P,DEFORESTACION PRADERA
BE/P - MXnL/S,DEFORESTACION PRADERA
BE/P - OT,DEFORESTACION
BE/P - P,DEFORESTACION PRADERA
BE/P - SC/P,PERMANENCIA
BE/P - SC/S,PERMANENCIA
BE/P - SP/P,PERMANENCIA
BE/P - SP/S,PERMANENCIA
BE/P - SSC/P,PERMANENCIA
BE/P - SSC/S,PERMANENCIA
BE/P - VHL/P,PERMANENCIA
BE/P - VHnL/P,DEFORESTACION PRADERA
BE/S - AGR_AN,DEFORESTACION
BE/S - AGR_PER,DEFORESTACION
BE/S - AH,DEFORESTACION
BE/S - BC,PERMANENCIA
BE/S - BCO/P,PERMANENCIA
BE/S - BCO/S,PERMANENCIA
BE/S - BE/P,RECUPERACION
BE/S - BE/S,PERMANENCIA
BE/S - BM/P,PERMANENCIA
BE/S - BM/S,PERMANENCIA
BE/S - EOTL/P,PERMANENCIA
BE/S - EOTL/S,PERMANENCIA
BE/S - MXL/P,PERMANENCIA
BE/S - MXL/S,PERMANENCIA
BE/S - MXnL/P,DEFORESTACION PRADERA
BE/S - MXnL/S,DEFORESTACION PRADERA
BE/S - OT,DEFORESTACION
BE/S - P,DEFORESTACION PRADERA
BE/S - SC/P,PERMANENCIA
BE/S - SC/S,PERMANENCIA
BE/S - SP/P,PERMANENCIA
BE/S - SP/S,PERMANENCIA
BE/S - SSC/P,PERMANENCIA
BE/S - SSC/S,PERMANENCIA
BE/S - VHL/P,PERMANENCIA
BE/S - VHnL/P,DEFORESTACION PRADERA
BM/P - AGR_AN,DEFORESTACION
BM/P - AGR_PER,DEFORESTACION
BM/P - AH,DEFORESTACION
BM/P - BCO/P,PERMANENCIA
BM/P - BCO/S,PERMANENCIA
BM/P - BE/P,PERMANENCIA
BM/P - BE/S,PERMANENCIA
BM/P - BM/P,PERMANENCIA
BM/P - BM/S,DEGRADACION
BM/P - MXnL/P,DEFORESTACION PRADERA
BM/P - OT,DEFORESTACION
BM/P - P,DEFORESTACION PRADERA
BM/P - SC/P,PERMANENCIA
