"","Estrato","n","FE","U","DinEstFE"
"1","BC",8,34.6,38.1,"TF-OU -- BC"
"2","BCO/P",4404,33.6,2.1,"TF-OU -- BCO/P"
"3","BCO/S",1137,22.1,4.8,"TF-OU -- BCO/S"
"4","BE/P",3365,20.7,2.7,"TF-OU -- BE/P"
"5","BE/S",1466,14.7,4.9,"TF-OU -- BE/S"
"6","BM/P",357,37.7,9.9,"TF-OU -- BM/P"
"7","BM/S",160,18.1,19,"TF-OU -- BM/S"
"8","EOTL/P",32,3.5,95.1,"TF-OU -- EOTL/P"
"9","EOTL/S",31,4.6,55.8,"TF-OU -- EOTL/S"
"10","EOTnL/P",3,NA,NA,"PRAD-OU -- EOTnL/P"
"11","MXL/P",1484,4.3,8.9,"TF-OU -- MXL/P"
"12","MXL/S",198,3.2,28.8,"TF-OU -- MXL/S"
"13","MXnL/P",864,0.6,23.5,"PRAD-OU -- MXnL/P"
"14","MXnL/S",81,0.9,91.7,"PRAD-OU -- MXnL/S"
"15","P",1806,3.3,12.6,"PRAD-OU -- P"
"16","SC/P",939,17.4,5.3,"TF-OU -- SC/P"
"17","SC/S",613,12.6,7.6,"TF-OU -- SC/S"
"18","SP/P",2375,40.4,2.9,"TF-OU -- SP/P"
"19","SP/S",585,19.7,9.1,"TF-OU -- SP/S"
"20","SSC/P",993,30.2,4.8,"TF-OU -- SSC/P"
"21","SSC/S",491,16.1,8.9,"TF-OU -- SSC/S"
"22","VHL/P",246,13.3,22.4,"TF-OU -- VHL/P"
"23","VHL/S",17,8.1,66.4,"TF-OU -- VHL/S"
"24","VHnL/P",156,1.2,59.2,"PRAD-OU -- VHnL/P"
"25","BC",8,34.6,38.1,"TF-PRA -- BC"
"26","BCO/P",4404,33.6,2.1,"TF-PRA -- BCO/P"
"27","BCO/S",1137,22.1,4.8,"TF-PRA -- BCO/S"
"28","BE/P",3365,20.7,2.7,"TF-PRA -- BE/P"
"29","BE/S",1466,14.7,4.9,"TF-PRA -- BE/S"
"30","BM/P",357,37.7,9.9,"TF-PRA -- BM/P"
"31","BM/S",160,18.1,19,"TF-PRA -- BM/S"
"32","EOTL/P",32,3.5,95.1,"TF-PRA -- EOTL/P"
"33","EOTL/S",31,4.6,55.8,"TF-PRA -- EOTL/S"
"34","EOTnL/P",3,NA,NA,"TF-PRA -- EOTnL/P"
"35","MXL/P",1484,4.3,8.9,"TF-PRA -- MXL/P"
"36","MXL/S",198,3.2,28.8,"TF-PRA -- MXL/S"
"37","MXnL/P",864,0.6,23.5,"TF-PRA -- MXnL/P"
"38","MXnL/S",81,0.9,91.7,"TF-PRA -- MXnL/S"
"39","P",1806,3.3,12.6,"TF-PRA -- P"
"40","SC/P",939,17.4,5.3,"TF-PRA -- SC/P"
