"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","BC",34,9,59.34273689,1.36,440.821485107053,8.8439599268,0.208,37350.7,43.6343653602941,0.151111111111111,0.000240959339450131,6.28908073152123,28.2497479498084
"2","BCO/P",16780,4539,22554.8743132,671.2,175091.238458075,3479.017691708,103.3408,12916771.5,33.6038055917759,0.147873981053095,0.000351403599575947,0.358687995717633,2.09210968587027
"3","BCO/S",4158,1189,3707.2289101,166.32,20296.692558309,557.447036656,25.0208,3920676.8,22.2897361117124,0.139882253994954,0.000303263967078337,0.53377307183023,4.69361869312359
"4","BE/P",12698,3478,10513.45842117,507.92,53487.3126819076,1604.0733933108,77.6192,10708651.8,20.699043985608,0.146037952846463,0.000324784115214205,0.280768076234676,2.6586031210069
"5","BE/S",5441,1522,3220.51696172,217.64,13572.1080200875,488.8018320436,33.0672,4920073.4,14.7974497414078,0.14299605781866,0.000309344978471256,0.366106753353679,4.84927638960131
"6","BM/P",1153,367,1739.58156438,46.12,16726.887220198,245.5815300944,6.5104,1300704,37.7185941973114,0.12566757493188,0.000282154894580166,1.87544593966029,9.74552238746001
"7","BM/S",542,160,397.318207804,21.68,2688.58889099466,59.03038383624,3.2224,541573.1,18.3264855998155,0.1355,0.000295435648484018,1.85471159612067,19.8359620484634
"8","EOTL/P",111,28,12.88589498,4.44,57.6052175010099,1.9191112748,0.7056,270230.5,2.9022285990991,0.158571428571429,0.000103615246983594,1.66033130934914,112.129325971582
"9","EOTL/S",120,31,22.22604817,4.8,54.9146983942289,3.5349926472,0.7584,157748.2,4.63042670208333,0.154838709677419,0.00019651571301606,1.31286148483465,55.5717361667374
"10","EOTnL/P",13,4,2.4522419,0.52,6.01349033611561,0.196179352,0.072,154700,4.71584980769231,0.13,2.58564964447317e-05,5.33135833466944,221.581745858559
"11","MXL/P",5767,1497,978.95040147,230.68,2648.43630438287,153.5986119092,36.2768,18501770.3,4.24375932664297,0.154094856379426,8.09111763753764e-05,0.193831934998478,8.9522181479963
"12","MXL/S",682,184,95.58507782,27.28,250.111727956489,14.7410443752,4.224,2437423.9,3.50385182624633,0.148260869565217,7.54895363092156e-05,0.518068818646634,28.9799607660697
"13","MXnL/P",3438,889,80.70123618,137.52,88.0951089318354,12.684408908,21.7216,34105690.3,0.586832723821989,0.154690663667042,2.60660315677587e-05,0.0653548522383214,21.8282834591833
"14","MXnL/S",340,89,13.36798765,13.6,32.6905487400577,2.13587893,2.1408,2660600.2,0.982940268382353,0.152808988764045,3.34510987408029e-05,0.408775159728455,81.5104781887025
"15","P",7503,2067,1133.78799485,300.12,4546.02668432392,163.1122562876,46.0496,31116487,3.77778220328535,0.145195936139332,6.64278072264392e-05,0.210008115463113,10.8957024031121
"16","SC/P",3533,984,2427.9288483,141.32,10621.2511540839,366.8786110232,21.4224,10896213.7,17.1803626401076,0.143617886178862,9.03065988876485e-05,0.466284650530563,5.31954961710972
"17","SC/S",2237,629,1144.0810294,89.48,4055.03768182239,172.22548551,13.544,6799071.2,12.785885442557,0.142257551669316,9.25126361377125e-05,0.483001774523442,7.40412920418457
"18","SP/P",9400,2512,14971.10053665,376,142345.643377331,2363.614381208,58.624,8162564.8,39.8167567464096,0.14968152866242,0.000307746408334792,0.576998658856392,2.84030509707576
"19","SP/S",1607,482,1104.1395251,64.28,6745.59092005248,168.1717613172,9.6176,2122608.4,17.1770305709396,0.133360995850622,0.000227079097585782,0.960624366548624,10.9612878119964
"20","SSC/P",4434,1175,4846.06113049,177.36,35578.1403167697,760.8283615544,27.6864,2990571.9,27.3233036225192,0.150944680851064,0.000392901438015919,0.683085522067787,4.90002102875078
"21","SSC/S",1067,305,809.2560754,42.68,4406.10760043782,123.7368351468,6.4432,1451458.9,18.961013950328,0.139934426229508,0.000210133404397465,1.05733875052852,10.9297105970435
"22","VHL/P",939,263,506.63112795,37.56,4259.27614506177,79.1758445572,5.704,1097953.5,13.4885816813099,0.142813688212928,0.000239536555965257,1.49958465105152,21.7901776888342
"23","VHL/S",63,18,20.65328009,2.52,67.2536091497518,2.9925308424,0.3792,78105.8,8.19574606746032,0.14,0.000230456637023115,2.69814537841847,64.5257295451925
"24","VHnL/P",638,171,50.96072065,25.52,174.14044618098,6.9125385184,3.9712,1428189.4,1.99689344239812,0.149239766081871,0.000119732018736451,0.500746730889232,49.1495225385802
