"","Estrato","n","FE","U","DinEstFE"
"1","BC",8,40.6042812946429,27.9996186502621,"TF-OU -- BC"
"2","BCO/P",4404,32.6057231448036,1.45042451852079,"TF-OU -- BCO/P"
"3","BCO/S",1137,21.4545557588627,3.33693546130825,"TF-OU -- BCO/S"
"4","BE/P",3365,19.9492071801897,1.79149049627085,"TF-OU -- BE/P"
"5","BE/S",1466,14.2802809200292,3.25283035506271,"TF-OU -- BE/S"
"6","BM/P",357,37.9234862982533,6.61535247762643,"TF-OU -- BM/P"
"7","BM/S",160,17.9578040822785,13.7061316971768,"TF-OU -- BM/S"
"8","EOTL/P",32,8.46207458536585,43.6481835145216,"TF-OU -- EOTL/P"
"9","EOTL/S",31,5.672673675,26.355018701636,"TF-OU -- EOTL/S"
"10","EOTnL/P",3,0.0357706041666667,182.043903317103,"PRAD-OU -- EOTnL/P"
"11","MXL/P",1484,1.6817068283428,6.56568029246681,"TF-OU -- MXL/P"
"12","MXL/S",198,1.23962327249022,19.9563894799346,"TF-OU -- MXL/S"
"13","MXnL/P",864,0.226944261877173,15.9336199543015,"PRAD-OU -- MXnL/P"
"14","MXnL/S",81,0.427553243055556,65.2725635894861,"PRAD-OU -- MXnL/S"
"15","P",1806,4.8324827099197,6.41741360181262,"PRAD-OU -- P"
"16","SC/P",939,12.1688047623247,3.71287879272402,"TF-OU -- SC/P"
"17","SC/S",613,8.11980867797645,5.41861172533156,"TF-OU -- SC/S"
"18","SP/P",2375,34.6119392194407,1.73530928302119,"TF-OU -- SP/P"
"19","SP/S",585,15.9681392300485,5.70731664463471,"TF-OU -- SP/S"
"20","SSC/P",993,24.0077561960402,2.79113710065852,"TF-OU -- SSC/P"
"21","SSC/S",491,12.2805826111201,5.70400459515029,"TF-OU -- SSC/S"
"22","VHL/P",246,9.90617313764962,12.8639267663998,"TF-OU -- VHL/P"
"23","VHL/S",17,6.09345440909091,45.9382936460084,"TF-OU -- VHL/S"
"24","VHnL/P",156,0.900376447833066,35.8825761760501,"PRAD-OU -- VHnL/P"
"25","BC",8,40.6042812946429,27.9996186502621,"TF-PRA -- BC"
"26","BCO/P",4404,32.6057231448036,1.45042451852079,"TF-PRA -- BCO/P"
"27","BCO/S",1137,21.4545557588627,3.33693546130825,"TF-PRA -- BCO/S"
"28","BE/P",3365,19.9492071801897,1.79149049627085,"TF-PRA -- BE/P"
"29","BE/S",1466,14.2802809200292,3.25283035506271,"TF-PRA -- BE/S"
"30","BM/P",357,37.9234862982533,6.61535247762643,"TF-PRA -- BM/P"
"31","BM/S",160,17.9578040822785,13.7061316971768,"TF-PRA -- BM/S"
"32","EOTL/P",32,8.46207458536585,43.6481835145216,"TF-PRA -- EOTL/P"
"33","EOTL/S",31,5.672673675,26.355018701636,"TF-PRA -- EOTL/S"
"34","EOTnL/P",3,0.0357706041666667,182.043903317103,"TF-PRA -- EOTnL/P"
"35","MXL/P",1484,1.6817068283428,6.56568029246681,"TF-PRA -- MXL/P"
"36","MXL/S",198,1.23962327249022,19.9563894799346,"TF-PRA -- MXL/S"
"37","MXnL/P",864,0.226944261877173,15.9336199543015,"TF-PRA -- MXnL/P"
"38","MXnL/S",81,0.427553243055556,65.2725635894861,"TF-PRA -- MXnL/S"
"39","P",1806,4.8324827099197,6.41741360181262,"TF-PRA -- P"
"40","SC/P",939,12.1688047623247,3.71287879272402,"TF-PRA -- SC/P"
"41","SC/S",613,8.11980867797645,5.41861172533156,"TF-PRA -- SC/S"
"42","SP/P",2375,34.6119392194407,1.73530928302119,"TF-PRA -- SP/P"
"43","SP/S",585,15.9681392300485,5.70731664463471,"TF-PRA -- SP/S"
"44","SSC/P",993,24.0077561960402,2.79113710065852,"TF-PRA -- SSC/P"
"45","SSC/S",491,12.2805826111201,5.70400459515029,"TF-PRA -- SSC/S"
"46","VHL/P",246,9.90617313764962,12.8639267663998,"TF-PRA -- VHL/P"
"47","VHL/S",17,6.09345440909091,45.9382936460084,"TF-PRA -- VHL/S"
"48","VHnL/P",156,0.900376447833066,35.8825761760501,"TF-PRA -- VHnL/P"
"49","BC",6,0.585230415530808,350.339774820201,"TF-TF -- BC"
"50","BCO/P",3536,0.493609492882891,20.5315677300188,"TF-TF -- BCO/P"
"51","BCO/S",892,0.391621148752684,39.5517373791762,"TF-TF -- BCO/S"
"52","BE/P",2613,0.414165677554475,20.4074597724801,"TF-TF -- BE/P"
"53","BE/S",1209,0.466712074177674,24.1103485225096,"TF-TF -- BE/S"
"54","BM/P",247,1.03273039345195,69.3848652371868,"TF-TF -- BM/P"
"55","BM/S",115,0.295455510290986,257.919273797443,"TF-TF -- BM/S"
"56","EOTL/P",27,-0.420126600930328,-275.112722325241,"TF-TF -- EOTL/P"
"57","EOTL/S",24,0.0287634239806249,733.395215045816,"TF-TF -- EOTL/S"
"58","EOTnL/P",3,0.110515363826348,200.622589953096,"PRAD-PRAD -- EOTnL/P"
"59","MXL/P",1253,-0.0819607508754222,-32.294661684669,"TF-TF -- MXL/P"
"60","MXL/S",157,0.0117189012496519,337.217541874124,"TF-TF -- MXL/S"
"61","MXnL/P",734,0.0100348969613639,154.367363407139,"PRAD-PRAD -- MXnL/P"
"62","MXnL/S",67,-0.0420985607290965,-129.20883681865,"PRAD-PRAD -- MXnL/S"
"63","P",1486,0.243518582498286,38.8920658939994,"PRAD-PRAD -- P"
"64","SC/P",715,0.287226212118272,54.5288232210067,"TF-TF -- SC/P"
"65","SC/S",477,0.320539529297657,44.8105177884955,"TF-TF -- SC/S"
