"","Dinamica","Area","EmisionesAbsorciones","Ui2_Ai2","U"
"1","OU-PRAD",556652,-118636.8498,0,0
"2","OU-TF",678780,-627275.09,0,0
"3","PRAD-OU",225469.25,796472.785271317,18808485243585.3,5.44510137107432
"4","PRAD-PRAD",67826854,7701423.13038816,83512614506454368,37.5236481581257
"5","TF-OU",155562.25,1938158.57058759,4782383100380.87,1.12832153083553
"6","TF-PRA",192668,2805288.59921312,9067667068714.04,1.0734213680015
"7","TF-TF",86073201,29198163.9801487,107941700904092816,11.2522425555039
"8","TF-TFd",238116,401245.16,0,0
"9","TFd-TF",1147570,-1246859.36,0,0
"10",NA,0,0,0,NA
