"","Dinamica","Area","EmisionesAbsorciones","Ui2_Ai2","U"
"1","OU-PRAD",556652,-118636.8498,0,0
"2","OU-TF",678780,-627275.09,0,0
"3","PRAD-OU",225469.25,574669.425,34941162815174.2,10.2860962923134
"4","PRAD-PRAD",67826854,7701423.13038816,83512614506454368,37.5236481581257
"5","TF-OU",155562.25,2467898.85,19529950808810.8,1.79070158943812
"6","TF-PRA",192668,3512790.125,38141968137196.3,1.75812336763233
"7","TF-TF",86073201,29198163.9801487,107941700904092816,11.2522425555039
"8","TF-TFd",238116,401245.16,0,0
"9","TFd-TF",1147570,-1246859.36,0,0
"10",NA,0,0,0,NA
