"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"1","OU-PRAD -- EOTnL/P","OT - EOTnL/P",176,"RECUPERACION PRADERA","OU-PRAD","EOTnL/P","EOTnL/P",0,NA,NA,176,NA,0,NA,NA
"2","OU-PRAD -- EOTnL/P","AGR_AN - EOTnL/P",40,"RECUPERACION PRADERA","OU-PRAD","EOTnL/P","EOTnL/P",0,NA,NA,40,NA,0,NA,NA
"3","OU-PRAD -- MXnL/P","OT - MXnL/P",6578,"RECUPERACION PRADERA","OU-PRAD","MXnL/P","MXnL/P",41,-0.13,0,6578,-855.14,0,0,0
"4","OU-PRAD -- MXnL/P","ACUI - MXnL/P",19,"RECUPERACION PRADERA","OU-PRAD","MXnL/P","MXnL/P",41,-0.13,0,19,-2.47,0,0,0
"5","OU-PRAD -- MXnL/P","AH - MXnL/P",14,"RECUPERACION PRADERA","OU-PRAD","MXnL/P","MXnL/P",41,-0.13,0,14,-1.82,0,0,0
"6","OU-PRAD -- MXnL/P","AGR_PER - MXnL/P",42,"RECUPERACION PRADERA","OU-PRAD","MXnL/P","MXnL/P",41,-0.13,0,42,-5.46,0,0,0
"7","OU-PRAD -- MXnL/P","AGR_AN - MXnL/P",258347,"RECUPERACION PRADERA","OU-PRAD","MXnL/P","MXnL/P",41,-0.13,0,258347,-33585.11,0,0,0
"8","OU-PRAD -- MXnL/S","OT - MXnL/S",9112,"RECUPERACION PRADERA","OU-PRAD","MXnL/S","MXnL/S",4,-0.13,0,9112,-1184.56,0,0,0
"9","OU-PRAD -- MXnL/S","AGR_AN - MXnL/S",69800,"RECUPERACION PRADERA","OU-PRAD","MXnL/S","MXnL/S",4,-0.13,0,69800,-9074,0,0,0
"10","OU-PRAD -- MXnL/S","AGR_PER - MXnL/S",896,"RECUPERACION PRADERA","OU-PRAD","MXnL/S","MXnL/S",4,-0.13,0,896,-116.48,0,0,0
"11","OU-PRAD -- P","OT - P",3085,"RECUPERACION PRADERA","OU-PRAD","P","P",113,-0.3511,0,3085,-1083.1435,0,0,0
"12","OU-PRAD -- P","AGR_PER - P",17899,"RECUPERACION PRADERA","OU-PRAD","P","P",113,-0.3511,0,17899,-6284.3389,0,0,0
"13","OU-PRAD -- P","AGR_AN - P",185074,"RECUPERACION PRADERA","OU-PRAD","P","P",113,-0.3511,0,185074,-64979.4814,0,0,0
"14","OU-PRAD -- P","AH - P",2860,"RECUPERACION PRADERA","OU-PRAD","P","P",113,-0.3511,0,2860,-1004.146,0,0,0
"15","OU-PRAD -- VHnL/P","AGR_PER - VHnL/P",312,"RECUPERACION PRADERA","OU-PRAD","VHnL/P","VHnL/P",2,-0.17,0,312,-53.04,0,0,0
"16","OU-PRAD -- VHnL/P","OT - VHnL/P",716,"RECUPERACION PRADERA","OU-PRAD","VHnL/P","VHnL/P",2,-0.17,0,716,-121.72,0,0,0
"17","OU-PRAD -- VHnL/P","AGR_AN - VHnL/P",1296,"RECUPERACION PRADERA","OU-PRAD","VHnL/P","VHnL/P",2,-0.17,0,1296,-220.32,0,0,0
"18","OU-PRAD -- VHnL/P","ACUI - VHnL/P",370,"RECUPERACION PRADERA","OU-PRAD","VHnL/P","VHnL/P",2,-0.17,0,370,-62.9,0,0,0
"19","OU-PRAD -- VHnL/P","AH - VHnL/P",16,"RECUPERACION PRADERA","OU-PRAD","VHnL/P","VHnL/P",2,-0.17,0,16,-2.72,0,0,0
"20","OU-TF -- BC","OT - BC",86,"REFORESTACION","OU-TF","BC",NA,NA,NA,NA,86,NA,0,NA,NA
"21","OU-TF -- BC","AGR_AN - BC",563,"REFORESTACION","OU-TF","BC",NA,NA,NA,NA,563,NA,0,NA,NA
"22","OU-TF -- BC","P - BC",12910,"REFORESTACION","OU-TF","BC",NA,NA,NA,NA,12910,NA,0,NA,NA
"23","OU-TF -- BC","AGR_PER - BC",831,"REFORESTACION","OU-TF","BC",NA,NA,NA,NA,831,NA,0,NA,NA
"24","OU-TF -- BC ",NA,NA,NA,NA,NA,"BC ",3,NA,NA,NA,NA,0,NA,NA
"25","OU-TF -- BCO/P","AGR_PER - BCO/P",751,"REFORESTACION","OU-TF","BCO/P","BCO/P",1715,-0.62,0,751,-465.62,0,0,0
"26","OU-TF -- BCO/P","P - BCO/P",12035,"REFORESTACION","OU-TF","BCO/P","BCO/P",1715,-0.62,0,12035,-7461.7,0,0,0
"27","OU-TF -- BCO/P","AH - BCO/P",1,"REFORESTACION","OU-TF","BCO/P","BCO/P",1715,-0.62,0,1,-0.62,0,0,0
"28","OU-TF -- BCO/P","AGR_AN - BCO/P",12498,"REFORESTACION","OU-TF","BCO/P","BCO/P",1715,-0.62,0,12498,-7748.76,0,0,0
"29","OU-TF -- BCO/P","MXnL/P - BCO/P",668,"REFORESTACION","OU-TF","BCO/P","BCO/P",1715,-0.62,0,668,-414.16,0,0,0
"30","OU-TF -- BCO/S","AGR_PER - BCO/S",49,"REFORESTACION","OU-TF","BCO/S","BCO/S",384,-0.96,0,49,-47.04,0,0,0
"31","OU-TF -- BCO/S","MXnL/P - BCO/S",190,"REFORESTACION","OU-TF","BCO/S","BCO/S",384,-0.96,0,190,-182.4,0,0,0
"32","OU-TF -- BCO/S","P - BCO/S",7390,"REFORESTACION","OU-TF","BCO/S","BCO/S",384,-0.96,0,7390,-7094.4,0,0,0
"33","OU-TF -- BCO/S","AGR_AN - BCO/S",9521,"REFORESTACION","OU-TF","BCO/S","BCO/S",384,-0.96,0,9521,-9140.16,0,0,0
"34","OU-TF -- BE/P","AGR_AN - BE/P",9508,"REFORESTACION","OU-TF","BE/P","BE/P",1225,-0.68,0,9508,-6465.44,0,0,0
"35","OU-TF -- BE/P","AH - BE/P",120,"REFORESTACION","OU-TF","BE/P","BE/P",1225,-0.68,0,120,-81.6,0,0,0
"36","OU-TF -- BE/P","AGR_PER - BE/P",750,"REFORESTACION","OU-TF","BE/P","BE/P",1225,-0.68,0,750,-510,0,0,0
"37","OU-TF -- BE/P","MXnL/P - BE/P",1266,"REFORESTACION","OU-TF","BE/P","BE/P",1225,-0.68,0,1266,-860.88,0,0,0
