"","Estrato","nCong","nSit","yi","ai","yi2","yiai","ai2","ER_Carboles","Prom_ai","SdER_Carboles","U_Carboles"
"1","BC",8,28,0.020414436,1.12,0.000143495085210334,0.00081657744,0.0448,0.018227175,0.14,0.0108247361968005,116.400281150145
"2","BCO/P",4404,16800,22.207805555,672,0.191451277919675,0.8883122222,26.88,0.0330473296949405,0.152588555858311,0.000599190275441458,3.55373021271688
"3","BCO/S",1137,4203,3.503296258,168.12,0.0236960192291999,0.14013185032,6.7248,0.0208380695812515,0.147862796833773,0.000857732857804691,8.06771661233808
"4","BE/P",3365,12756,11.841551658,510.24,0.0633004132822302,0.47366206632,20.4096,0.0232078074200376,0.151631500742942,0.000448304481540244,3.78612579773576
"5","BE/S",1466,5477,2.808018002,219.08,0.0135726184689863,0.11232072008,8.7632,0.012817317883878,0.149440654843111,0.000502954812850311,7.69108983734082
"6","BM/P",357,1145,1.548574292,45.8,0.0167645233612403,0.06194297168,1.832,0.0338116657641921,0.128291316526611,0.00264825979453101,15.3514743505415
"7","BM/S",160,553,0.438792536,22.12,0.00390908057232039,0.01755170144,0.8848,0.0198369139240506,0.13825,0.0027061803925489,26.7386025351708
"8","EOTL/P",32,123,1.49982417,4.92,1.819209017279,0.0599929668,0.1968,0.30484231097561,0.15375,0.277125394982499,178.179260099218
"9","EOTL/S",31,120,0.022027969,4.8,6.8452399489957e-05,0.00088111876,0.192,0.00458916020833333,0.154838709677419,0.00169961909134286,72.5896082900501
"10","EOTnL/P",3,12,0,0.48,0,0,0.0192,0,0.16,0,NA
"11","MXL/P",1484,5811,0.050307007,232.44,0.000133482138023645,0.00201228028,9.2976,0.000216430076578902,0.156630727762803,4.96406467625193e-05,44.9547813282169
"12","MXL/S",198,767,0.006119788,30.68,1.286774028636e-05,0.00024479152,1.2272,0.000199471577574967,0.154949494949495,0.000116995645692076,114.959468584083
"13","MXnL/P",864,3452,0.006166951,138.08,1.8738936476073e-05,0.00024667804,5.5232,4.4662159617613e-05,0.159814814814815,3.13592350022716e-05,137.6200818113
"14","MXnL/S",81,324,0.001746667,12.96,1.551222955769e-06,6.986668e-05,0.5184,0.000134773688271605,0.16,9.64067600963613e-05,140.203367743464
"15","P",1806,7223,25.954406548,288.92,15.1576568175491,1.03817626192,11.5568,0.0898325022428354,0.159977851605759,0.0134375009761537,29.3184551868161
"16","SC/P",939,3495,3.854669851,139.8,0.0260861734517262,0.15418679404,5.592,0.0275727457153076,0.14888178913738,0.00105754538756829,7.51752829056522
"17","SC/S",613,2293,1.238865118,91.72,0.00479414409376385,0.04955460472,3.6688,0.0135070335586568,0.149624796084829,0.000700797218421892,10.1692391755892
"18","SP/P",2375,9030,16.820415581,361.2,0.139122492539224,0.67281662324,14.448,0.0465681494490587,0.152084210526316,0.000909147374006275,3.82649702454156
"19","SP/S",585,2060,1.80884205,82.4,0.0182799721050367,0.072353682,3.296,0.0219519666262136,0.140854700854701,0.00156925726217051,14.0112468564951
"20","SSC/P",993,3826,4.774214794,153.04,0.0252626777568378,0.19096859176,6.1216,0.0311958624803973,0.154118831822759,0.000908346446961915,5.70703578772373
"21","SSC/S",491,1848,1.207863447,73.92,0.00507291848563253,0.04831453788,2.9568,0.0163401440340909,0.150549898167006,0.000886293775028131,10.631092329608
"22","VHL/P",246,919,1.018017138,36.76,0.0193232352554119,0.04072068552,1.4704,0.0276936109357998,0.149430894308943,0.00367698105986611,26.0236301219252
"23","VHL/S",17,66,0.020422468,2.64,5.8116900445454e-05,0.00081689872,0.1056,0.00773578333333333,0.155294117647059,0.0028100571155692,71.1978568839048
"24","VHnL/P",156,623,0.057373678,24.92,0.000230261706669938,0.00229494712,0.9968,0.00230231452648475,0.15974358974359,0.000603835238568033,51.4055336044974
