"","Estrato","nCong","nSit","cve4_pmn","yi","ai","yi2","yiai","ai2","ER_Carboles","Prom_ai","SdER_Carboles","U_Carboles"
"1","B_Secun",2227,25809,"B_Secun",18.663589103,1032.36,0.264042912338244,0.74654356412,41.2944,0.0180785666850711,0.463565334530759,0.000484965124136682,5.25778210112656
"2","BC_AyaCedOya",57,673,"BC_AyaCedOya",1.755535931,26.92,0.0261662445300282,0.07022143724,1.0768,0.0652130732169391,0.472280701754386,0.0055063445860811,16.5494966826922
"3","BC_MatSubMez",281,3684,"BC_MatSubMez",0.442014037,147.36,0.00181747845792847,0.01768056148,5.8944,0.00299955236834962,0.5244128113879,0.000285560777476889,18.659421644392
"4","BC_PinTasMat",4934,67400,"BC_PinTasMat",103.695651793,2696,8.90500604075259,4.14782607172,107.84,0.0384627788549703,0.546412646939603,0.00109702287214369,5.59024826965609
"5","BL_Chap",163,2216,"BL_Chap",0.333916267,88.64,0.00334632899053084,0.01335665068,3.5456,0.00376710590027076,0.543803680981595,0.000649682263138375,33.8025335486239
"6","BL_EncGal",3819,49265,"BL_EncGal",55.762014114,1970.6,1.67719081469906,2.23048056456,78.824,0.028296972553537,0.515998952605394,0.000644792889722645,4.46618118410132
"7","MAT_Cra",58,700,"MAT_Cra",0.056250457,28,9.7287568326281e-05,0.00225001828,1.12,0.00200894489285714,0.482758620689655,0.000346989428060428,33.8535557354784
"8","MAT_DesMicMez",830,11993,"MAT_DesMicMez",0.101778519,479.72,0.000425557989927543,0.00407114076,19.1888,0.000212162342616526,0.577975903614458,4.29845262913063e-05,39.7100024876883
"9","MAT_DesRos",370,5034,"MAT_DesRos",0.187151224,201.36,0.00222157425213845,0.00748604896,8.0544,0.000929435955502582,0.544216216216216,0.000234025799218609,49.3514979437654
"10","MAT_EspTam",320,4516,"MAT_EspTam",0.0159825,180.64,3.3270613684292e-05,0.0006393,7.2256,8.84770814880425e-05,0.5645,3.19541038625906e-05,70.7867421905659
"11","MAT_RosCost",22,316,"MAT_RosCost",0,12.64,0,0,0.5056,0,0.574545454545455,0,NA
"12","MAT_Sar",484,7039,"MAT_Sar",0.011603017,281.56,2.3810878299703e-05,0.00046412068,11.2624,4.12097492541554e-05,0.581735537190083,1.73416881047691e-05,82.4797755398139
"13","MAT_SarCra",187,2701,"MAT_SarCra",0,108.04,0,0,4.3216,0,0.577754010695187,0,NA
"14","MAT_SarCraNeb",56,820,"MAT_SarCraNeb",0,32.8,0,0,1.312,0,0.585714285714286,0,NA
"15","PAST",3042,37881,"PAST",45.960865024,1515.24,5.45612308256705,1.83843460096,60.6096,0.030332399503709,0.49810650887574,0.00153391495608061,9.91175562470871
"16","SC_BajaMat_Sub",1204,15297,"SC_BajaMat_Sub",20.324283778,611.88,0.462711082429859,0.81297135112,24.4752,0.0332161269824149,0.508205980066445,0.00107922401640528,6.36822912338401
"17","SC_Med_Sub",1067,14308,"SC_Med_Sub",31.997173892,572.32,4.86917302148425,1.27988695568,22.8928,0.0559078380835896,0.536382380506092,0.00382893052189037,13.4233482820148
"18","SC_Secun",1531,18859,"SC_Secun",22.526378028,754.36,0.782863612634951,0.90105512112,30.1744,0.02986157541227,0.492723709993468,0.00115295321500301,7.56754548347561
"19","SP_Alta_Sub",44,558,"SP_Alta_Sub",0.947417079,22.32,0.00804084997618826,0.03789668316,0.8928,0.0424470017473118,0.507272727272727,0.00363479027780292,16.7837271214213
"20","SP_AltaMed",595,7163,"SP_AltaMed",37.964987354,286.52,49.7762300559771,1.51859949416,11.4608,0.132503795036996,0.481546218487395,0.024594710929946,36.3805681257921
"21","SP_BajaMed_Sub",1960,28507,"SP_BajaMed_Sub",83.99631793,1140.28,4.46523875280575,3.3598527172,45.6112,0.0736628880011927,0.581775510204082,0.00180152100904072,4.79343299391499
"22","SP_MangPet",222,2910,"SP_MangPet",6.963847814,116.4,0.465827556292795,0.27855391256,4.656,0.0598268712542955,0.524324324324324,0.00577070851434435,18.9055326661476
"23","SP_MesoBaja",421,4329,"SP_MesoBaja",6.822286052,173.16,0.161566295218036,0.27289144208,6.9264,0.0393987413490413,0.411306413301663,0.00224538432081523,11.1702889942827
"24","SP_Secun",648,6939,"SP_Secun",8.535774561,277.56,2.39390496452891,0.34143098244,11.1024,0.0307528986921747,0.428333333333333,0.00556643836024925,35.4770433034488
