"","Estrato","nCong","nSit","yi","ai","yi2","yiai","ai2","ER_Carboles","Prom_ai","SdER_Carboles","U_Carboles"
"1","BC",8,28,10.777889947,1.12,6.02038584547963,0.43111559788,0.0448,9.62311602410714,0.14,1.30586198928392,26.5973047876034
"2","BCO/P",4404,16800,5198.410271155,672,2878.37992661007,207.9364108462,26.88,7.73572957017113,0.152588555858311,0.0530340209009212,1.34372175271771
"3","BCO/S",1137,4203,873.287663388,168.12,375.83177039994,34.93150653552,6.7248,5.19443054596717,0.147862796833773,0.082966018918406,3.13053366757064
"4","BE/P",3365,12756,2567.676638857,510.24,1000.24105095526,102.70706555428,20.4096,5.03229193880723,0.151631500742942,0.043096149710903,1.67852848086931
"5","BE/S",1466,5477,803.49986433,219.08,273.055963158028,32.1399945732,8.7632,3.66760938620595,0.149440654843111,0.05688030799211,3.03972947838549
"6","BM/P",357,1145,414.561002653,45.8,320.18050822729,16.58244010612,1.832,9.05155027626637,0.128291316526611,0.285151067252191,6.17458970845854
"7","BM/S",160,553,98.048125431,22.12,58.696532906474,3.92192501724,0.8848,4.43255539923146,0.13825,0.291485147218202,12.8889734496434
"8","EOTL/P",32,123,10.177796228,4.92,5.14754579588698,0.40711184912,0.1968,2.0686577699187,0.15375,0.428483709581959,40.5977287781945
"9","EOTL/S",31,120,7.16055719,4.8,1.22563084763648,0.2864222876,0.192,1.49178274791667,0.154838709677419,0.189223871794519,24.8614477701397
"10","EOTnL/P",3,12,0.006065772,0.48,2.355824171873e-05,0.00024263088,0.0192,0.012637025,0.16,0.0115504185818806,179.146756617844
"11","MXL/P",1484,5811,108.248783529,232.44,12.8483255880308,4.32995134116,9.2976,0.465706347999484,0.156630727762803,0.014164022943385,5.96115665768538
"12","MXL/S",198,767,10.628550518,30.68,1.12083082139514,0.42514202072,1.2272,0.346432546219035,0.154949494949495,0.0322420586831562,18.241483286917
"13","MXnL/P",864,3452,9.16255617,138.08,0.506682048578356,0.3665022468,5.5232,0.0663568668163383,0.159814814814815,0.00503277236113463,14.8654303632599
"14","MXnL/S",81,324,1.483749793,12.96,0.223724856340062,0.05934999172,0.5184,0.114486866743827,0.16,0.0361619952115833,61.9088569986783
"15","P",1806,7223,347.166302554,288.92,130.587969103012,13.88665210216,11.5568,1.20160010575246,0.159977851605759,0.0369494427851862,6.02703907167302
"16","SC/P",939,3495,428.827500362,139.8,108.345262431433,17.15310001448,5.592,3.06743562490701,0.14888178913738,0.053427608633962,3.41386505627938
"17","SC/S",613,2293,191.019232105,91.72,39.9104920338735,7.6407692842,3.6688,2.08263445382686,0.149624796084829,0.0534532415787045,5.03056853312629
"18","SP/P",2375,9030,2986.713248392,361.2,1609.03819484604,119.46852993568,14.448,8.26886281393134,0.152084210526316,0.069015828104418,1.63590842088655
"19","SP/S",585,2060,324.129861726,82.4,130.214344622126,12.96519446904,3.296,3.93361482677184,0.140854700854701,0.108105052475548,5.38654423941043
"20","SSC/P",993,3826,902.479455444,153.04,357.747248628596,36.09917821776,6.1216,5.89701682856769,0.154118831822759,0.0786869554989266,2.61532970417783
"21","SSC/S",491,1848,229.673758212,73.92,67.9458004760432,9.18695032848,2.9568,3.10705841737013,0.150549898167006,0.0850034641325577,5.36220332287258
"22","VHL/P",246,919,89.169701922,36.76,39.3700183776231,3.56678807688,1.4704,2.42572638525571,0.149430894308943,0.151079395817294,12.207296651501
"23","VHL/S",17,66,4.106025807,2.64,1.04750858247386,0.16424103228,0.1056,1.55531280568182,0.155294117647059,0.347488344223981,43.7903650115214
"24","VHnL/P",156,623,5.851098574,24.92,1.11795867474436,0.23404394296,0.9968,0.23479528788122,0.15974358974359,0.0415065200399477,34.6483866914113
