"","Estrato","nCong","nSit","cve4_pmn","yi","ai","yi2","yiai","ai2","ER_Carboles","Prom_ai","SdER_Carboles","U_Carboles"
"1","B_Secun",2227,25809,"B_Secun",4299.297859998,1032.36,1617.76639366736,171.97191439992,41.2944,4.16453355418459,0.463565334530759,0.0290917172395403,1.36917532414176
"2","BC_AyaCedOya",57,673,"BC_AyaCedOya",520.366383007,26.92,638.9738807716,20.81465532028,1.0768,19.3301033806464,0.472280701754386,0.576498471054514,5.84547832474688
"3","BC_MatSubMez",281,3684,"BC_MatSubMez",197.696289782,147.36,43.9633462589973,7.90785159128,5.8944,1.34158719993214,0.5244128113879,0.0392618062969786,5.73597753064211
"4","BC_PinTasMat",4934,67400,"BC_PinTasMat",21244.977981631,2696,11479.9904155022,849.79911926524,107.84,7.88018471128746,0.546412646939603,0.0256562524656462,0.638135483812165
"5","BL_Chap",163,2216,"BL_Chap",52.81369493,88.64,13.5837182523929,2.1125477972,3.5456,0.595822370600181,0.543803680981595,0.0397283269282689,13.068915271001
"6","BL_EncGal",3819,49265,"BL_EncGal",10081.898611284,1970.6,3870.84273854431,403.27594445136,78.824,5.11615681076017,0.515998952605394,0.0215780368206719,0.826654728009264
"7","MAT_Cra",58,700,"MAT_Cra",29.421462767,28,5.90928164645617,1.17685851068,1.12,1.05076652739286,0.482758620689655,0.0778756115464578,14.5261763343162
"8","MAT_DesMicMez",830,11993,"MAT_DesMicMez",101.247039039,479.72,9.30578479860794,4.04988156156,19.1888,0.211054446424998,0.577975903614458,0.00606357866556486,5.63106553110718
"9","MAT_DesRos",370,5034,"MAT_DesRos",27.55684077,201.36,4.74200964678017,1.1022736308,8.0544,0.136853599374255,0.544216216216216,0.0106555450199843,15.2607372657077
"10","MAT_EspTam",320,4516,"MAT_EspTam",42.114246173,180.64,3.56412011470529,1.68456984692,7.2256,0.233139095288973,0.5645,0.00987392751512392,8.30100927759681
"11","MAT_RosCost",22,316,"MAT_RosCost",2.109242209,12.64,0.10166066806771,0.08436968836,0.5056,0.166870427927215,0.574545454545455,0.0239641321763247,28.1474073321628
"12","MAT_Sar",484,7039,"MAT_Sar",126.704989354,281.56,10.9550097125468,5.06819957416,11.2624,0.450010617111806,0.581735537190083,0.010471153574771,4.56066151022658
"13","MAT_SarCra",187,2701,"MAT_SarCra",58.487213428,108.04,4.21557571898257,2.33948853712,4.3216,0.541347773306183,0.577754010695187,0.0159376548537776,5.77037628189083
"14","MAT_SarCraNeb",56,820,"MAT_SarCraNeb",14.604275033,32.8,1.29730721155998,0.58417100132,1.312,0.445252287591463,0.585714285714286,0.031330755066579,13.7917943695865
"15","PAST",3042,37881,"PAST",1884.374370779,1515.24,570.397811825314,75.37497483116,60.6096,1.24361445762981,0.49810650887574,0.0144110128809724,2.27124934688671
"16","SC_BajaMat_Sub",1204,15297,"SC_BajaMat_Sub",1906.797659431,611.88,470.99418347015,76.27190637724,24.4752,3.11629348798948,0.508205980066445,0.0249735043597555,1.57071433527593
"17","SC_Med_Sub",1067,14308,"SC_Med_Sub",3448.100448377,572.32,1377.84203137008,137.92401793508,22.8928,6.02477713233331,0.536382380506092,0.0408800038736492,1.3299215196251
"18","SC_Secun",1531,18859,"SC_Secun",2181.445831158,754.36,653.726118803765,87.25783324632,30.1744,2.89178353989872,0.492723709993468,0.0265674210211881,1.80069304922292
"19","SP_Alta_Sub",44,558,"SP_Alta_Sub",234.532251448,22.32,157.201956010558,9.38129005792,0.8928,10.5077173587814,0.507272727272727,0.347010882730021,6.47277907206405
"20","SP_AltaMed",595,7163,"SP_AltaMed",1881.285781486,286.52,1162.72082864834,75.25143125944,11.4608,6.56598415987016,0.481546218487395,0.0903234181043424,2.69622794045869
"21","SP_BajaMed_Sub",1960,28507,"SP_BajaMed_Sub",10239.991819501,1140.28,5355.38151912492,409.59967278004,45.6112,8.98024329068387,0.581775510204082,0.0359232637519704,0.784049993688981
"22","SP_MangPet",222,2910,"SP_MangPet",331.910255029,116.4,140.277016700659,13.27641020116,4.656,2.85146267207045,0.524324324324324,0.0871403685510655,5.98973726827972
"23","SP_MesoBaja",421,4329,"SP_MesoBaja",1550.519657237,173.16,1164.18603227728,62.02078628948,6.9264,8.95425997480365,0.411306413301663,0.142665483302034,3.12280800489175
"24","SP_Secun",648,6939,"SP_Secun",1097.499256622,277.56,480.079913800412,43.89997026488,11.1024,3.95409733615074,0.428333333333333,0.0631233868971505,3.12895277481602
