"","Estrato","nCong","nSit","yi","ai","yi2","yiai","ai2","ER_Carboles","Prom_ai","SdER_Carboles","U_Carboles"
"1","BC",8,28,0,1.12,0,0,0.0448,0,0.14,0,NA
"2","BCO/P",4404,16800,0.04357205,672,0.0005562388105153,0.001742882,26.88,6.48393601190476e-05,0.152588555858311,3.50967225395429e-05,106.092311909315
"3","BCO/S",1137,4203,0.108058,168.12,0.00799601139088,0.00432232,6.7248,0.000642743278610516,0.147862796833773,0.000532026087872685,162.237578662001
"4","BE/P",3365,12756,0.08073824,510.24,0.0023409456890256,0.0032295296,20.4096,0.000158235810598934,0.151631500742942,9.48283730459759e-05,117.459891327131
"5","BE/S",1466,5477,0,219.08,0,0,8.7632,0,0.149440654843111,0,NA
"6","BM/P",357,1145,0,45.8,0,0,1.832,0,0.128291316526611,0,NA
"7","BM/S",160,553,0,22.12,0,0,0.8848,0,0.13825,0,NA
"8","EOTL/P",32,123,0,4.92,0,0,0.1968,0,0.15375,0,NA
"9","EOTL/S",31,120,0,4.8,0,0,0.192,0,0.154838709677419,0,NA
"10","EOTnL/P",3,12,0,0.48,0,0,0.0192,0,0.16,0,NA
"11","MXL/P",1484,5811,0,232.44,0,0,9.2976,0,0.156630727762803,0,NA
"12","MXL/S",198,767,0,30.68,0,0,1.2272,0,0.154949494949495,0,NA
"13","MXnL/P",864,3452,0,138.08,0,0,5.5232,0,0.159814814814815,0,NA
"14","MXnL/S",81,324,0,12.96,0,0,0.5184,0,0.16,0,NA
"15","P",1806,7223,0,288.92,0,0,11.5568,0,0.159977851605759,0,NA
"16","SC/P",939,3495,0.03430243,139.8,0.0004268261014925,0.0013720972,5.592,0.000245367882689557,0.14888178913738,0.000147801330343637,118.063784183217
"17","SC/S",613,2293,0,91.72,0,0,3.6688,0,0.149624796084829,0,NA
"18","SP/P",2375,9030,0,361.2,0,0,14.448,0,0.152084210526316,0,NA
"19","SP/S",585,2060,0,82.4,0,0,3.296,0,0.140854700854701,0,NA
"20","SSC/P",993,3826,0,153.04,0,0,6.1216,0,0.154118831822759,0,NA
"21","SSC/S",491,1848,0,73.92,0,0,2.9568,0,0.150549898167006,0,NA
"22","VHL/P",246,919,0,36.76,0,0,1.4704,0,0.149430894308943,0,NA
"23","VHL/S",17,66,0,2.64,0,0,0.1056,0,0.155294117647059,0,NA
"24","VHnL/P",156,623,0,24.92,0,0,0.9968,0,0.15974358974359,0,NA
