"","Estrato","nCong","nSit","cve4_pmn","yi","ai","yi2","yiai","ai2","ER_Carboles","Prom_ai","SdER_Carboles","U_Carboles"
"1","B_Secun",2227,25809,"B_Secun",0.01152111,1032.36,4.42453252107e-05,0.0004608444,41.2944,1.11599732651401e-05,0.463565334530759,6.44428609918092e-06,113.179489361761
"2","BC_AyaCedOya",57,673,"BC_AyaCedOya",0,26.92,0,0,1.0768,0,0.472280701754386,0,NA
"3","BC_MatSubMez",281,3684,"BC_MatSubMez",0,147.36,0,0,5.8944,0,0.5244128113879,0,NA
"4","BC_PinTasMat",4934,67400,"BC_PinTasMat",0.62985864,2696,0.03427589583908,0.0251943456,107.84,0.00023362709198813,0.546412646939603,6.86722443123513e-05,57.612153499324
"5","BL_Chap",163,2216,"BL_Chap",0,88.64,0,0,3.5456,0,0.543803680981595,0,NA
"6","BL_EncGal",3819,49265,"BL_EncGal",0.24651001,1970.6,0.0083880528196129,0.0098604004,78.824,0.000125093885111134,0.515998952605394,4.64790275269907e-05,72.8244181336037
"7","MAT_Cra",58,700,"MAT_Cra",0,28,0,0,1.12,0,0.482758620689655,0,NA
"8","MAT_DesMicMez",830,11993,"MAT_DesMicMez",0,479.72,0,0,19.1888,0,0.577975903614458,0,NA
"9","MAT_DesRos",370,5034,"MAT_DesRos",0,201.36,0,0,8.0544,0,0.544216216216216,0,NA
"10","MAT_EspTam",320,4516,"MAT_EspTam",0,180.64,0,0,7.2256,0,0.5645,0,NA
"11","MAT_RosCost",22,316,"MAT_RosCost",0,12.64,0,0,0.5056,0,0.574545454545455,0,NA
"12","MAT_Sar",484,7039,"MAT_Sar",0,281.56,0,0,11.2624,0,0.581735537190083,0,NA
"13","MAT_SarCra",187,2701,"MAT_SarCra",0,108.04,0,0,4.3216,0,0.577754010695187,0,NA
"14","MAT_SarCraNeb",56,820,"MAT_SarCraNeb",0,32.8,0,0,1.312,0,0.585714285714286,0,NA
"15","PAST",3042,37881,"PAST",0.0415834,1515.24,0.00086458957778,0.001663336,60.6096,2.74434413030279e-05,0.49810650887574,1.94081214526597e-05,138.612055343861
"16","SC_BajaMat_Sub",1204,15297,"SC_BajaMat_Sub",0.13720972,611.88,0.00170730440597,0.0054883888,24.4752,0.000224242858076747,0.508205980066445,6.75325365862127e-05,59.0269731862209
"17","SC_Med_Sub",1067,14308,"SC_Med_Sub",0,572.32,0,0,22.8928,0,0.536382380506092,0,NA
"18","SC_Secun",1531,18859,"SC_Secun",0,754.36,0,0,30.1744,0,0.492723709993468,0,NA
"19","SP_Alta_Sub",44,558,"SP_Alta_Sub",0,22.32,0,0,0.8928,0,0.507272727272727,0,NA
"20","SP_AltaMed",595,7163,"SP_AltaMed",0,286.52,0,0,11.4608,0,0.481546218487395,0,NA
"21","SP_BajaMed_Sub",1960,28507,"SP_BajaMed_Sub",0,1140.28,0,0,45.6112,0,0.581775510204082,0,NA
"22","SP_MangPet",222,2910,"SP_MangPet",0,116.4,0,0,4.656,0,0.524324324324324,0,NA
"23","SP_MesoBaja",421,4329,"SP_MesoBaja",0,173.16,0,0,6.9264,0,0.411306413301663,0,NA
"24","SP_Secun",648,6939,"SP_Secun",0,277.56,0,0,11.1024,0,0.428333333333333,0,NA
