"","Estrato","TotUMPreal","SumYi","SumAi","SumYi2","SumYiAi","SumAi2","PromAi","cves2_pmn","cves3_pmn","cves4_pmn","cves5_pmn","f","EstRasonHa","VarEstRasonHa","U"
"4","BC",8,45.47679505,1.12,398.331714484951,7.0877467512,0.1696,0.14,10596.3,31978.6,37350.7,59741.1,0.000214186079511227,40.6042812946429,93.2442440974409,46.6117340525191
"5","BCO/P",4404,21911.045953308,672,176970.254900018,3414.14058508008,104.8832,0.152588555858311,14073498.5,13191853.5,12916771.5,12946846.9,0.000340952071498671,32.6057231448036,0.145768052860766,2.29505665590783
"6","BCO/S",1137,3606.93991418,168.12,20717.2998419854,556.9840801732,25.9664,0.147862796833773,3007713.6,3684114.7,3920676.8,3912800.7,0.00029000095085624,21.4545557588627,0.310464176769219,5.09028727579972
"7","BE/P",3365,10178.88347162,510.24,54059.8399834704,1577.090465204,79.296,0.151631500742942,11738564,10910566.4,10708651.8,10689829.8,0.000314231899855031,19.9492071801897,0.0871672367387488,2.90072842055626
"8","BE/S",1466,3128.52394396,219.08,14016.572188427,486.3018059472,33.9536,0.149440654843111,4058164.8,4698940.3,4920073.4,4884711.4,0.000297963034453917,14.2802809200292,0.146975989243096,5.26189910532743
"9","BM/P",357,1736.89567246,45.8,17577.6404436592,249.9213288508,6.5392,0.128291316526611,1320739.7,1263362.4,1300704,1319183.2,0.000274466750313676,37.9234862982533,3.8361295234925,10.1226552778127
"10","BM/S",160,397.2266263,22.12,2654.18535733289,59.7780956716,3.3328,0.13825,493321.6,560248.7,541573.1,534972.3,0.000295435648484018,17.9578040822785,3.25257847250036,19.6841530817097
"11","EOTL/P",32,41.63340696,4.92,235.29065305777,6.3852263328,0.7728,0.15375,350886.3,262201.4,270230.5,256911.7,0.000118417425124107,8.46207458536585,7.78433105392195,64.623410051007
"12","EOTL/S",31,27.22883364,4.8,60.3558687924637,4.3481075372,0.7584,0.154838709677419,164614.1,155765.8,157748.2,152651.1,0.00019651571301606,5.672673675,1.58869803847031,43.5500792719813
"13","EOTnL/P",2,0,0.32,0,0,0.0512,0.16,169954.3,156443.3,154700,151927,1.29282482223659e-05,0,0,NA
"15","MXL/P",1484,390.89593518,232.44,579.472223413715,61.9004358248,36.8304,0.156630727762803,19100046.4,18576183.4,18501770.3,18519595.4,8.02085409091907e-05,1.6817068283428,0.00880499405414559,10.9362975368644
"16","MXL/S",198,38.031642,30.68,41.1878130357342,6.0715981996,4.8592,0.154949494949495,2567468.3,2487824,2437423.9,2129570.2,8.12333053762212e-05,1.23962327249022,0.0358769403078877,29.9484292582296
"17","MXnL/P",782,31.28915895,125.12,16.9216674476799,5.006265432,20.0192,0.16,35199691.3,34741622.5,34105690.3,33961115.6,2.2928725181088e-05,0.250073201326726,0.00100219892215697,24.8122348549697
"18","MXnL/S",72,5.54109003,11.52,7.34312518033572,0.8865744048,1.8432,0.16,2492233.5,2531541.3,2660600.2,2830534.7,2.70615630262675e-05,0.4809973984375,0.0528512722958329,93.6787457142797
"21","P",796,1321.99346221,127.36,6668.10368448728,211.5189539536,20.3776,0.16,30548009.7,31549662.9,31116487,31069662.5,2.5581293929485e-05,10.379973792478,0.276072534968265,9.92136473906658
"22","SC/P",939,1701.198905773,139.8,5910.73649315442,260.51880127888,21.5216,0.14888178913738,11310999.5,10980787,10896213.7,10799372.6,8.61767239385182e-05,12.1688047623247,0.14121684613578,6.05273140339377
"23","SC/S",613,744.748851944,91.72,2003.32081164806,114.85536890744,14.1936,0.149624796084829,7501794.4,6812025.5,6799071.2,6652584.7,9.01593735332555e-05,8.11980867797645,0.127853347446126,8.63110354182138
"24","SP/P",2375,12501.832446062,361.2,105183.770687175,1980.56174522232,56.6944,0.152084210526316,8426599.4,7933957.5,8162564.8,8423255,0.00029096246807131,34.6119392194408,0.27597658863167,2.97485813519417
"25","SP/S",585,1315.774672556,82.4,7451.37342286368,207.12282461256,12.64,0.140854700854701,2550531.8,2576898.3,2122608.4,1837438.7,0.0002756042989371,15.9681392300485,0.59876013706325,9.49791328597504
"26","SSC/P",993,3674.147008242,153.04,22285.582724423,580.31247005056,24.0864,0.154118831822759,2561134.4,2906668,2990571.9,3352144.4,0.000332043513148773,24.0077561960403,0.354803068767928,4.86293184644858
"27","SSC/S",491,907.780666614,73.92,3699.39402184712,141.79545282504,11.5488,0.150549898167006,2151626.5,1859838.8,1451458.9,931251.4,0.000338280332980837,12.2805826111201,0.359024800872299,9.56311383415524
"28","VHL/P",246,364.15092454,36.76,2427.02705552167,57.8069272964,5.736,0.149430894308943,1159748.7,1088865.7,1097953.5,1106932.2,0.000224053204438986,9.90617313764962,1.37033986170282,23.1613731069842
"29","VHL/S",17,16.08671964,2.64,46.7102691847779,2.5185577296,0.4128,0.155294117647059,9019.8,45603.5,78105.8,78956.3,0.000217653490521831,6.09345440909091,4.77730993463536,70.3046764767412
"30","VHnL/P",101,22.43738108,16.16,51.8524039529085,3.5899809728,2.5856,0.16,1525027.1,1482089.1,1428189.4,1431551.4,7.07189116513538e-05,1.38845179950495,0.181252219852166,60.0989564129778
