"","Estrato","TotUMPreal","SumYi","SumAi","SumYi2","SumYiAi","SumAi2","PromAi","madmex_05","inegi_s4","f","EstRasonHa","VarEstRasonHa","U"
"1","AGRI",1597,5674.95389638,397.76,62146.6588772115,1837.87643498328,126.7136,0.249067000626174,32228860.6153357,32190265.4649797,4.95518603360147e-05,14.2672815174477,0.224490798456536,6.50899762354319
"2","AH",33,87.34441173,8.44,725.022856796329,27.2978888976,2.5744,0.255757575757576,1405582.41626501,1597603.92417272,2.34778121995076e-05,10.3488639490521,6.30798319162779,47.5673171618414
"3","B_Secun",6891,68167.65634555,4067.12,1355216.17803087,41999.7758917616,2503.3472,0.590207517051226,6739120.97920828,9580615.80706352,0.00102253691857741,16.7606700430649,0.0392950047236567,2.31810640821109
"4","BC_AyaCedOya",179,9325.03943682,105.92,717190.218782695,5770.2280579488,64.9216,0.591731843575419,142447.026139908,166362.172657682,0.00125660749017105,88.0385143204305,18.2964369348793,9.52284307647789
"5","BC_MatSubMez",954,2930.84353127,580.32,31990.8594359442,1834.2635256704,362.0736,0.608301886792453,2558029.53299284,2740015.69676307,0.00037294330956525,5.05039207897367,0.0674461244783655,10.0788150555312
"6","BC_PinTasMat",17592,354891.764643478,10698.48,11095521.7708802,220610.032579678,6662.8096,0.608144611186903,13487222.0344533,12677803.7777404,0.00130434569513729,33.1721669474054,0.0330801754897132,1.07464774408272
"7","BL_Chap",562,831.53187524,353.12,10143.08437812,525.7274763392,223.8208,0.628327402135231,1938616.87903144,1797515.77358258,0.000289897403699891,2.35481387415043,0.0715474227236852,22.263655976259
"8","BL_EncGal",12910,159915.518141132,7815.96,3387762.4048894,99004.6083856076,4850.2032,0.605419054996127,11407847.244401,10674800.8632589,0.00113167714498774,20.4601249419306,0.0223509795261228,1.43217494013629
"10","H2O",34,83.75347751,6.76,937.29459397247,29.4755367472,2.056,0.198823529411765,1186264.74606495,1465099.70905225,2.86613929249639e-05,12.3895676789941,11.7803449946326,54.2973861764561
"11","HUM_Pop",5,0.908865,0.68,0.826035588225,0.4362552,0.2416,0.136,131087.517435586,130541.825360816,3.81424570227055e-05,1.33656617647059,0.247244429903281,72.9170118600458
"12","HUM_Tul",87,202.41876351,21.96,2157.2353029276,75.9913457072,7.368,0.252413793103448,942008.948885069,912655.494363086,9.23558105291572e-05,9.21761218169399,2.89954209749704,36.2078175965232
"13","MAT_Cra",179,442.38544043,109.92,3725.97892359456,278.1130813104,68.5824,0.614078212290503,1225021.75066546,1546883.03473756,0.000146119854527287,4.0246128132278,0.216220428214593,22.6454172633188
"14","MAT_DesMicMez",3034,1401.2322623,1901.84,4579.01665738999,890.295058592,1207.1872,0.626842452208306,25744393.2737922,23823990.1408832,0.000117850903213501,0.736777153861524,0.00108467364478952,8.76131842073556
"15","MAT_DesRos",1270,408.16334564,804.2,3097.77525254854,253.7850859968,511.3872,0.633228346456693,10929757.5525086,10669171.0770138,0.000116196539026477,0.507539599154439,0.0045982960542947,26.18693098383
"16","MAT_EspTam",1145,573.35647926,717.16,1926.58695645633,360.338135904,454.7088,0.626340611353712,3473600.94192519,3402018.72115291,0.000329629113747707,0.799481955574767,0.00319247572683949,13.8519593119732
"17","MAT_RosCost",79,28.1215513,50.08,51.0797159591185,17.835141904,31.9744,0.633924050632911,499139.420534499,472332.005939523,0.000158272411975403,0.561532573881789,0.0166078354748821,44.9818832493308
"18","MAT_Sar",1800,1785.173650492,1122.4,7712.85748772842,1130.73813780288,708.1728,0.623555555555556,5646371.73102354,5288080.46677214,0.000318788787870633,1.59049683757306,0.00469036540816531,8.43969205580203
"19","MAT_SarCra",685,822.330470488,431.2,2843.36937656613,522.86964587392,273.3312,0.629489051094891,2173885.84119077,2313560.98111354,0.000315103942912101,1.90707437497217,0.00992434162015562,10.2385697528566
"20","MAT_SarCraNeb",205,206.5311698,128,1015.64981318768,132.0389164544,80.896,0.624390243902439,549461.587187342,566334.742525148,0.000373092505063696,1.6135247640625,0.0490591880166657,26.9054719259536
