"","Estrato","TotUMPreal","SumYi","SumAi","SumYi2","SumYiAi","SumAi2","PromAi","cves2_pmn","cves3_pmn","cves4_pmn","cves5_pmn","f","EstRasonHa","VarEstRasonHa","U"
"4","BC",8,0.020414436,1.12,0.000159623467401576,0.00316319068,0.1696,0.14,10596.3,31978.6,37350.7,59741.1,0.000214186079511227,0.018227175,9.16873544622596e-05,102.965427977431
"5","BCO/P",4404,22.207805555,672,0.382525588668761,3.47221516472,104.8832,0.152588555858311,14073498.5,13191853.5,12916771.5,12946846.9,0.000340952071498671,0.0330473296949405,5.92460981003144e-07,4.56509242654113
"6","BCO/S",1137,3.503296258,168.12,0.050740280932098,0.54718089344,25.9664,0.147862796833773,3007713.6,3684114.7,3920676.8,3912800.7,0.00029000095085624,0.0208380695812515,1.38812018963007e-06,11.0818463135953
"7","BE/P",3365,11.841551658,510.24,0.142634756460632,1.85416696276,79.296,0.151631500742942,11738564,10910566.4,10708651.8,10689829.8,0.000314231899855031,0.0232078074200376,3.81339481828786e-07,5.21528258717865
"8","BE/S",1466,2.808018002,219.08,0.0296946689211515,0.43932702084,33.9536,0.149440654843111,4058164.8,4698940.3,4920073.4,4884711.4,0.000297963034453917,0.012817317883878,5.004564720497e-07,10.81787779118
"9","BM/P",357,1.548574292,45.8,0.0353423819957752,0.22066713288,6.5392,0.128291316526611,1320739.7,1263362.4,1300704,1319183.2,0.000274466750313676,0.0338116657641921,1.33324202714848e-05,21.1662539172449
"10","BM/S",160,0.438792536,22.12,0.00771376245893911,0.06849010428,3.3328,0.13825,493321.6,560248.7,541573.1,534972.3,0.000295435648484018,0.0198369139240506,1.29692115473828e-05,35.5826877583063
"11","EOTL/P",32,1.49982417,4.92,1.94350870688361,0.2399718672,0.7728,0.15375,350886.3,262201.4,270230.5,256911.7,0.000118417425124107,0.30484231097561,0.0796929472738513,181.505909878294
"12","EOTL/S",31,0.022027969,4.8,9.2059443406455e-05,0.0034954122,0.7584,0.154838709677419,164614.1,155765.8,157748.2,152651.1,0.00019651571301606,0.00458916020833333,3.40563640025624e-06,78.8173795301618
"13","EOTnL/P",2,0,0.32,0,0,0.0512,0.16,169954.3,156443.3,154700,151927,1.29282482223659e-05,0,0,NA
"15","MXL/P",1484,0.050307007,232.44,0.000328233959957603,0.00781163844,36.8304,0.156630727762803,19100046.4,18576183.4,18501770.3,18519595.4,8.02085409091907e-05,0.000216430076578902,6.04815439074768e-09,70.4287357697019
"16","MXL/S",198,0.006119788,30.68,2.439469810536e-05,0.00097916608,4.8592,0.154949494949495,2567468.3,2487824,2437423.9,2129570.2,8.12333053762212e-05,0.000199471577574967,2.58357952527799e-08,157.937757014706
"17","MXnL/P",782,0.006166951,125.12,2.5705045251713e-05,0.00098671216,20.0192,0.16,35199691.3,34741622.5,34105690.3,33961115.6,2.2928725181088e-05,4.92882912404092e-05,1.64092302545657e-09,161.085486808152
"18","MXnL/S",72,0.001746667,11.52,3.050845608889e-06,0.00027946672,1.8432,0.16,2492233.5,2531541.3,2660600.2,2830534.7,2.70615630262675e-05,0.000151620399305556,2.29881233741913e-08,195.997347948881
"21","P",796,25.517226411,127.36,25.9740454208186,4.08275622576,20.3776,0.16,30548009.7,31549662.9,31116487,31069662.5,2.5581293929485e-05,0.200355106870289,0.00155278411741764,38.5488294256498
"22","SC/P",939,3.854669851,139.8,0.0710677200709201,0.58870716264,21.5216,0.14888178913738,11310999.5,10980787,10896213.7,10799372.6,8.61767239385182e-05,0.0275727457153076,2.81512741641578e-06,11.9268315065709
"23","SC/S",613,1.238865118,91.72,0.0108845326514562,0.19204167148,14.1936,0.149624796084829,7501794.4,6812025.5,6799071.2,6652584.7,9.01593735332555e-05,0.0135070335586568,9.86498592768651e-07,14.4126661701207
"24","SP/P",2375,16.820415581,361.2,0.366689461039941,2.6684558998,56.6944,0.152084210526316,8426599.4,7933957.5,8162564.8,8423255,0.00029096246807131,0.0465681494490587,1.84828860899828e-06,5.72205443213538
"25","SP/S",585,1.80884205,82.4,0.0507200909506721,0.28607014428,12.64,0.140854700854701,2550531.8,2576898.3,2122608.4,1837438.7,0.0002756042989371,0.0219519666262136,6.52675761295274e-06,22.8103200984486
"26","SSC/P",993,4.774214794,153.04,0.0623679714682749,0.75686265208,24.0864,0.154118831822759,2561134.4,2906668,2990571.9,3352144.4,0.000332043513148773,0.0311958624803973,1.64861133386765e-06,8.06711438216263
"27","SSC/S",491,1.207863447,73.92,0.0111588264709574,0.1904532212,11.5488,0.150549898167006,2151626.5,1859838.8,1451458.9,931251.4,0.000338280332980837,0.0163401440340909,1.46992949966427e-06,14.5428138062953
"28","VHL/P",246,1.018017138,36.76,0.066176005024767,0.15963146728,5.736,0.149430894308943,1159748.7,1088865.7,1097953.5,1106932.2,0.000224053204438986,0.0276936109357998,4.58608768044379e-05,47.9289220572216
"29","VHL/S",17,0.020422468,2.64,0.000102248716308332,0.00289309552,0.4128,0.155294117647059,9019.8,45603.5,78105.8,78956.3,0.000217653490521831,0.00773578333333333,1.25270949014071e-05,89.6761506208631
"30","VHnL/P",101,0.057373678,16.16,0.000599642230080838,0.00917978848,2.5856,0.16,1525027.1,1482089.1,1428189.4,1431551.4,7.07189116513538e-05,0.00355035136138614,2.19295581041673e-06,81.7522428663102
