"","Estrato","TotUMPreal","SumYi","SumAi","SumYi2","SumYiAi","SumAi2","PromAi","madmex_05","inegi_s4","f","EstRasonHa","VarEstRasonHa","U"
"1","AGRI",1597,11.982371962,397.76,6.87694029972641,4.41216962832,126.7136,0.249067000626174,32228860.6153357,32190265.4649797,4.95518603360147e-05,0.0301246278207965,4.25374791938482e-05,42.4346140096747
"2","AH",33,0.220521419,8.44,0.00758101287362358,0.08104233424,2.5744,0.255757575757576,1405582.41626501,1597603.92417272,2.34778121995076e-05,0.0261281302132701,7.38821945012049e-05,64.4789019400015
"3","B_Secun",6891,73.774632793,4067.12,6.55687946053812,45.86505777584,2503.3472,0.590207517051226,6739120.97920828,9580615.80706352,0.00102253691857741,0.0181392810620291,3.45291640516097e-07,6.34934657455352
"4","BC_AyaCedOya",179,6.869955105,105.92,0.698603146224289,4.25836458032,64.9216,0.591731843575419,142447.026139908,166362.172657682,0.00125660749017105,0.0648598480456949,3.75386113866516e-05,18.5148094244875
"5","BC_MatSubMez",954,1.755625456,580.32,0.0532832077847453,1.08490298144,362.0736,0.608301886792453,2558029.53299284,2740015.69676307,0.00037294330956525,0.00302527132616487,1.48666383042252e-07,24.9803275090034
"6","BC_PinTasMat",17592,410.824562427,10698.48,158.940141850452,256.17873527592,6662.8096,0.608144611186903,13487222.0344533,12677803.7777404,0.00130434569513729,0.0384002739105929,1.30095764577625e-06,5.82174699992538
"7","BL_Chap",562,1.335665068,353.12,0.101148145851578,0.85226240384,223.8208,0.628327402135231,1938616.87903144,1797515.77358258,0.000289897403699891,0.00378246790892614,7.86319674740949e-07,45.9494577329974
"8","BL_EncGal",12910,220.672594586,7815.96,34.5704958368331,137.805692198,4850.2032,0.605419054996127,11407847.244401,10674800.8632589,0.00113167714498774,0.0282335880155477,5.012822469579e-07,4.91508644276664
"10","H2O",34,0.118295665,6.76,0.00381306668263877,0.0421632968,2.056,0.198823529411765,1186264.74606495,1465099.70905225,2.86613929249639e-05,0.0174993587278107,6.68925935010086e-05,91.6057963492792
"11","HUM_Pop",5,0,0.68,0,0,0.2416,0.136,131087.517435586,130541.825360816,3.81424570227055e-05,0,0,NA
"12","HUM_Tul",87,2.464334538,21.96,2.26394129317765,0.81328358096,7.368,0.252413793103448,942008.948885069,912655.494363086,9.23558105291572e-05,0.112219241256831,0.00456052268921082,117.949486290148
"13","MAT_Cra",179,0.225001828,109.92,0.00371781724507589,0.14400116992,68.5824,0.614078212290503,1225021.75066546,1546883.03473756,0.000146119854527287,0.00204695986171761,2.84242921125562e-07,51.0495094782853
"14","MAT_DesMicMez",3034,0.407114076,1901.84,0.0096090279471885,0.26055300864,1207.1872,0.626842452208306,25744393.2737922,23823990.1408832,0.000117850903213501,0.000214063262945358,2.64164527543464e-09,47.0599195070197
"15","MAT_DesRos",1270,0.748604896,804.2,0.0965955390695388,0.47910713344,511.3872,0.633228346456693,10929757.5525086,10669171.0770138,0.000116196539026477,0.000930869057448396,1.48763999359291e-07,81.211288237913
"16","MAT_EspTam",1145,0.06393,717.16,0.001021761225,0.0409152,454.7088,0.626340611353712,3473600.94192519,3402018.72115291,0.000329629113747707,8.91432874114563e-05,1.98055108908783e-09,97.8499144544052
"17","MAT_RosCost",79,0,50.08,0,0,31.9744,0.633924050632911,499139.420534499,472332.005939523,0.000158272411975403,0,0,NA
"18","MAT_Sar",1800,0.046412068,1122.4,0.000478238582705008,0.02970372352,708.1728,0.623555555555556,5646371.73102354,5288080.46677214,0.000318788787870633,4.1350737704918e-05,3.78721099112527e-10,92.2428175528101
"19","MAT_SarCra",685,0,431.2,0,0,273.3312,0.629489051094891,2173885.84119077,2313560.98111354,0.000315103942912101,0,0,NA
"20","MAT_SarCraNeb",205,0,128,0,0,80.896,0.624390243902439,549461.587187342,566334.742525148,0.000373092505063696,0,0,NA
"21","NN",27,0.132497608,7.56,0.00654856958696274,0.04267285984,2.7664,0.28,NA,NA,NA,0.0175261386243386,NA,NA
"22","PAST",5272,174.547527926,3293.44,137.089260571389,110.82673574432,2082.6112,0.624704097116844,32241566.6037388,30988044.8247185,0.000163515627661487,0.0529985449639283,1.20953421076821e-05,12.861783742844
"23","SC_BajaMat_Sub",4140,79.717573543,2413.72,13.5458060538539,48.02602472388,1464.2704,0.583024154589372,10808794.091653,9991767.74995932,0.000383021451319632,0.0330268521381933,2.05439597108789e-06,8.50610945037852
"24","SC_Med_Sub",3666,127.658836751,2267.36,139.245353980447,81.18243460384,1428.736,0.61848336061102,3284532.60819877,3768188.78835709,0.00111614054031585,0.0563028529880566,2.61663761621131e-05,17.8072747497602
"25","SC_Secun",5012,88.575614187,2976.2,19.8954168119523,55.64140200992,1844.4464,0.593814844373504,7972961.8519755,8186929.9281975,0.0006286246056424,0.0297613111306364,2.05575164762083e-06,9.44255090457546
"26","SP_Alta_Sub",152,3.779982723,87.88,0.205186342782859,2.37344281392,54.0944,0.578157894736842,140855.240387983,145202.477488068,0.00107912208009669,0.0430130032203004,1.31620652813008e-05,16.5317308125561
"27","SP_AltaMed",2074,151.734085193,1131.24,1341.70403066369,95.96530465912,678.472,0.545438765670203,2423850.00575436,2341833.36841353,0.000855663508499372,0.13413076375747,0.00103748242855343,47.0671659335453
"28","SP_BajaMed_Sub",7188,333.412209084,4538.24,167.500374239694,212.3615392528,2887.6192,0.631363383416806,5619495.21760099,5635319.28433754,0.00127911844777201,0.0734672932863841,7.36611438174762e-06,7.24071178543468
"29","SP_MangPet",769,27.580764173,451.68,22.6180746123118,17.39085694592,278.9152,0.587360208062419,907748.921526312,915005.62153357,0.000847150552056822,0.0610626199366808,0.000105599975528551,32.9847005753852
"30","SP_MesoBaja",1347,27.193985505,675.36,3.734184475057,15.3937358504,378.8096,0.501380846325167,1378768.0854937,1338633.92643427,0.000976959079755371,0.0402659107809168,6.81401845738004e-06,12.7063319576876
"31","SP_Secun",1963,33.811079844,1076.48,47.9322311108273,21.05212060116,645.2928,0.548385124808966,1915718.7034914,2735056.47988649,0.0010246807093455,0.0314089252415279,4.07504710563097e-05,39.8354119021944
"32","SVA",11,0.085795131,2.92,0.00245360150110239,0.01372722096,0.9488,0.265454545454545,1122261.31470218,998581.18640792,9.80163875907914e-06,0.0293818941780822,0.000318142436069966,118.983593780045
"33","V_Cost",7,0.147521559,1.76,0.0217626103697905,0.02360344944,0.5376,0.251428571428571,173058.734266644,153780.240165302,4.04486952343856e-05,0.0838190676136364,0.00812850635118059,210.823306559087
"34","V_Desert",4,0,0.96,0,0,0.3072,0.24,2225748.42531843,2157591.51852057,1.79714830054422e-06,0,0,NA
"35","V_GipHalXer",47,0.002126865,12.96,4.523554728225e-06,0.0010208952,4.224,0.275744680851064,3019735.3579608,2549688.46110137,1.55642778020583e-05,0.000164109953703704,2.61708401356194e-08,193.210169131769
"36","V_HalHid",12,0.096405645,2.52,0.0078993442974354,0.024228,0.7152,0.21,518742.005678674,380106.977585455,2.31328866153808e-05,0.0382562083333333,0.00121833288727187,178.82866370788
