"","Estrato","TotUMPreal","SumYi","SumAi","SumYi2","SumYiAi","SumAi2","PromAi","cves2_pmn","cves3_pmn","cves4_pmn","cves5_pmn","f","EstRasonHa","VarEstRasonHa","U"
"4","BC",8,10.777889947,1.12,21.8132778102294,1.6786472182,0.1696,0.14,10596.3,31978.6,37350.7,59741.1,0.000214186079511227,9.62311602410714,4.74692740694232,44.3758458709007
"5","BCO/P",4404,5198.410271155,672,9454.15392481654,810.21570910832,104.8832,0.152588555858311,14073498.5,13191853.5,12916771.5,12946846.9,0.000340952071498671,7.73572957017113,0.00707496273957151,2.1311639972341
"6","BCO/S",1137,873.287663388,168.12,1157.80237440889,134.92960171976,25.9664,0.147862796833773,3007713.6,3684114.7,3920676.8,3912800.7,0.00029000095085624,5.19443054596717,0.0161664927306512,4.79762206545765
"7","BE/P",3365,2567.676638857,510.24,3271.0105192979,397.79442019208,79.296,0.151631500742942,11738564,10910566.4,10708651.8,10689829.8,0.000314231899855031,5.03229193880723,0.00489904953994041,2.7261274699884
"8","BE/S",1466,803.49986433,219.08,867.599051743314,124.87811025344,33.9536,0.149440654843111,4058164.8,4698940.3,4920073.4,4884711.4,0.000297963034453917,3.66760938620595,0.0085104886785179,4.93003775288274
"9","BM/P",357,414.561002653,45.8,945.224106878134,59.60750797408,6.5392,0.128291316526611,1320739.7,1263362.4,1300704,1319183.2,0.000274466750313676,9.05155027626638,0.192083510040819,9.49026074729675
"10","BM/S",160,98.048125431,22.12,151.743739394632,14.76987522156,3.3328,0.13825,493321.6,560248.7,541573.1,534972.3,0.000295435648484018,4.43255539923146,0.177409647258155,18.6247527186592
"11","EOTL/P",32,10.177796228,4.92,13.0060993858187,1.56349461856,0.7728,0.15375,350886.3,262201.4,270230.5,256911.7,0.000118417425124107,2.0686577699187,0.419759566009886,61.3857722412044
"12","EOTL/S",31,7.16055719,4.8,3.94757225902461,1.14320206792,0.7584,0.154838709677419,164614.1,155765.8,157748.2,152651.1,0.00019651571301606,1.49178274791667,0.0997486076572556,41.4957780593079
"13","EOTnL/P",2,0,0.32,0,0,0.0512,0.16,169954.3,156443.3,154700,151927,1.29282482223659e-05,0,0,NA
"15","MXL/P",1484,108.248783529,232.44,38.4934420370606,17.14623677,36.8304,0.156630727762803,19100046.4,18576183.4,18501770.3,18519595.4,8.02085409091907e-05,0.465706347999484,0.000565059048083606,10.004394995849
"16","MXL/S",198,10.628550518,30.68,2.88436127880679,1.69659708024,4.8592,0.154949494949495,2567468.3,2487824,2437423.9,2129570.2,8.12333053762212e-05,0.346432546219035,0.00244721904561654,27.9881251678047
"17","MXnL/P",782,9.146746307,125.12,1.29352345273573,1.46347940912,20.0192,0.16,35199691.3,34741622.5,34105690.3,33961115.6,2.2928725181088e-05,0.0731037908168159,7.58881175961649e-05,23.3562472200536
"18","MXnL/S",72,1.483749793,11.52,0.501623397618082,0.23739996688,1.8432,0.16,2492233.5,2531541.3,2660600.2,2830534.7,2.70615630262675e-05,0.128797725086806,0.00359932874459753,91.2974476617362
"21","P",796,328.958189571,127.36,375.299659283919,52.63331033136,20.3776,0.16,30548009.7,31549662.9,31116487,31069662.5,2.5581293929485e-05,2.5829003578125,0.0147743273805107,9.22363859781967
"22","SC/P",939,428.827500362,139.8,352.319064055703,65.6966267122,21.5216,0.14888178913738,11310999.5,10980787,10896213.7,10799372.6,8.61767239385182e-05,3.06743562490701,0.00777360470028659,5.63367566093119
"23","SC/S",613,191.019232105,91.72,123.142311174998,29.46816960568,14.1936,0.149624796084829,7501794.4,6812025.5,6799071.2,6652584.7,9.01593735332555e-05,2.08263445382686,0.00737682277460789,8.08309526788361
"24","SP/P",2375,2986.713248392,361.2,5799.3360919978,473.10942993808,56.6944,0.152084210526316,8426599.4,7933957.5,8162564.8,8423255,0.00029096246807131,8.26886281393134,0.0141941901266648,2.82400586079317
"25","SP/S",585,324.129861726,82.4,427.364095120035,51.02589559424,12.64,0.140854700854701,2550531.8,2576898.3,2122608.4,1837438.7,0.0002756042989371,3.93361482677184,0.0326716470989982,9.00636935972424
"26","SSC/P",993,902.479455444,153.04,1286.95593373237,142.5455125716,24.0864,0.154118831822759,2561134.4,2906668,2990571.9,3352144.4,0.000332043513148773,5.8970168285677,0.0189430120618271,4.57454834943427
"27","SSC/S",491,229.673758212,73.92,223.349329550542,35.89492272596,11.5488,0.150549898167006,2151626.5,1859838.8,1451458.9,931251.4,0.000338280332980837,3.10705841737013,0.0204924705896634,9.03033398436942
"28","VHL/P",246,89.169701922,36.76,135.572458835323,14.14836428084,5.736,0.149430894308943,1159748.7,1088865.7,1097953.5,1106932.2,0.000224053204438986,2.42572638525571,0.0747963418678637,22.0980747430307
"29","VHL/S",17,4.106025807,2.64,2.90470263294346,0.64203646216,0.4128,0.155294117647059,9019.8,45603.5,78105.8,78956.3,0.000217653490521831,1.55531280568182,0.290522013767052,67.9247183815278
"30","VHnL/P",101,5.851098574,16.16,3.3328915708032,0.93617577184,2.5856,0.16,1525027.1,1482089.1,1428189.4,1431551.4,7.07189116513538e-05,0.362072931559406,0.0115784186932712,58.2484855350347
