"","Estrato","TotUMPreal","SumYi","SumAi","SumYi2","SumYiAi","SumAi2","PromAi","madmex_05","inegi_s4","f","EstRasonHa","VarEstRasonHa","U"
"1","AGRI",1597,1397.037211784,397.76,3511.04463361,452.78491745464,126.7136,0.249067000626174,32228860.6153357,32190265.4649797,4.95518603360147e-05,3.51226169495173,0.0119754726960455,6.10682586772634
"2","AH",33,21.869802267,8.44,43.3468621401483,6.85680572208,2.5744,0.255757575757576,1405582.41626501,1597603.92417272,2.34778121995076e-05,2.59120879940758,0.363328212434956,45.5935304842172
"3","B_Secun",6891,16977.221972569,4067.12,78948.2886280415,10462.3073200383,2503.3472,0.590207517051226,6739120.97920828,9580615.80706352,0.00102253691857741,4.17426138706726,0.00212750419352563,2.16576655692096
"4","BC_AyaCedOya",179,2060.342953733,105.92,33927.7902644113,1273.64976138032,64.9216,0.591731843575419,142447.026139908,166362.172657682,0.00125660749017105,19.4518783396242,0.800577573873721,9.01563325576127
"5","BC_MatSubMez",954,773.84179292,580.32,2043.04481054898,484.31563438736,362.0736,0.608301886792453,2558029.53299284,2740015.69676307,0.00037294330956525,1.33347427784671,0.0041457379512933,9.46394814904052
"6","BC_PinTasMat",17592,84506.975982001,10698.48,600312.584067307,52545.175039991,6662.8096,0.608144611186903,13487222.0344533,12677803.7777404,0.00130434569513729,7.89897031933517,0.00162237225566106,0.999449476413732
"7","BL_Chap",562,211.25477972,353.12,614.452579724966,133.60091541568,223.8208,0.628327402135231,1938616.87903144,1797515.77358258,0.000289897403699891,0.598252094811962,0.00429454680163596,21.469924309476
"8","BL_EncGal",12910,40059.286960849,7815.96,202171.940214531,24800.9049168362,4850.2032,0.605419054996127,11407847.244401,10674800.8632589,0.00113167714498774,5.12531882978534,0.0012322445490439,1.3424052363586
"10","H2O",34,20.4188237,6.76,55.0710591490212,7.2256912138,2.056,0.198823529411765,1186264.74606495,1465099.70905225,2.86613929249639e-05,3.02053605029586,0.680384555183189,53.5240873988051
"11","HUM_Pop",5,0.24920976,0.68,0.0621055044792576,0.1196206848,0.2416,0.136,131087.517435586,130541.825360816,3.81424570227055e-05,0.366484941176471,0.0185890780829738,72.9170118600458
"12","HUM_Tul",87,50.292792916,21.96,126.586475571185,18.86041523808,7.368,0.252413793103448,942008.948885069,912655.494363086,9.23558105291572e-05,2.2902000417122,0.165379606980596,34.8035569040289
"13","MAT_Cra",179,115.918261784,109.92,239.508847223762,72.85525203872,68.5824,0.614078212290503,1225021.75066546,1546883.03473756,0.000146119854527287,1.05456933937409,0.0134911529117607,21.5876547219581
"14","MAT_DesMicMez",3034,401.345884318,1901.84,333.45708799656,255.06254078432,1207.1872,0.626842452208306,25744393.2737922,23823990.1408832,0.000117850903213501,0.211030309762125,7.7308662075689e-05,8.16629968642623
"15","MAT_DesRos",1270,109.651207832,804.2,187.985407920058,68.29352834624,511.3872,0.633228346456693,10929757.5525086,10669171.0770138,0.000116196539026477,0.136348181835364,0.000276757162839593,23.9142164152914
"16","MAT_EspTam",1145,163.66617766,717.16,139.455742426864,103.01176221696,454.7088,0.626340611353712,3473600.94192519,3402018.72115291,0.000329629113747707,0.228214314323164,0.000225897896160359,12.9083069252596
"17","MAT_RosCost",79,8.148833845,50.08,4.20245216149817,5.16915206224,31.9744,0.633924050632911,499139.420534499,472332.005939523,0.000158272411975403,0.162716330770767,0.0013594221174954,44.4121803462865
"18","MAT_Sar",1800,506.447552508,1122.4,544.462464452644,320.7926170208,708.1728,0.623555555555556,5646371.73102354,5288080.46677214,0.000318788787870633,0.451218418129009,0.000316915651226539,7.73287689886829
"19","MAT_SarCra",685,233.886598633,431.2,211.210871994897,148.6968259,273.3312,0.629489051094891,2173885.84119077,2313560.98111354,0.000315103942912101,0.542408623916976,0.000701688593756811,9.57197804776844
"20","MAT_SarCraNeb",205,58.186088132,128,70.5144225066177,37.19365506848,80.896,0.624390243902439,549461.587187342,566334.742525148,0.000373092505063696,0.45457881353125,0.00327501506063333,24.6747937568478
"21","NN",27,44.691501919,7.56,177.483846271696,17.21526428672,2.7664,0.28,NA,NA,NA,5.91157432791005,NA,NA
