"","Estrato","TotUMPreal","SumYi","SumAi","SumYi2","SumYiAi","SumAi2","PromAi","cves2_pmn","cves3_pmn","cves4_pmn","cves5_pmn","f","EstRasonHa","VarEstRasonHa","U"
"4","BC",8,0,1.12,0,0,0.1696,0.14,10596.3,31978.6,37350.7,59741.1,0.000214186079511227,0,0,NA
"5","BCO/P",4404,0.04357205,672,0.0008700718838053,0.006971528,104.8832,0.152588555858311,14073498.5,13191853.5,12916771.5,12946846.9,0.000340952071498671,6.48393601190476e-05,1.92546615989933e-09,132.643293337589
"6","BCO/S",1137,0.108058,168.12,0.011676531364,0.01728928,25.9664,0.147862796833773,3007713.6,3684114.7,3920676.8,3912800.7,0.00029000095085624,0.000642743278610516,4.12955633048263e-07,195.961260747225
"7","BE/P",3365,0.08073824,510.24,0.002358449058035,0.0129181184,79.296,0.151631500742942,11738564,10910566.4,10708651.8,10689829.8,0.000314231899855031,0.000158235810598934,9.05071112542646e-09,117.839976436095
"8","BE/S",1466,0,219.08,0,0,33.9536,0.149440654843111,4058164.8,4698940.3,4920073.4,4884711.4,0.000297963034453917,0,0,NA
"9","BM/P",357,0,45.8,0,0,6.5392,0.128291316526611,1320739.7,1263362.4,1300704,1319183.2,0.000274466750313676,0,0,NA
"10","BM/S",160,0,22.12,0,0,3.3328,0.13825,493321.6,560248.7,541573.1,534972.3,0.000295435648484018,0,0,NA
"11","EOTL/P",32,0,4.92,0,0,0.7728,0.15375,350886.3,262201.4,270230.5,256911.7,0.000118417425124107,0,0,NA
"12","EOTL/S",31,0,4.8,0,0,0.7584,0.154838709677419,164614.1,155765.8,157748.2,152651.1,0.00019651571301606,0,0,NA
"13","EOTnL/P",2,0,0.32,0,0,0.0512,0.16,169954.3,156443.3,154700,151927,1.29282482223659e-05,0,0,NA
"15","MXL/P",1484,0,232.44,0,0,36.8304,0.156630727762803,19100046.4,18576183.4,18501770.3,18519595.4,8.02085409091907e-05,0,0,NA
"16","MXL/S",198,0,30.68,0,0,4.8592,0.154949494949495,2567468.3,2487824,2437423.9,2129570.2,8.12333053762212e-05,0,0,NA
"17","MXnL/P",782,0,125.12,0,0,20.0192,0.16,35199691.3,34741622.5,34105690.3,33961115.6,2.2928725181088e-05,0,0,NA
"18","MXnL/S",72,0,11.52,0,0,1.8432,0.16,2492233.5,2531541.3,2660600.2,2830534.7,2.70615630262675e-05,0,0,NA
"21","P",796,0,127.36,0,0,20.3776,0.16,30548009.7,31549662.9,31116487,31069662.5,2.5581293929485e-05,0,0,NA
"22","SC/P",939,0.03430243,139.8,0.0006319968828949,0.0054883888,21.5216,0.14888178913738,11310999.5,10980787,10896213.7,10799372.6,8.61767239385182e-05,0.000245367882689556,3.22971673433695e-08,143.555743528314
"23","SC/S",613,0,91.72,0,0,14.1936,0.149624796084829,7501794.4,6812025.5,6799071.2,6652584.7,9.01593735332555e-05,0,0,NA
"24","SP/P",2375,0,361.2,0,0,56.6944,0.152084210526316,8426599.4,7933957.5,8162564.8,8423255,0.00029096246807131,0,0,NA
"25","SP/S",585,0,82.4,0,0,12.64,0.140854700854701,2550531.8,2576898.3,2122608.4,1837438.7,0.0002756042989371,0,0,NA
"26","SSC/P",993,0,153.04,0,0,24.0864,0.154118831822759,2561134.4,2906668,2990571.9,3352144.4,0.000332043513148773,0,0,NA
"27","SSC/S",491,0,73.92,0,0,11.5488,0.150549898167006,2151626.5,1859838.8,1451458.9,931251.4,0.000338280332980837,0,0,NA
"28","VHL/P",246,0,36.76,0,0,5.736,0.149430894308943,1159748.7,1088865.7,1097953.5,1106932.2,0.000224053204438986,0,0,NA
"29","VHL/S",17,0,2.64,0,0,0.4128,0.155294117647059,9019.8,45603.5,78105.8,78956.3,0.000217653490521831,0,0,NA
"30","VHnL/P",101,0,16.16,0,0,2.5856,0.16,1525027.1,1482089.1,1428189.4,1431551.4,7.07189116513538e-05,0,0,NA
