"","Estrato","TotUMPreal","SumYi","SumAi","SumYi2","SumYiAi","SumAi2","PromAi","madmex_05","inegi_s4","f","EstRasonHa","VarEstRasonHa","U"
"1","AGRI",1597,0,397.76,0,0,126.7136,0.249067000626174,32228860.6153357,32190265.4649797,4.95518603360147e-05,0,0,NA
"2","AH",33,0,8.44,0,0,2.5744,0.255757575757576,1405582.41626501,1597603.92417272,2.34778121995076e-05,0,0,NA
"3","B_Secun",6891,0.04608444,4067.12,0.0007079252033712,0.0294940416,2503.3472,0.590207517051226,6739120.97920828,9580615.80706352,0.00102253691857741,1.13309762190444e-05,4.27384926677237e-11,113.083266210655
"4","BC_AyaCedOya",179,0,105.92,0,0,64.9216,0.591731843575419,142447.026139908,166362.172657682,0.00125660749017105,0,0,NA
"5","BC_MatSubMez",954,0,580.32,0,0,362.0736,0.608301886792453,2558029.53299284,2740015.69676307,0.00037294330956525,0,0,NA
"6","BC_PinTasMat",17592,2.51943456,10698.48,0.805173144012122,1.6124381184,6662.8096,0.608144611186903,13487222.0344533,12677803.7777404,0.00130434569513729,0.000235494627274155,7.0225137028509e-09,69.7463308686474
"7","BL_Chap",562,0,353.12,0,0,223.8208,0.628327402135231,1938616.87903144,1797515.77358258,0.000289897403699891,0,0,NA
"8","BL_EncGal",12910,0.98604004,7815.96,0.134208845113806,0.6310656256,4850.2032,0.605419054996127,11407847.244401,10674800.8632589,0.00113167714498774,0.00012615725259597,2.19327368899972e-09,72.7595933608834
"10","H2O",34,0,6.76,0,0,2.056,0.198823529411765,1186264.74606495,1465099.70905225,2.86613929249639e-05,0,0,NA
"11","HUM_Pop",5,0,0.68,0,0,0.2416,0.136,131087.517435586,130541.825360816,3.81424570227055e-05,0,0,NA
"12","HUM_Tul",87,0,21.96,0,0,7.368,0.252413793103448,942008.948885069,912655.494363086,9.23558105291572e-05,0,0,NA
"13","MAT_Cra",179,0,109.92,0,0,68.5824,0.614078212290503,1225021.75066546,1546883.03473756,0.000146119854527287,0,0,NA
"14","MAT_DesMicMez",3034,0,1901.84,0,0,1207.1872,0.626842452208306,25744393.2737922,23823990.1408832,0.000117850903213501,0,0,NA
"15","MAT_DesRos",1270,0,804.2,0,0,511.3872,0.633228346456693,10929757.5525086,10669171.0770138,0.000116196539026477,0,0,NA
"16","MAT_EspTam",1145,0,717.16,0,0,454.7088,0.626340611353712,3473600.94192519,3402018.72115291,0.000329629113747707,0,0,NA
"17","MAT_RosCost",79,0,50.08,0,0,31.9744,0.633924050632911,499139.420534499,472332.005939523,0.000158272411975403,0,0,NA
"18","MAT_Sar",1800,0,1122.4,0,0,708.1728,0.623555555555556,5646371.73102354,5288080.46677214,0.000318788787870633,0,0,NA
"19","MAT_SarCra",685,0,431.2,0,0,273.3312,0.629489051094891,2173885.84119077,2313560.98111354,0.000315103942912101,0,0,NA
"20","MAT_SarCraNeb",205,0,128,0,0,80.896,0.624390243902439,549461.587187342,566334.742525148,0.000373092505063696,0,0,NA
"21","NN",27,0,7.56,0,0,2.7664,0.28,NA,NA,NA,0,NA,NA
"22","PAST",5272,0.1663336,3293.44,0.01383343324448,0.106453504,2082.6112,0.624704097116844,32241566.6037388,30988044.8247185,0.000163515627661487,5.05045180722892e-05,1.27488494506879e-09,138.567485565125
"23","SC_BajaMat_Sub",4140,0.54883888,2413.72,0.0404478005052736,0.3512568832,1464.2704,0.583024154589372,10808794.091653,9991767.74995932,0.000383021451319632,0.000227382993884958,6.92717983498667e-09,71.7424695630514
"24","SC_Med_Sub",3666,0,2267.36,0,0,1428.736,0.61848336061102,3284532.60819877,3768188.78835709,0.00111614054031585,0,0,NA
"25","SC_Secun",5012,0,2976.2,0,0,1844.4464,0.593814844373504,7972961.8519755,8186929.9281975,0.0006286246056424,0,0,NA
"26","SP_Alta_Sub",152,0,87.88,0,0,54.0944,0.578157894736842,140855.240387983,145202.477488068,0.00107912208009669,0,0,NA
"27","SP_AltaMed",2074,0,1131.24,0,0,678.472,0.545438765670203,2423850.00575436,2341833.36841353,0.000855663508499372,0,0,NA
"28","SP_BajaMed_Sub",7188,0,4538.24,0,0,2887.6192,0.631363383416806,5619495.21760099,5635319.28433754,0.00127911844777201,0,0,NA
"29","SP_MangPet",769,0,451.68,0,0,278.9152,0.587360208062419,907748.921526312,915005.62153357,0.000847150552056822,0,0,NA
"30","SP_MesoBaja",1347,0,675.36,0,0,378.8096,0.501380846325167,1378768.0854937,1338633.92643427,0.000976959079755371,0,0,NA
"31","SP_Secun",1963,0,1076.48,0,0,645.2928,0.548385124808966,1915718.7034914,2735056.47988649,0.0010246807093455,0,0,NA
"32","SVA",11,0,2.92,0,0,0.9488,0.265454545454545,1122261.31470218,998581.18640792,9.80163875907914e-06,0,0,NA
"33","V_Cost",7,0,1.76,0,0,0.5376,0.251428571428571,173058.734266644,153780.240165302,4.04486952343856e-05,0,0,NA
"34","V_Desert",4,0,0.96,0,0,0.3072,0.24,2225748.42531843,2157591.51852057,1.79714830054422e-06,0,0,NA
"35","V_GipHalXer",47,0,12.96,0,0,4.224,0.275744680851064,3019735.3579608,2549688.46110137,1.55642778020583e-05,0,0,NA
"36","V_HalHid",12,0,2.52,0,0,0.7152,0.21,518742.005678674,380106.977585455,2.31328866153808e-05,0,0,NA
