"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","BC",21,6,-0.000715206238518598,0.84,4.14382694162421e-07,-0.000114432998162976,0.1296,34995,-0.000851435998236426,0.14,0.000171453064723532,0.000730083453205458,-168.064724917274
"2","BCO/P",12651,3462,0.361280445531208,506.04,0.0431702871737621,0.0463172637208767,77.176,12834391,0.000713936537687155,0.146169844020797,0.000269744002656612,0.000410465759612729,112.68689111321
"3","BCO/S",2991,861,-0.0324743693718379,119.64,0.000995644393511036,-0.00636849138365306,17.7648,3859934,-0.000271434046906034,0.138954703832753,0.000223060808811757,0.000263578852274199,-190.327837036698
"4","BE/P",9155,2549,0.226715708953793,366.2,0.00458217528886289,0.0277467803371523,55.3104,10623200,0.000619103519808282,0.143664182032169,0.000239946532118382,0.000184597677879377,58.4411874698469
"5","BE/S",4049,1158,0.098526509275444,161.96,0.00195186731200217,0.0134254649428518,24.248,4832913,0.000608338535906668,0.13986183074266,0.000239607044447107,0.00027235320501433,87.749213689462
"6","BM/P",737,243,0.0373040064239552,29.48,0.000908912804037037,0.00558270235329179,4.0784,1293356,0.00126540048927935,0.121316872427984,0.000187883305137951,0.0010203880694982,158.049616161873
"7","BM/S",363,110,0.0101515168938053,14.52,0.000183548028071301,0.0012847998878128,2.1232,527074,0.000699140281942517,0.132,0.000208699347719675,0.000935290614351172,262.20340201754
"8","EOTL/P",100,26,0.0577222731636071,4,0.00106286277681673,0.00744806735322927,0.624,248857,0.0144305682909018,0.153846153846154,0.000104477671916,0.00797203407402037,108.278388418918
"9","EOTL/S",73,22,0.000191408681336085,2.92,6.83976895473654e-07,-4.79009354547037e-05,0.4368,149566,6.55509182657825e-05,0.132727272727273,0.000147092253587045,0.000291596222667801,871.884958364082
"10","EOTnL/P",11,3,0,0.44,0,0,0.0656,136465,0,0.146666666666667,2.19836588136152e-05,0,NA
"11","MXL/P",4521,1181,0.0872063288973326,180.84,0.000103914193128096,0.0129402807414679,28.3472,17895779,0.000482229202042317,0.153124470787468,6.59932154951176e-05,5.47703329378739e-05,22.2611679474386
"12","MXL/S",538,146,0.0240106339781024,21.52,0.000214153024261637,0.00368970791829122,3.3312,2078332,0.0011157357796516,0.147397260273973,7.02486416992088e-05,0.000675792313154263,118.715645580172
"13","MXnL/P",2845,725,0.00688904902228379,113.8,3.67696310612415e-06,0.000994340476937442,18.0336,33527336,6.05364588952882e-05,0.156965517241379,2.16241457418508e-05,1.67365792482432e-05,54.1883286951064
"14","MXnL/S",249,64,0.000315537881052601,9.96,5.01751867830299e-08,4.46810098279599e-05,1.5728,2547388,3.16805101458434e-05,0.155625,2.51237738420688e-05,2.23825791729986e-05,138.475848327945
"15","P",5175,1412,0.861578664792699,207,0.508224871522647,0.128000333844373,31.5632,29998266,0.00416221577194541,0.146600566572238,4.70693872772513e-05,0.00344333664247182,162.147764292631
"16","SC/P",2483,700,0.225297834304018,99.32,0.00294725037078391,0.0315833390301454,14.8912,10620137,0.00226840348675008,0.141885714285714,6.59125207141866e-05,0.000540754283801865,46.7235393721835
"17","SC/S",1628,460,0.0919374426124889,65.12,0.000954064839377864,0.0125339639931113,9.7344,6512927,0.0014118157649338,0.141565217391304,7.06287664517044e-05,0.000470827633720883,65.3642057989205
"18","SP/P",6592,1763,0.967526520454707,263.68,0.0193886032420808,0.15029698703682,40.8352,7888741,0.00366932084517107,0.149563244469654,0.000223483062759951,0.000520577316351465,27.8070951847031
"19","SP/S",1119,330,0.240082209477428,44.76,0.00616213799947235,0.0355384804426047,6.6736,1673248,0.00536376696777095,0.135636363636364,0.000197221212874601,0.00172909411456698,63.1836633641015
"20","SSC/P",3063,825,0.772927298274143,122.52,0.0203889290099191,0.112990946134831,18.9264,2753921,0.0063085806258092,0.148509090909091,0.000299572863564351,0.00114658611034958,35.6230491386786
"21","SSC/S",759,220,0.135726908822509,30.36,0.00198003430639376,0.0188896170332331,4.5136,841099,0.00447058329454903,0.138,0.000261562550900667,0.00143933393588895,63.1034996659628
"22","VHL/P",557,152,0.0839968825256957,22.28,0.000612678021489714,0.0132396305461785,3.4256,1039478,0.00377005756398993,0.146578947368421,0.000146227240980569,0.00106702917549071,55.4733488405533
"23","VHL/S",42,11,0.000326418189859574,1.68,1.76719183803559e-07,5.02529406946238e-05,0.2592,74888,0.00019429654158308,0.152727272727273,0.000146886016451234,0.000255083651783633,257.320049766372
"24","VHnL/P",328,86,-0.00139909028102555,13.12,1.51619489761766e-05,-0.000248970327578364,2.032,1376999,-0.000106637978736704,0.152558139534884,6.24546568298161e-05,0.000298222160274203,-548.130638879273
