"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","BC",21,6,0.107477215605721,0.84,0.0304081413428996,0.00342143733612566,0.1296,34995,0.127949066197286,0.14,0.000171453064723532,0.232001244609652,355.393324038626
"2","BCO/P",13322,3536,58.3142362877308,532.88,36.0074428937832,8.81317790255287,82.3808,12834391,0.109432210418351,0.150701357466063,0.000275509761234483,0.0111124463550428,19.9030932233016
"3","BCO/S",3220,892,11.6519994970198,128.8,5.12116194199613,1.79670962926469,19.4176,3859934,0.0904658346041913,0.144394618834081,0.000231092034216129,0.0172901652880005,37.4602457521692
"4","BE/P",9671,2613,41.1859949174236,386.84,17.0425730819291,6.25929146931028,59.1248,10623200,0.106467777162195,0.148044393417528,0.000245971082159801,0.0104629610853598,19.2616059749833
"5","BE/S",4388,1209,21.2994489971528,175.52,6.45580928351312,3.23424712657407,26.6496,4832913,0.121350552627352,0.145177832919768,0.000250159686300995,0.0140330827578497,22.6656093523104
"6","BM/P",796,247,7.53104676958939,31.84,6.45132954205143,1.07729666318258,4.5216,1293356,0.236527850803687,0.128906882591093,0.000190976034440634,0.0783205114041053,64.9006879445478
"7","BM/S",384,115,0.935778901447362,15.36,1.72722437338522,0.16270241277007,2.256,527074,0.0609231055629793,0.133565217391304,0.000218185681706933,0.0856422021389976,275.525540993493
"8","EOTL/P",103,27,-0.401796099897367,4.12,0.284773579185985,-0.0443431277447638,0.6416,248857,-0.0975233252178076,0.152592592592593,0.000108496043912769,0.131393385397878,-264.071220710198
"9","EOTL/S",85,24,0.0258718149655465,3.4,0.00830700242899495,0.00538745271728051,0.5104,149566,0.00760935734280778,0.141666666666667,0.000160464276640413,0.0272944942826189,703.04503237054
"10","EOTnL/P",11,3,0.0137792476254444,0.44,0.000212124878536788,0.00223528551781758,0.0656,136465,0.0313164718760099,0.146666666666667,2.19836588136152e-05,0.032515256805469,203.502819829266
"11","MXL/P",4780,1253,-4.16887733327485,191.2,0.441969942415422,-0.641730988376662,29.8688,17895779,-0.0218037517430693,0.152593774940144,7.00165105972755e-05,0.00342362509844929,-30.7759199977755
"12","MXL/S",586,157,0.0680723751839115,23.44,0.0153652951259514,0.0114209806246716,3.6064,2078332,0.0029041115692795,0.149299363057325,7.5541347580656e-05,0.00529877825593859,357.617299951608
"13","MXnL/P",2873,734,0.300021806049502,114.92,0.0580297230278668,0.0495560308024759,18.1712,33527336,0.00261070141010704,0.156566757493188,2.18925834131289e-05,0.00209515197843254,157.294812107962
"14","MXnL/S",259,67,-0.112626988634104,10.36,0.00576086554980288,-0.0181562508356898,1.6304,2547388,-0.0108713309492379,0.154626865671642,2.63014507409158e-05,0.00725087003189056,-130.726452251937
"15","P",5463,1486,13.4608059948521,218.52,5.99339464239277,1.98372678871826,33.2304,29998266,0.0615998809941977,0.147052489905787,4.95361965254925e-05,0.011095621861216,35.3043195814481
"16","SC/P",2638,715,7.52410082724632,105.52,3.41971836360846,1.11452787326538,16.1152,10620137,0.071304973722956,0.14758041958042,6.73249318723478e-05,0.0173381986359902,47.6584837666104
"17","SC/S",1732,477,5.51683874116928,69.28,1.37879329487216,0.801416559003038,10.48,6512927,0.0796310441854688,0.145241090146751,7.32389599944848e-05,0.0165853953922232,40.8224898985935
"18","SP/P",6780,1783,35.4218217808938,271.2,30.8569190636551,5.42425681119864,42.3808,7888741,0.130611437245184,0.152103196859226,0.000226018321554732,0.0202544328889952,30.3944963011993
"19","SP/S",1174,341,4.40465242033826,46.96,3.18025631945535,0.658064551590728,7.0336,1673248,0.0937958351860788,0.137712609970674,0.000203795253303754,0.0376574888730918,78.6907841321879
"20","SSC/P",3196,834,33.508568626164,127.84,7.61895522589038,5.30474258574697,20.0448,2753921,0.262113334059481,0.153285371702638,0.000302840931166871,0.0195099439254853,14.5889144599082
"21","SSC/S",815,232,3.56996171874288,32.6,1.28728985255075,0.517706254720142,4.8848,841099,0.109508028182297,0.14051724137931,0.000275829599131612,0.0341232876620817,61.0746489803861
"22","VHL/P",573,155,4.65109979520956,22.92,1.46351274268782,0.728259319008189,3.5376,1039478,0.202927565236019,0.147870967741936,0.000149113304947291,0.0501641761298956,48.4516655488573
"23","VHL/S",43,11,0.19075663790167,1.72,0.0134070581734233,0.0305210620642672,0.2704,74888,0.110905022035855,0.156363636363636,0.000146886016451234,0.0608601186687299,107.556745764089
"24","VHnL/P",329,87,0.363013179629127,13.16,0.0705131188163959,0.0563093149498306,2.0336,1376999,0.0275845881177148,0.151264367816092,6.31808737696977e-05,0.0200687543096254,142.596867058548
