"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","B_Secun",2940,1028,11.1638121461235,117.6,4.14704548121237,1.55444959323592,15.7856,6282716.9586706,0.0949303753922064,0.114396887159533,0.000163623477989293,0.0170012911920901,35.10207412414
"2","BC_AyaCedOya",98,30,1.7075815273545,3.92,1.29732203405635,0.204465909806689,0.5728,134616.965466987,0.435607532488392,0.130666666666667,0.000222854525771918,0.28747825678016,129.349779621667
"3","BC_MatSubMez",507,157,0.149004091163339,20.28,0.0762171108975321,0.0361610097330005,2.9392,2403595.58742557,0.00734734177334018,0.129171974522293,6.53188085472227e-05,0.0136228245936101,363.406753451422
"4","BC_PinTasMat",11161,3329,52.742383024479,446.44,29.7111723058589,7.27915945435834,65.6176,13142810.6529709,0.118139913593045,0.134106338239712,0.000253294374232462,0.0120434038911819,19.9806068150926
"5","BL_Chap",265,75,-0.114635671577615,10.6,0.019752005523508,-0.0214671950957384,1.608,1883630.66393409,-0.0108146859978882,0.141333333333333,3.98167227981718e-05,0.0132540122736133,-240.209138400827
"6","BL_EncGal",6822,2174,24.9425363376752,272.88,12.9652067811496,3.78136746585834,38.7072,10908756.0207067,0.0914047798947345,0.125519779208832,0.000199289451141209,0.0130084081467959,27.8940335473515
"7","MAT_Cra",83,23,0.0661867578136244,3.32,0.00175962715587315,0.00874277981851615,0.5008,1188719.51023261,0.0199357704257905,0.144347826086957,1.93485509424333e-05,0.0123575755578055,121.494417200776
"8","MAT_DesMicMez",2267,629,-0.112844351965373,90.68,0.0375805050003219,-0.0149706798833998,13.848,25220758.5933058,-0.0012444238196446,0.144165341812401,2.49397732297771e-05,0.00213903789792115,-336.904052601853
"9","MAT_DesRos",723,216,0.289826171675137,28.92,0.0321802846684003,0.0422384117934582,4.296,10710543.4559646,0.0100216518559868,0.133888888888889,2.01670438935301e-05,0.00617704024493537,120.808416157869
"10","MAT_EspTam",853,252,0.105281611521883,34.12,0.00737782756301202,0.0163858458702745,5.0736,3314241.25668454,0.00308562753581133,0.135396825396825,7.60355026936369e-05,0.00251328687185413,159.64474686796
"11","MAT_RosCost",36,10,0,1.44,0,0,0.2208,488502.692063631,0,0.144,2.04707162569688e-05,0,NA
"12","MAT_Sar",1313,373,-2.24817811152715,52.52,0.148839374391002,-0.333376459461209,7.8736,5591945.5647683,-0.0428061331212329,0.140804289544236,6.67030813658242e-05,0.00699791652582479,-32.041942101547
"13","MAT_SarCra",447,131,-0.855186632058863,17.88,0.0655645913855346,-0.12920259838029,2.6864,2137987.25732624,-0.0478292299809207,0.136488549618321,6.12725822154002e-05,0.0136771730511317,-56.0478585812725
"14","MAT_SarCraNeb",142,40,-0.405098066451105,5.68,0.0154908598501147,-0.0590848811933183,0.8608,544864.104602068,-0.0713200821216734,0.142,7.34128008473109e-05,0.0190710532231934,-52.4105738600935
"15","PAST",4704,1578,9.54448485007651,188.16,3.45233631169093,1.23790261103412,25.984,30931737.3176844,0.0507253659123964,0.119239543726236,5.10155631994786e-05,0.00979332459378422,37.8408629658128
"16","SC_BajaMat_Sub",2023,625,5.60533676302247,80.92,1.69880140906888,0.864149631523761,11.656,10395059.918476,0.0692701033492644,0.129472,6.01247135564015e-05,0.0158139072037044,44.7455058107544
"17","SC_Med_Sub",2279,668,25.0493267745687,91.16,8.2125584769587,3.79452608937082,13.5824,3101057.47284614,0.274784190155427,0.136467065868263,0.000215410390116669,0.0293569664592134,20.9399435344195
"18","SC_Secun",2435,810,15.0452370402708,97.4,2.48135597021148,2.07326544229897,13.512,7397822.06366336,0.154468552774854,0.120246913580247,0.00010949168458357,0.0151091126417669,19.1714496225175
"19","SP_Alta_Sub",68,21,-0.217851927986428,2.72,0.1584818126659,-0.0546736676137069,0.3936,135941.535940008,-0.0800926205832455,0.12952380952381,0.000154478172214175,0.146983674700829,-359.693565169586
"20","SP_AltaMed",699,222,14.2548321419324,27.96,8.32778112001989,2.16053119673309,3.9632,2342573.00828394,0.509829475748654,0.125945945945946,9.47675906855201e-05,0.0958792990901893,36.8600552058738
"21","SP_BajaMed_Sub",4996,1391,12.6788674778432,199.84,16.3778459482271,1.93035253261288,30.4576,5404344.90776621,0.0634450934639872,0.143666427030913,0.000257385496991706,0.0201798558352962,62.3413337071232
"22","SP_MangPet",334,102,2.94347693006927,13.36,0.734212452427535,0.455198544329708,1.952,883203.393237342,0.220320129496203,0.130980392156863,0.000115488686729479,0.0596239815401622,53.042363439938
"23","SP_MesoBaja",448,172,5.10428610063611,17.92,3.62070855900287,0.565971135003755,2.224,1333618.49677645,0.284837394008711,0.104186046511628,0.000128972416336268,0.104378332386506,71.8239724771864
"24","SP_Secun",654,235,4.05869716276315,26.16,2.82168131814531,0.560757145158379,3.4944,1778399.49398321,0.155148974111741,0.11131914893617,0.000132141288161106,0.0633116359383846,79.9817125119121
