"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","BC",21,6,0.016620785648156,0.84,0.000111544291400581,0.00260332778008943,0.1296,34995,0.0197866495811381,0.14,0.000171453064723532,0.0100383408119012,99.4364806969746
"2","BCO/P",12296,3328,23.8366626424664,491.84,1.04261520303649,3.63805308073517,75.4592,12834391,0.0484642620414492,0.147788461538462,0.000259303304691278,0.00189343376184359,7.65745730336196
"3","BCO/S",2913,825,3.93890082363736,116.52,0.130755329543016,0.589360998583586,17.432,3859934,0.0338045041506811,0.141236363636364,0.000213734224471196,0.0028585397724408,16.5739391680179
"4","BE/P",8706,2376,5.17720304375398,348.24,0.166382662330521,0.770024438476273,53.1712,10623200,0.0148667672977084,0.146565656565657,0.000223661420287672,0.00113152636429375,14.917780238328
"5","BE/S",3902,1092,1.98075725846817,156.08,0.0459098500349944,0.290674566535757,23.6384,4832913,0.0126906538856238,0.142930402930403,0.000225950684400899,0.00131878447415985,20.3678832678702
"6","BM/P",711,231,1.73757988076534,28.44,0.0790976831324795,0.250357063590534,3.9952,1293356,0.0610963389861232,0.123116883116883,0.000178605117229904,0.00887326483277957,28.4658612297508
"7","BM/S",349,105,0.804370038828258,13.96,0.0496643249771748,0.115530658179947,2.0528,527074,0.0576196302885571,0.132952380952381,0.000199213013732417,0.0149527197046015,50.8634478809547
"8","EOTL/P",97,25,0.0109062132539009,3.88,4.07171438927879e-05,0.00174499412062414,0.6096,248857,0.00281087970461363,0.1552,0.000100459299919231,0.0015721318262342,109.623274676658
"9","EOTL/S",69,18,0.0164219041013509,2.76,9.52663860831306e-05,0.00242384286107864,0.4304,149566,0.00594996525411265,0.153333333333333,0.00012034820748031,0.00336884438485211,110.974345434138
"10","EOTnL/P",11,3,0,0.44,0,0,0.0656,136465,0,0.146666666666667,2.19836588136152e-05,0,NA
"11","MXL/P",4455,1147,0.220963484512227,178.2,0.0028652465268881,0.034360783924165,28.0848,17895779,0.00123997466056244,0.15536181342633,6.40933261413208e-05,0.000298290728424213,47.1501431687537
"12","MXL/S",520,136,0.0240351318265939,20.8,0.000138256214798676,0.00319216549441325,3.2608,2078332,0.00115553518397086,0.152941176470588,6.54370908978931e-05,0.000561133545569438,95.1785600795548
"13","MXnL/P",2841,720,0.0294681360510988,113.64,0.000113511318731565,0.00404873467736017,18.0304,33527336,0.000259311299288092,0.157833333333333,2.14750137022518e-05,9.34504315547322e-05,70.6343481175431
"14","MXnL/S",248,63,0,9.92,0,0,1.5712,2547388,0,0.157460317460317,2.47312148757865e-05,0,NA
"15","P",5162,1395,2.38112664504559,206.48,0.0964235509823057,0.339054415497082,31.5776,29998266,0.0115319965374157,0.148014336917563,4.6502687855358e-05,0.00147587188758073,25.0841984757177
"16","SC/P",2276,633,0.950784010669858,91.04,0.0116966968759123,0.139028631503987,13.7728,10620137,0.010443585354458,0.143823064770932,5.96037508744002e-05,0.00111534818285296,20.9322982883329
"17","SC/S",1544,436,0.572325219894308,61.76,0.00841678566354195,0.0835167126341766,9.2928,6512927,0.00926692389725239,0.141651376146789,6.69437873324851e-05,0.00141934331107434,30.0198093838941
"18","SP/P",6015,1622,3.0073122446709,240.6,0.187071071550895,0.430013078459529,37.2688,7888741,0.0124992196370362,0.148335388409371,0.000205609488256745,0.00177419358298812,27.8210922252526
"19","SP/S",1067,312,1.52507311694193,42.68,0.124134524550382,0.224465673501849,6.3792,1673248,0.0357327346987331,0.136794871794872,0.00018646369217235,0.00800030404469879,43.882999887399
"20","SSC/P",2684,728,0.789205886015859,107.36,0.0109925571282575,0.11305975864831,16.6208,2753921,0.00735102352846366,0.147472527472527,0.000264350357181633,0.000942550067293218,25.131168805833
"21","SSC/S",717,206,0.626936028491417,28.68,0.0169345054711355,0.0928044944892858,4.2928,841099,0.0218596941593939,0.139223300970874,0.000244917661297897,0.00427003734426971,38.2863233755357
"22","VHL/P",527,142,0.251167300875175,21.08,0.00756150767290024,0.0394662936964605,3.2592,1039478,0.0119149573470197,0.148450704225352,0.000136607027758163,0.00400650054454789,65.9065814388172
"23","VHL/S",40,11,0.0132260810601944,1.6,6.29999387326624e-05,0.00171049926661485,0.2464,74888,0.00826630066262149,0.145454545454545,0.000146886016451234,0.00470643387197754,111.592969643456
"24","VHnL/P",328,86,0.026888689654293,13.12,0.000498175736409024,0.00430219034468688,2.032,1376999,0.00204944280901624,0.152558139534884,6.24546568298161e-05,0.00169543331952529,162.144036986555
