"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","B_Secun",2624,931,1.77708639875705,104.96,0.0434649327831436,0.235239669615828,14.0384,6282716.9586706,0.016931082305231,0.112738990332975,0.000148184297673183,0.0018949813518653,21.936952302857
"2","BC_AyaCedOya",95,29,1.37512426106505,3.8,0.128055336447168,0.199009744985334,0.5584,134616.965466987,0.361874805543434,0.131034482758621,0.00021542604157952,0.0640153799519162,34.6722520561593
"3","BC_MatSubMez",463,144,0.119998676167411,18.52,0.00235830727641142,0.0185423253575013,2.6768,2403595.58742557,0.00647941016022738,0.128611111111111,5.9910244782166e-05,0.00255888411799979,77.4053925782586
"4","BC_PinTasMat",10305,3140,21.8122678456963,412.2,0.887465550956394,3.19619044690728,59.9888,13142810.6529709,0.0529167099604472,0.131273885350318,0.000238913888582136,0.0020545831191411,7.61004022458413
"5","BL_Chap",257,72,0.00328108423702564,10.28,1.07655137704581e-05,0.000524973477924102,1.5664,1883630.66393409,0.000319171618387708,0.142777777777778,3.82240538862449e-05,0.00031877410397159,195.755890495675
"6","BL_EncGal",6151,1968,3.39376231395776,246.04,0.112523927874974,0.464132212084222,34.8976,10908756.0207067,0.0137935389122003,0.125020325203252,0.00018040553810759,0.00132572584744075,18.8379695560621
"7","MAT_Cra",76,21,0.0066659715668113,3.04,1.62105134431031e-05,0.000878600604964915,0.4608,1188719.51023261,0.00219275380487214,0.144761904761905,1.76660682517869e-05,0.00128674305917826,115.015939791583
"8","MAT_DesMicMez",2203,604,0.0918973508864868,88.12,0.00055429332363257,0.0132439093111444,13.528,25220758.5933058,0.00104286598827153,0.145894039735099,2.39485262810579e-05,0.000264260540246345,49.6660802737753
"9","MAT_DesRos",710,207,0.00506303673335569,28.4,2.4078084360389e-05,0.00041773573679638,4.2624,10710543.4559646,0.000178275941315341,0.13719806763285,1.93267503979664e-05,0.00017314837854199,190.362658830116
"10","MAT_EspTam",812,235,0.0135339207222569,32.48,3.14939515550636e-05,0.00205218291470921,4.8768,3314241.25668454,0.000416684751301013,0.138212765957447,7.09061235436694e-05,0.000170754194068613,80.3192867820378
"11","MAT_RosCost",36,10,0,1.44,0,0,0.2208,488502.692063631,0,0.144,2.04707162569688e-05,0,NA
"12","MAT_Sar",1166,326,0.0199062382537661,46.64,7.70120235019965e-05,0.00279950448991985,7.072,5591945.5647683,0.000426806137516425,0.143067484662577,5.82981354564577e-05,0.000187088506448873,85.9156981138023
"13","MAT_SarCra",408,116,0.00134459677744211,16.32,1.8079404939077e-06,0.000215135484390737,2.4928,2137987.25732624,8.23895084216978e-05,0.140689655172414,5.42566376869192e-05,8.23196085709889e-05,195.833712192227
"14","MAT_SarCraNeb",132,36,0,5.28,0,0,0.8128,544864.104602068,0,0.146666666666667,6.60715207625798e-05,0,NA
"15","PAST",4411,1474,1.85216233542279,176.44,0.0852173951125756,0.245409108224815,24.5104,30931737.3176844,0.0104974061177896,0.119701492537313,4.76533207579414e-05,0.00163104517651059,30.4536998005934
"16","SC_BajaMat_Sub",1762,554,0.800102865317074,70.48,0.00828768369522107,0.106815207550407,10.08,10395059.918476,0.0113521972945101,0.127220216606498,5.32945460963943e-05,0.00120176109702079,20.7488619960809
"17","SC_Med_Sub",1910,587,0.35631568163381,76.4,0.00242901847321276,0.0455379360104691,11.1552,3101057.47284614,0.00466381782243206,0.13015332197615,0.000189290267961804,0.000620908029431731,26.0940667929342
"18","SC_Secun",2123,710,1.05378139969026,84.92,0.0192608348635614,0.135293827300799,11.7968,7397822.06366336,0.012409107391548,0.119605633802817,9.59741926596721e-05,0.00156856490248801,24.7752486288457
"19","SP_Alta_Sub",68,21,0.0176448580613507,2.72,0.000192383549125381,0.00282317728981611,0.3936,135941.535940008,0.00648708016961422,0.12952380952381,0.000154478172214175,0.00494491087523735,149.405049144654
"20","SP_AltaMed",605,195,0.535967824939481,24.2,0.0176816021177238,0.0722079034645886,3.4096,2342573.00828394,0.0221474307826232,0.124102564102564,8.32418026291731e-05,0.00526555997540508,46.5990735137161
"21","SP_BajaMed_Sub",4439,1274,1.67531706267546,177.56,0.101029608049894,0.204808199149477,26.7376,5404344.90776621,0.00943521661790637,0.139372056514914,0.000235736249581188,0.00177739532286013,36.9222559892733
"22","SP_MangPet",294,90,0.18219857786001,11.76,0.00547121349783901,0.0258080081177265,1.7184,883203.393237342,0.0154930763486403,0.130666666666667,0.000101901782408364,0.0060967663177951,77.1290459943234
"23","SP_MesoBaja",403,156,0.93452116951525,16.12,0.0501322451785007,0.113968900582433,1.9888,1333618.49677645,0.057972777265214,0.103333333333333,0.000116974982258475,0.0129945045179494,43.9330838656635
"24","SP_Secun",606,222,1.17652841936668,24.24,0.0611366664990896,0.156199621490261,3.216,1778399.49398321,0.0485366509639717,0.109189189189189,0.000124831344560704,0.00956755306309518,38.635554022024
