"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","BC",34,9,68.38501185,1.36,653.921951062655,10.1488348808,0.208,37350.7,50.2830969485294,0.151111111111111,0.000240959339450131,9.8390445680841,38.3519085413231
"2","BCO/P",16780,4539,21867.249119988,671.2,174990.326171503,3369.85781116968,103.3408,12916771.5,32.5793342073719,0.147873981053095,0.000351403599575947,0.380116953353223,2.28681538987294
"3","BCO/S",4158,1189,3597.77668104,166.32,19974.0300717238,540.1480419124,25.0208,3920676.8,21.6316539264069,0.139882253994954,0.000303263967078337,0.548354319428507,4.96852653863808
"4","BE/P",12698,3478,10143.647362,507.92,52964.4955106646,1545.1933511464,77.6192,10708651.8,19.9709547999685,0.146037952846463,0.000324784115214205,0.29336822557514,2.87918994302757
"5","BE/S",5441,1522,3141.9960245,217.64,13835.0977311509,477.0990086096,33.0672,4920073.4,14.4366661666054,0.14299605781866,0.000309344978471256,0.383154662573341,5.20191524814023
"6","BM/P",1153,367,1752.01462865,46.12,17486.177137185,249.1002969824,6.5104,1300704,37.988174949046,0.12566757493188,0.000282154894580166,1.93632721000051,9.99048081854829
"7","BM/S",542,160,391.95626844,21.68,2724.48276601428,58.1900278952,3.2224,541573.1,18.0791636734317,0.1355,0.000295435648484018,1.89267260617247,20.5188601370402
"8","EOTL/P",111,28,36.90852655,4.44,214.077032529536,5.6340709032,0.7056,270230.5,8.31273120495495,0.158571428571429,0.000103615246983594,2.98296545899254,70.3332293018256
"9","EOTL/S",120,31,27.2580854,4.8,60.3567244579268,4.3492776076,0.7584,157748.2,5.67876779166667,0.154838709677419,0.00019651571301606,1.26020500812391,43.495383268664
"10","EOTnL/P",13,4,1.5182786,0.52,2.25362216436048,0.1221490836,0.072,154700,2.91976653846154,0.13,2.58564964447317e-05,3.25909097974703,218.778393277635
"11","MXL/P",5767,1497,388.00545152,230.68,559.669056100155,60.2138959932,36.2768,18501770.3,1.68200733275533,0.154094856379426,8.09111763753764e-05,0.0929767260777594,10.8343393969565
"12","MXL/S",682,184,38.76051881,27.28,42.6595508244682,5.8661683264,4.224,2437423.9,1.42084013233138,0.148260869565217,7.54895363092156e-05,0.21594340901076,29.7886491259649
"13","MXnL/P",3438,889,28.93428241,137.52,11.6345615249829,4.5205991404,21.7216,34105690.3,0.210400541084933,0.154690663667042,2.60660315677587e-05,0.0237925120494991,22.1640701951397
"14","MXnL/S",340,89,6.29578174,13.6,7.84887435530106,1.0059518884,2.1408,2660600.2,0.462925127941176,0.152808988764045,3.34510987408029e-05,0.200828977419007,85.0299048340428
"15","P",7503,2067,1416.051259156,300.12,5737.26436645867,206.36989976536,46.0496,31116487,4.71828355043316,0.145195936139332,6.64278072264392e-05,0.231256606755694,9.60652204125267
"16","SC/P",3533,984,1712.303992543,141.32,5850.10273586152,258.16593844128,21.4224,10896213.7,12.1165015039839,0.143617886178862,9.03065988876485e-05,0.370503278603231,5.99336719286144
"17","SC/S",2237,629,745.632297424,89.48,1913.0941726105,111.10050086304,13.544,6799071.2,8.33294923361645,0.142257551669316,9.25126361377125e-05,0.354019775921445,8.32692893419791
"18","SP/P",9400,2512,12923.947198572,376,107852.057501446,2039.18100697816,58.624,8162564.8,34.3721999962021,0.14968152866242,0.000307746408334792,0.51112520974914,2.91458042027862
"19","SP/S",1607,482,905.155375166,64.28,4641.1307478263,137.68694073028,9.6176,2122608.4,14.0814464089297,0.133360995850622,0.000227079097585782,0.804680115826207,11.2003623862049
"20","SSC/P",4434,1175,3875.152655764,177.36,22896.9282478485,607.05036012768,27.6864,2990571.9,21.8490790243798,0.150944680851064,0.000392901438015919,0.552184121414585,4.95343934984604
"21","SSC/S",1067,305,649.134347888,42.68,2911.57368101479,99.0255122964,6.4432,1451458.9,15.2093333619494,0.139934426229508,0.000210133404397465,0.874825879502838,11.2737270136723
"22","VHL/P",939,263,382.9557825,37.56,2512.03738672846,59.598872016,5.704,1097953.5,10.1958408546326,0.142813688212928,0.000239536555965257,1.15942683968519,22.2882706603885
"23","VHL/S",63,18,15.46995921,2.52,40.6454365325258,2.2355438972,0.3792,78105.8,6.13887270238095,0.14,0.000230456637023115,2.14060347890516,68.3445157125813
"24","VHnL/P",638,171,41.75034064,25.52,121.599859140502,5.5420087932,3.9712,1428189.4,1.63598513479624,0.149239766081871,0.000119732018736451,0.419759719104601,50.2895186481929
