"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","B_Secun",9914,2803,6757.75427711,396.56,33787.5846931896,1017.43663136,59.9584,9580615.80706352,17.0409377574894,0.141476988940421,0.000292569919976692,0.324152283421794,3.72830700134145
"2","BC_AyaCedOya",253,70,738.57060119,10.12,12797.8456420497,113.0107316468,1.544,166362.172657682,72.9812847025692,0.144571428571429,0.000420768729343519,6.69456922540173,17.9790692028274
"3","BC_MatSubMez",946,257,128.96607899,37.84,290.061791811291,19.7889722996,5.8464,2740015.69676307,3.40819447647992,0.147237354085603,9.37950831097822e-05,0.395465254666696,22.7425959550079
"4","BC_PinTasMat",16506,4476,21143.983609928,660.24,161955.905949959,3248.94041109408,101.5136,12677803.7777404,32.0246934598449,0.147506702412869,0.000353057996358875,0.364657754712095,2.23180652808399
"5","BL_Chap",504,132,23.14470838,20.16,58.4340765371968,3.4185422968,3.1488,1797515.77358258,1.1480510109127,0.152727272727273,7.34346824322517e-05,0.368363986856166,62.8886179599373
"6","BL_EncGal",12733,3494,10189.70375049,509.32,53267.3548179613,1550.3371161452,77.784,10674800.8632589,20.0064865909252,0.145769891242129,0.000327312897426109,0.293636121124262,2.87670098789164
"7","BL_InduPla",36,10,46.01685785,1.44,398.623382312895,7.1741567992,0.2208,41736.41923356,31.9561512847222,0.144,0.000239598896686352,9.41839003057201,57.7667951795766
"8","MAT_Cra",123,33,6.75739404,4.92,4.0252572983211,0.9586712184,0.7504,1546883.03473756,1.37345407317073,0.149090909090909,2.13332225248683e-05,0.345832124101518,49.3522846143771
"9","MAT_DesMicMez",3005,777,88.55086941,120.2,73.5660915680053,13.958501564,18.9584,23823990.1408832,0.736696084941764,0.154697554697555,3.26141840810548e-05,0.066226494178977,17.6197391630032
"10","MAT_DesRos",966,261,6.56893615,38.64,2.97586889355526,1.016635898,5.9968,10669171.0770138,0.170003523550725,0.148045977011494,2.44630063681621e-05,0.0434153190393291,50.0542715467278
"11","MAT_EspTam",1253,326,37.62604173,50.12,35.1301813407336,5.9015204272,7.896,3402018.72115291,0.750719108739026,0.153742331288344,9.5825457388877e-05,0.110749520475535,28.9148174870168
"12","MAT_RosCost",65,17,0.48120124,2.6,0.161039796329667,0.0733856468,0.4048,472332.005939523,0.1850774,0.152941176470588,3.59916325513132e-05,0.152382374646007,161.37543228194
"13","MAT_Sar",1775,462,110.287022077,71,121.844880702669,17.36702449392,11.1376,5288080.46677214,1.55333833911268,0.153679653679654,8.73662953699353e-05,0.137251252845067,17.318342617488
"14","MAT_SarCra",743,195,58.056134533,29.72,50.4414551165091,9.18080383408,4.6512,2313560.98111354,1.95343655898385,0.152410256410256,8.42856538435155e-05,0.191777257898719,19.2421619096255
"15","MAT_SarCraNeb",223,56,14.00531447,8.92,16.5524013188212,2.2406861952,1.4224,566334.742525148,1.5701025190583,0.159285714285714,9.88814490707558e-05,0.408203923434392,50.9571623648673
"16","PAST",7212,1994,1369.42692296,288.48,6082.13063734426,201.3725839612,44.2016,30988044.8247185,4.74704285551858,0.144674022066199,6.43473962710106e-05,0.24921300825482,10.2897216445308
"17","SC_BajaMat_Sub",3253,924,1534.288606113,130.12,5016.24378591226,229.76980467768,19.5728,9991767.74995932,11.7913357371119,0.140822510822511,9.24761286613935e-05,0.370270345815101,6.15477240219227
"18","SC_Med_Sub",4172,1110,3886.216921112,166.88,23146.5204792229,609.01995165576,26.0064,3768188.78835709,23.2874935349473,0.150342342342342,0.000294571228339107,0.565006420513681,4.75539620674477
"19","SC_Secun",4135,1144,1656.897952718,165.4,5627.30406978423,252.27065352808,25.2816,8186929.9281975,10.0175208749577,0.14458041958042,0.000139734920175611,0.337294825113051,6.59941581828121
"20","SP_Alta_Sub",184,53,276.78800305,7.36,2823.60422644046,43.7477944476,1.1072,145202.477488068,37.6070656317935,0.138867924528302,0.000365007546130577,4.54662300582048,23.6960287693235
"21","SP_AltaMed",1777,539,1842.569928478,71.08,14971.655856102,276.64259859296,10.4944,2341833.36841353,25.9224807045301,0.131873840445269,0.000230161550889995,1.23400723589698,9.33033458458859
"22","SP_BajaMed_Sub",7061,1833,10413.170537814,282.44,87297.5304977521,1654.1038005224,44.5424,5635319.28433754,36.868611166315,0.154086197490453,0.000325269946122579,0.569586556382095,3.02802198182311
"23","SP_MangPet",779,222,351.32253472,31.16,2359.99494968726,54.9257059336,4.712,915005.62153357,11.2747925134788,0.14036036036036,0.000242621460213461,1.33398084629439,23.1898055384282
"24","SP_MesoBaja",1149,367,1722.04160264,45.96,17138.4631911089,244.569122086,6.488,1338633.92643427,37.4682681166232,0.125231607629428,0.000274160091682108,1.9386749260415,10.1413890901339
"25","SP_Secun",2688,794,1743.744257826,107.52,10060.9123210385,265.55439577336,16.1344,2735056.47988649,16.2178595407924,0.135415617128463,0.000290304791085321,0.701972567368198,8.48364871197079
