"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","BC",34,9,0.068463039,1.36,0.00146023405476766,0.01018876704,0.208,37350.7,0.0503404698529412,0.151111111111111,0.000240959339450131,0.0241805057793885,94.1465017431345
"2","BCO/P",16780,4539,23.267905162,671.2,1.07699551545552,3.5696268146,103.3408,12916771.5,0.0346661280721097,0.147873981053095,0.000351403599575947,0.001454869754111,8.22573756182408
"3","BCO/S",4158,1189,3.575401957,166.32,0.0553647600669289,0.53961534524,25.0208,3920676.8,0.0214971257635883,0.139882253994954,0.000303263967078337,0.00125761606689252,11.4663119070756
"4","BE/P",12698,3478,12.148045713,507.92,0.168130273772137,1.85986507372,77.6192,10708651.8,0.0239172423078438,0.146037952846463,0.000324784115214205,0.000692062171501283,5.67139739056648
"5","BE/S",5441,1522,2.846865014,217.64,0.0306813114908953,0.43641944328,33.0672,4920073.4,0.0130806148410219,0.14299605781866,0.000309344978471256,0.000725483578947643,10.8706496752587
"6","BM/P",1153,367,1.58305294,46.12,0.035662947680191,0.2226356516,6.5104,1300704,0.0343246517779705,0.12566757493188,0.000282154894580166,0.003635844037056,20.761330249542
"7","BM/S",542,160,0.376293057,21.68,0.00583404562627998,0.05788015968,3.2224,541573.1,0.0173566908210332,0.1355,0.000295435648484018,0.00320375381489447,36.1783103815141
"8","EOTL/P",111,28,1.39243146,4.44,1.93197551272246,0.2227890336,0.7056,270230.5,0.313610689189189,0.158571428571429,0.000103615246983594,0.312923990980513,195.570828248079
"9","EOTL/S",120,31,0.022027969,4.8,9.2059443406455e-05,0.0034954122,0.7584,157748.2,0.00458916020833333,0.154838709677419,0.00019651571301606,0.00184543664216798,78.8173795301618
"10","EOTnL/P",13,4,0,0.52,0,0,0.072,154700,0,0.13,2.58564964447317e-05,0,NA
"11","MXL/P",5767,1497,0.064443243,230.68,0.000517064674486567,0.00883773712,36.2768,18501770.3,0.000279362073001561,0.154094856379426,8.09111763753764e-05,9.84018999628565e-05,69.03862140446
"12","MXL/S",682,184,0.00729194,27.28,2.8443658070352e-05,0.00088912352,4.224,2437423.9,0.000267299853372434,0.148260869565217,7.54895363092156e-05,0.000195427890442271,143.299242567543
"13","MXnL/P",3438,889,0.006166951,137.52,2.5705045251713e-05,0.00098671216,21.7216,34105690.3,4.48440299592786e-05,0.154690663667042,2.60660315677587e-05,3.68555717487627e-05,161.084810382053
"14","MXnL/S",340,89,0.001746667,13.6,3.050845608889e-06,0.00027946672,2.1408,2660600.2,0.000128431397058824,0.152808988764045,3.34510987408029e-05,0.000128382541441706,195.925441121296
"15","P",7503,2067,22.584828955,300.12,24.1896612006884,3.30516229696,46.0496,31116487,0.0752526621184859,0.145195936139332,6.64278072264392e-05,0.0163108133690417,42.4824761056107
"16","SC/P",3533,984,4.187290751,141.32,0.0905847449530518,0.6300725134,21.4224,10896213.7,0.0296298524695726,0.143617886178862,9.03065988876485e-05,0.0019003215189771,12.5705323069698
"17","SC/S",2237,629,1.230262885,89.48,0.0107556287959433,0.18627113816,13.544,6799071.2,0.0137490264304873,0.142257551669316,9.25126361377125e-05,0.00101237880706261,14.4320215825813
"18","SP/P",9400,2512,20.216582908,376,1.25864985618157,3.16503976492,58.624,8162564.8,0.0537675077340426,0.14968152866242,0.000307746408334792,0.00277396845343609,10.1120144821077
"19","SP/S",1607,482,2.114059886,64.28,0.32417924032424,0.32719713172,9.6176,2122608.4,0.0328882994088363,0.133360995850622,0.000227079097585782,0.0087124372606362,51.9223472718049
"20","SSC/P",4434,1175,7.594993007,177.36,1.63265921089747,1.13935658876,27.6864,2990571.9,0.0428224684652684,0.150944680851064,0.000392901438015919,0.00710190473595711,32.505676999367
"21","SSC/S",1067,305,0.900152716,42.68,0.0176012549825299,0.13734052252,6.4432,1451458.9,0.021090738425492,0.139934426229508,0.000210133404397465,0.00284261894587966,26.4169656913952
"22","VHL/P",939,263,1.483084224,37.56,0.130687042620205,0.178463065,5.704,1097953.5,0.0394857354632588,0.142813688212928,0.000239536555965257,0.0094481902814962,46.8990959253218
"23","VHL/S",63,18,0.018900018,2.52,9.9930862305832e-05,0.00264950352,0.3792,78105.8,0.00750000714285714,0.14,0.000230456637023115,0.00368628400750107,96.3347969819357
"24","VHnL/P",638,171,0.067519906,25.52,0.000672077564579822,0.01043109416,3.9712,1428189.4,0.00264576434169279,0.149239766081871,0.000119732018736451,0.00099778956144762,73.9169210809636
