"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","B_Secun",9914,2803,6.429591808,396.56,0.0815072833897172,0.97258579984,59.9584,9580615.80706352,0.0162134148880371,0.141476988940421,0.000292569919976692,0.000646532014531347,7.81576711156901
"2","BC_AyaCedOya",253,70,0.691893783,10.12,0.0243976409667113,0.10061035396,1.544,166362.172657682,0.0683689508893281,0.144571428571429,0.000420768729343519,0.0132972947481107,38.1206634989702
"3","BC_MatSubMez",946,257,0.140538295,37.84,0.011799233630155,0.02221728684,5.8464,2740015.69676307,0.0037140141384778,0.147237354085603,9.37950831097822e-05,0.00286578368336733,151.236258397823
"4","BC_PinTasMat",16506,4476,21.785583322,660.24,0.44351231870241,3.34585171636,101.5136,12677803.7777404,0.0329964608657458,0.147506702412869,0.000353057996358875,0.000874268666926819,5.19318297240613
"5","BL_Chap",504,132,0.01227589,20.16,4.57379559729e-05,0.0018592754,3.1488,1797515.77358258,0.000608923115079365,0.152727272727273,7.34346824322517e-05,0.00033266926188033,107.079487892402
"6","BL_EncGal",12733,3494,12.16046471,509.32,0.161934474091143,1.85504913224,77.784,10674800.8632589,0.0238758829615959,0.145769891242129,0.000327312897426109,0.000673561816781049,5.52935011037856
"7","BL_InduPla",36,10,0.020414436,1.44,0.000159623467401576,0.00316319068,0.2208,41736.41923356,0.0141766916666667,0.144,0.000239598896686352,0.00782547764019099,108.191223561969
"8","MAT_Cra",123,33,0.000784011,4.92,6.14673248121e-07,6.272088e-05,0.7504,1546883.03473756,0.000159351829268293,0.149090909090909,2.13332225248683e-05,0.000161697769921672,198.885466518795
"9","MAT_DesMicMez",3005,777,0.008067922,120.2,2.8555603598682e-05,0.00129086752,18.9584,23823990.1408832,6.71208153078203e-05,0.154697554697555,3.26141840810548e-05,4.44165164596507e-05,129.701005361257
"10","MAT_DesRos",966,261,0.001254623,38.64,1.574078872129e-06,0.00020073968,5.9968,10669171.0770138,3.24695393374741e-05,0.148045977011494,2.44630063681621e-05,3.24620737514574e-05,195.954934535902
"11","MAT_EspTam",1253,326,0.003995625,50.12,1.5965019140625e-05,0.0006393,7.896,3402018.72115291,7.97211691939346e-05,0.153742331288344,9.5825457388877e-05,7.97103964682204e-05,195.973514509868
"12","MAT_RosCost",65,17,0,2.6,0,0,0.4048,472332.005939523,0,0.152941176470588,3.59916325513132e-05,0,NA
"13","MAT_Sar",1775,462,0.001014858,71,3.68615896242e-07,0.00016237728,11.1376,5288080.46677214,1.42937746478873e-05,0.153679653679654,8.73662953699353e-05,8.53260631866208e-06,117.001343567772
"14","MAT_SarCra",743,195,0,29.72,0,0,4.6512,2313560.98111354,0,0.152410256410256,8.42856538435155e-05,0,NA
"15","MAT_SarCraNeb",223,56,0,8.92,0,0,1.4224,566334.742525148,0,0.159285714285714,9.88814490707558e-05,0,NA
"16","PAST",7212,1994,25.197002998,288.48,25.3632463552158,3.73513689608,44.2016,30988044.8247185,0.0873440203757626,0.144674022066199,6.43473962710106e-05,0.0173526401641191,38.9393281593335
"17","SC_BajaMat_Sub",3253,924,3.643818762,130.12,0.0705605240354471,0.54472523564,19.5728,9991767.74995932,0.028003525683984,0.140822510822511,9.24761286613935e-05,0.0018097968933603,12.6669832613789
"18","SC_Med_Sub",4172,1110,5.183998221,166.88,0.0722024087345608,0.80316267704,26.0064,3768188.78835709,0.0310642271152924,0.150342342342342,0.000294571228339107,0.00130500418512704,8.23393478729055
"19","SC_Secun",4135,1144,2.495978341,165.4,0.022625588335259,0.37904084956,25.2816,8186929.9281975,0.0150905582889964,0.14458041958042,0.000139734920175611,0.000787260990588016,10.2251454982792
"20","SP_Alta_Sub",184,53,0.233153777,7.36,0.00267711343967374,0.03661403504,1.1072,145202.477488068,0.0316785023097826,0.138867924528302,0.000365007546130577,0.00525546022285965,32.5163795184344
"21","SP_AltaMed",1777,539,1.349858267,71.08,0.0212960347973669,0.19773283912,10.4944,2341833.36841353,0.0189906903066967,0.131873840445269,0.000230161550889995,0.00186637785652771,19.2625994090607
"22","SP_BajaMed_Sub",7061,1833,16.892531328,282.44,2.31015200066274,2.65534687028,44.5424,5635319.28433754,0.0598092739272058,0.154086197490453,0.000325269946122579,0.00519431716712169,17.0222124079782
"23","SP_MangPet",779,222,1.275340083,31.16,0.117331690692761,0.15599587712,4.712,915005.62153357,0.0409287574775353,0.14036036036036,0.000242621460213461,0.0107850162007062,51.6473820760051
"24","SP_MesoBaja",1149,367,1.553312881,45.96,0.0352708392893151,0.21792375316,6.488,1338633.92643427,0.0337970600739774,0.125231607629428,0.000274160091682108,0.00364211970713446,21.1218212778217
"25","SP_Secun",2688,794,2.318325363,107.52,0.056616032890616,0.34719439768,16.1344,2735056.47988649,0.0215618058314732,0.135415617128463,0.000290304791085321,0.00206281483723105,18.7512915781443
