"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","BC",34,9,16.042252884,1.36,34.8672137167026,2.3873939586,0.208,37350.7,11.7957741794118,0.151111111111111,0.000240959339450131,2.13359542781137,35.4520777941751
"2","BCO/P",16780,4539,5188.772035847,671.2,9347.10478391045,799.71684677452,103.3408,12916771.5,7.73059004148838,0.147873981053095,0.000351403599575947,0.0837245298648947,2.12273678534891
"3","BCO/S",4158,1189,871.582603086,166.32,1119.25199517511,130.94950113692,25.0208,3920676.8,5.24039564145022,0.139882253994954,0.000303263967078337,0.125277602682524,4.68560234871493
"4","BE/P",12698,3478,2557.003610911,507.92,3203.10029189529,389.58265853492,77.6192,10708651.8,5.03426447257639,0.146037952846463,0.000324784115214205,0.0695439181513283,2.7075669210292
"5","BE/S",5441,1522,805.704705294,217.64,854.97568482261,122.40729613404,33.0672,4920073.4,3.7020065488605,0.14299605781866,0.000309344978471256,0.0921233340117672,4.87740181655383
"6","BM/P",1153,367,418.197225019,46.12,940.49454828517,59.40224373808,6.5104,1300704,9.06758944100173,0.12566757493188,0.000282154894580166,0.433376476532541,9.36762630829856
"7","BM/S",542,160,96.433132144,21.68,153.843901978395,14.32453802192,3.2224,541573.1,4.448022700369,0.1355,0.000295435648484018,0.439300705557827,19.3575761837257
"8","EOTL/P",111,28,9.022667333,4.44,11.752266037655,1.380112373,0.7056,270230.5,2.03213228220721,0.158571428571429,0.000103615246983594,0.690211955069878,66.5712288408506
"9","EOTL/S",120,31,7.169950166,4.8,3.94766048702275,1.14357778696,0.7584,157748.2,1.49373961791667,0.154838709677419,0.00019651571301606,0.315753520455653,41.4313775085
"10","EOTnL/P",13,4,0.381810013,0.52,0.141220528234622,0.03078743192,0.072,154700,0.734250025,0.13,2.58564964447317e-05,0.815356070904726,217.650370386199
"11","MXL/P",5767,1497,107.377886279,230.68,37.21254184937,16.68406797668,36.2768,18501770.3,0.465484161084619,0.154094856379426,8.09111763753764e-05,0.0235682040337539,9.92379199294821
"12","MXL/S",682,184,10.823525029,27.28,2.98764249485609,1.64049253008,4.224,2437423.9,0.396756782587977,0.148260869565217,7.54895363092156e-05,0.0563549119978035,27.8396318256267
"13","MXnL/P",3438,889,8.540145737,137.52,0.930940281510699,1.335085793,21.7216,34105690.3,0.0621011179246655,0.154690663667042,2.60660315677587e-05,0.00670345341865962,21.1570566515589
"14","MXnL/S",340,89,1.702484907,13.6,0.542621972072998,0.27190258936,2.1408,2660600.2,0.12518271375,0.152808988764045,3.34510987408029e-05,0.0527084057251467,82.5261508770315
"15","P",7503,2067,353.999488261,300.12,329.928253598176,51.66837295248,46.0496,31116487,1.17952648360989,0.145195936139332,6.64278072264392e-05,0.0549751271831031,9.13512759366913
"16","SC/P",3533,984,432.213912619,141.32,348.982713118335,65.160749963,21.4224,10896213.7,3.05840583511888,0.143617886178862,9.03065988876485e-05,0.0869324021557036,5.57112160422478
"17","SC/S",2237,629,191.28465954,89.48,118.07309151201,28.52225103004,13.544,6799071.2,2.13773647228431,0.142257551669316,9.25126361377125e-05,0.0851913597732894,7.81083483958262
"18","SP/P",9400,2512,3089.200245083,376,5949.161379297,487.35487626364,58.624,8162564.8,8.215958098625,0.14968152866242,0.000307746408334792,0.115879151862706,2.76441450801599
"19","SP/S",1607,482,223.941608937,64.28,267.232821767898,34.08366047688,9.6176,2122608.4,3.48384581420348,0.133360995850622,0.000227079097585782,0.188457488124395,10.6025552341577
"20","SSC/P",4434,1175,954.250161586,177.36,1323.90349522182,149.48804799364,27.6864,2990571.9,5.38030086595625,0.150944680851064,0.000392901438015919,0.12820232029117,4.67030662468414
"21","SSC/S",1067,305,162.461512089,42.68,173.020053184615,24.7865159294,6.4432,1451458.9,3.80650215766167,0.139934426229508,0.000210133404397465,0.206820699467499,10.6493718948872
"22","VHL/P",939,263,93.817334585,37.56,140.629679185666,14.58411493576,5.704,1097953.5,2.49779911035676,0.142813688212928,0.000239536555965257,0.271160888575938,21.2777456523686
"23","VHL/S",63,18,3.94562306,2.52,2.52130772993845,0.57177604552,0.3792,78105.8,1.56572343650794,0.14,0.000230456637023115,0.526103286660341,65.8585301727418
"24","VHnL/P",638,171,10.569132895,25.52,7.32546152697652,1.41930715952,3.9712,1428189.4,0.414150975509404,0.149239766081871,0.000119732018736451,0.102709065672826,48.6078219352565
