"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","B_Secun",9914,2803,1682.030092011,396.56,1970.3586614294,253.44822578404,59.9584,9580615.80706352,4.24155258223472,0.141476988940421,0.000292569919976692,0.0756121767452616,3.49400045260388
"2","BC_AyaCedOya",253,70,164.802344742,10.12,611.5449484706,25.19607422436,1.544,166362.172657682,16.2848166741107,0.144571428571429,0.000420768729343519,1.40857261830105,16.9532294229578
"3","BC_MatSubMez",946,257,34.285166313,37.84,18.3041568785235,5.25925250252,5.8464,2740015.69676307,0.906056192204017,0.147237354085603,9.37950831097822e-05,0.0975479856665867,21.1017874555245
"4","BC_PinTasMat",16506,4476,5027.283820704,660.24,8721.96764583277,772.62930108384,101.5136,12677803.7777404,7.61432785154489,0.147506702412869,0.000353057996358875,0.0807304638443187,2.07807848860567
"5","BL_Chap",504,132,5.983859704,20.16,3.52963563479923,0.88400020752,3.1488,1797515.77358258,0.296818437698413,0.152727272727273,7.34346824322517e-05,0.0902053359189004,59.5658611277672
"6","BL_EncGal",12733,3494,2568.85294749,509.32,3221.34348627333,390.91725740948,77.784,10674800.8632589,5.0436914856868,0.145769891242129,0.000327312897426109,0.0696023496994091,2.70477696342018
"7","BL_InduPla",36,10,10.92960655,1.44,21.8362957378552,1.70292187468,0.2208,41736.41923356,7.59000454861111,0.144,0.000239598896686352,2.1595775739154,55.7677142057672
"8","MAT_Cra",123,33,1.897162214,4.92,0.302342063966926,0.27090617092,0.7504,1546883.03473756,0.38560207601626,0.149090909090909,2.13332225248683e-05,0.093450823867049,47.5006817057936
"9","MAT_DesMicMez",3005,777,25.300071511,120.2,5.33153332835297,3.98774027032,18.9584,23823990.1408832,0.210483124051581,0.154697554697555,3.26141840810548e-05,0.017645096306868,16.4309556489603
"10","MAT_DesRos",966,261,1.89384754,38.64,0.225057392071772,0.29257051088,5.9968,10669171.0770138,0.049012617494824,0.148045977011494,2.44630063681621e-05,0.0119044626696249,47.6055922435256
"11","MAT_EspTam",1253,326,10.729684342,50.12,2.50901944735084,1.68316340924,7.896,3402018.72115291,0.21407989509178,0.153742331288344,9.5825457388877e-05,0.0293006929132841,26.8261333393385
"12","MAT_RosCost",65,17,0.141108873,2.6,0.0137463515165479,0.02149661972,0.4048,472332.005939523,0.0542726434615385,0.152941176470588,3.59916325513132e-05,0.0445103089077307,160.744345391941
"13","MAT_Sar",1775,462,31.247304009,71,8.54535091690111,4.92098432376,11.1376,5288080.46677214,0.440102873366197,0.153679653679654,8.73662953699353e-05,0.0355877963115067,15.8490400748905
"14","MAT_SarCra",743,195,16.461191868,29.72,3.74477643770754,2.60250141576,4.6512,2313560.98111354,0.553875904037685,0.152410256410256,8.42856538435155e-05,0.0510325735409181,18.0588907029604
"15","MAT_SarCraNeb",223,56,3.950305107,8.92,1.15666880038043,0.6319868406,1.4224,566334.742525148,0.442859316928251,0.159285714285714,9.88814490707558e-05,0.105863697154181,46.8529933752781
"16","PAST",7212,1994,341.246744547,288.48,344.38172123284,50.18920643928,44.2016,30988044.8247185,1.18291300799709,0.144674022066199,6.43473962710106e-05,0.0587886035340144,9.74083995591262
"17","SC_BajaMat_Sub",3253,924,387.766031238,130.12,300.524903859382,58.05946700028,19.5728,9991767.74995932,2.98006479586535,0.140822510822511,9.24761286613935e-05,0.087094847860666,5.72826141377022
"18","SC_Med_Sub",4172,1110,955.257750682,166.88,1336.40211954984,149.6989944742,26.0064,3768188.78835709,5.724219503128,0.150342342342342,0.000294571228339107,0.130601729397794,4.47186536924024
"19","SC_Secun",4135,1144,421.812816256,165.4,341.888829124303,64.2538914192,25.2816,8186929.9281975,2.55025886490931,0.14458041958042,0.000139734920175611,0.0808257639274941,6.21185948915511
"20","SP_Alta_Sub",184,53,65.320680731,7.36,153.503145230778,10.3167264842,1.1072,145202.477488068,8.875092490625,0.138867924528302,0.000365007546130577,1.04076923347934,22.9846359322376
"21","SP_AltaMed",1777,539,441.412925585,71.08,808.17810380722,66.2814485014,10.4944,2341833.36841353,6.21008617874226,0.131873840445269,0.000230161550889995,0.277941885647015,8.77227916309661
"22","SP_BajaMed_Sub",7061,1833,2486.980451504,282.44,4830.99579422053,394.97121626552,44.5424,5635319.28433754,8.80534078566775,0.154086197490453,0.000325269946122579,0.12907947666912,2.87320820885515
"23","SP_MangPet",779,222,85.932325618,31.16,131.780881126685,13.42028881956,4.712,915005.62153357,2.75777681700899,0.14036036036036,0.000242621460213461,0.311143629461264,22.1135194836215
"24","SP_MesoBaja",1149,367,411.248107037,45.96,922.098926985979,58.36446570724,6.488,1338633.92643427,8.94795707217145,0.125231607629428,0.000274160091682108,0.434102831690083,9.5087799734614
"25","SP_Secun",2688,794,429.699245677,107.52,576.240120643596,65.47956556988,16.1344,2735056.47988649,3.99645875815662,0.135415617128463,0.000290304791085321,0.163981449519834,8.04221087989216
