"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","BC",31,8,0.201119918,1.24,0.0117445090926482,0.0288854032,0.1936,37350.7,0.162193482258065,0.155,0.000214186079511227,0.0744927023464716,90.0194598243942
"2","BCO/P",14488,3950,132.518404703,579.52,24.1748766645344,20.12041908308,88.8704,12916771.5,0.228669251627209,0.146713924050633,0.000305803969668427,0.00764310840488964,6.55116171806337
"3","BCO/S",3454,986,23.127306174,138.16,5.78156079544232,3.4334259508,20.6656,3920676.8,0.167395093905617,0.140121703853955,0.000251487192211304,0.0165291479349965,19.353691435461
"4","BE/P",10252,2831,25.597433795,410.08,2.67005177794615,3.72996628884,62.528,10708651.8,0.0624205857271752,0.144853408689509,0.000264365678600176,0.0038155655093459,11.9808366281673
"5","BE/S",4482,1253,9.489177925,179.28,0.755883001168335,1.39201553472,27.2224,4920073.4,0.0529293726294065,0.143080606544294,0.000254670997387966,0.00461705381903618,17.0971712600335
"6","BM/P",981,296,9.724025157,39.24,1.57102740404645,1.34860599336,5.6656,1300704,0.247808999923547,0.132567567567568,0.00022756907028809,0.0285435341233821,22.5759867071369
"7","BM/S",460,128,4.406664482,18.4,1.00114886370302,0.62700734004,2.7872,541573.1,0.239492634891304,0.14375,0.000236348518787215,0.0506123383528973,41.4209744766061
"8","EOTL/P",104,27,0.0313141,4.16,0.0002763998500374,0.005010256,0.656,270230.5,0.00752742788461538,0.154074074074074,9.99147024484653e-05,0.00378005196714908,98.4254112982545
"9","EOTL/S",88,23,0.08120482,3.52,0.0019223641587804,0.0115928056,0.5536,157748.2,0.0230695511363636,0.15304347826087,0.000145801980624819,0.0119125721799831,101.209777922221
"10","EOTnL/P",13,4,0.0123858,0.52,0.00015340804164,0.000990864,0.072,154700,0.0238188461538462,0.13,2.58564964447317e-05,0.0269276607913553,221.581745858559
"11","MXL/P",5075,1308,0.874522892,203,0.0258701546980584,0.131721217,32.0016,18501770.3,0.00430799454187192,0.15519877675841,7.06959376746775e-05,0.00078426902834761,35.6817373053909
"12","MXL/S",565,152,0.165030142,22.6,0.00487339683311853,0.02167656352,3.512,2437423.9,0.00730221867256637,0.148684210526316,6.23609212989173e-05,0.00305765054098242,82.070879126649
"13","MXnL/P",2778,721,0.143992553,111.12,0.00307517583678493,0.01872207048,17.5136,34105690.3,0.00129582931065515,0.154119278779473,2.11401673344814e-05,0.000497835327657647,75.299828008649
"14","MXnL/S",281,74,0,11.24,0,0,1.768,2660600.2,0,0.151891891891892,2.78132731103305e-05,0,NA
"15","P",4665,1350,14.598090122,186.6,2.41836790040905,1.9983847444,28.0048,31116487,0.0782319942229368,0.138222222222222,4.33853603075437e-05,0.00808965202210906,20.2675620388123
"16","SC/P",2885,807,5.64605628,115.4,0.294300901459151,0.80407305052,17.4736,10896213.7,0.0489259642980936,0.142998760842627,7.40624240877361e-05,0.00439938846529152,17.6241828151507
"17","SC/S",1854,525,3.36346343,74.16,0.329705621746069,0.485831129,11.2032,6799071.2,0.0453541454962244,0.141257142857143,7.72164292087425e-05,0.00749864759303047,32.405746203648
"18","SP/P",7024,1885,20.256361832,280.96,4.14190432769723,2.90773093804,43.6576,8162564.8,0.0720969598234624,0.149050397877984,0.000230932316763966,0.00707448514713547,19.2324210651017
"19","SP/S",1369,382,7.588589988,54.76,1.50508586516016,1.05113896716,8.3248,2122608.4,0.138579072096421,0.143350785340314,0.000179967251613628,0.0214289431408684,30.3081323324771
"20","SSC/P",3509,951,5.598863198,140.36,0.452706814604932,0.79623478792,21.752,2990571.9,0.0398893074807637,0.147592008412198,0.00031799937664097,0.00463974405181049,22.7978345974896
"21","SSC/S",888,256,3.157606121,35.52,0.298070809313293,0.45009891084,5.3472,1451458.9,0.0888965687218468,0.13875,0.000176374267297545,0.0143905799948824,31.7284876070113
"22","VHL/P",708,194,1.667336082,28.32,0.205906298127497,0.23874729604,4.3168,1097953.5,0.0588748616525424,0.145979381443299,0.000176692364476273,0.0155415969201144,51.7394506049067
"23","VHL/S",42,13,0.135429286,1.68,0.00630450995572064,0.01601119112,0.2496,78105.8,0.0806126702380952,0.129230769230769,0.000166440904516694,0.0452911767626409,110.120042162833
"24","VHnL/P",260,73,0.137088475,10.4,0.00776486937489549,0.0177472012,1.6,1428189.4,0.0131815841346154,0.142465753424658,5.11136688173151e-05,0.00842640180638539,125.294102528575
