"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","B_Secun",8195,2327,32.416192254,327.8,6.53027255306965,4.81538911836,49.3392,9580615.80706352,0.0988901533068944,0.140868070477009,0.000242886266066986,0.00751072264269565,14.8862307190469
"2","BC_AyaCedOya",233,64,10.672026097,9.32,4.1694464321488,1.6507386942,1.4352,166362.172657682,1.1450671777897,0.145625,0.000384702838256932,0.162934562562106,27.8893456048725
"3","BC_MatSubMez",805,217,0.413518857,32.2,0.0161385903842895,0.063541461,4.9776,2740015.69676307,0.0128422005279503,0.148387096774194,7.9196626594641e-05,0.00385358846874001,58.8141680414636
"4","BC_PinTasMat",14269,3905,121.401150945,570.76,19.8983828149398,18.40557806612,87.3712,12677803.7777404,0.212700874176537,0.14616133162612,0.000308018649638384,0.00701271048071117,6.46208559104743
"5","BL_Chap",448,116,0.01160515,17.92,0.0001346795065225,0.001856824,2.8128,1797515.77358258,0.000647608816964286,0.15448275862069,6.45335088041e-05,0.000647432015627654,195.946490750169
"6","BL_EncGal",10260,2831,26.571040865,410.4,2.81727122726616,3.84780556584,62.544,10674800.8632589,0.0647442516203704,0.14496644295302,0.000265204010478911,0.00391491561099796,11.8516075257896
"7","BL_InduPla",35,10,0.071056146,1.4,0.00175360250438696,0.01053154136,0.2128,41736.41923356,0.05075439,0.14,0.000239598896686352,0.0264321935796359,102.074124851242
"8","MAT_Cra",113,31,0.025483191,4.52,0.000151808546139461,0.00325350616,0.6928,1546883.03473756,0.00563787411504425,0.145806451612903,2.00402999476036e-05,0.00263369632264219,91.5601286414709
"9","MAT_DesMicMez",2732,703,0.448948178,109.28,0.0109099464001284,0.06703885648,17.2576,23823990.1408832,0.00410823735358712,0.155448079658606,2.95080713114306e-05,0.000945028219360528,45.0863752633312
"10","MAT_DesRos",778,210,0.01272705,31.12,0.000142098199243002,0.002036328,4.8384,10669171.0770138,0.000408966902313625,0.148190476190476,1.9682878687027e-05,0.000382802137904802,183.460369543067
"11","MAT_EspTam",1132,293,0.139505731,45.28,0.00197913648419212,0.01649697816,7.152,3402018.72115291,0.00308095695671378,0.154539249146758,8.61253344016594e-05,0.000975705248867182,62.0710485296577
"12","MAT_RosCost",62,16,0,2.48,0,0,0.3904,472332.005939523,0,0.155,3.38744776953536e-05,0,NA
"13","MAT_Sar",1501,390,0.19765022,60.04,0.00677771493601685,0.0316240352,9.416,5288080.46677214,0.00329197568287808,0.153948717948718,7.37507688187765e-05,0.00136211584893505,81.0986265116823
"14","MAT_SarCra",656,170,0.02004818,26.24,0.0002156313969764,0.0016798568,4.1344,2313560.98111354,0.00076403125,0.154352941176471,7.34798007866546e-05,0.000561051450245623,143.928778107102
"15","MAT_SarCraNeb",194,49,0,7.76,0,0,1.232,566334.742525148,0,0.158367346938775,8.65212679369113e-05,0,NA
"16","PAST",4452,1301,13.140336299,178.08,1.93035587378782,1.81995841428,26.6048,30988044.8247185,0.0737889504660827,0.136879323597233,4.19839330735129e-05,0.00755052433636149,20.0558858823598
"17","SC_BajaMat_Sub",2619,741,5.460033521,104.76,0.3020049609912,0.78275929776,15.7808,9991767.74995932,0.0521194494177167,0.141376518218623,7.41610512317019e-05,0.00490105281648781,18.4308614684843
"18","SC_Med_Sub",3303,899,5.016972551,132.12,0.376643419662971,0.68284012264,20.4336,3768188.78835709,0.0379728470405692,0.146963292547275,0.000238576157006178,0.00450687365171985,23.262602216614
"19","SC_Secun",3438,960,7.43707688,137.52,0.674875337039235,1.07847544688,20.9728,8186929.9281975,0.0540799656777196,0.14325,0.000117260072874639,0.00572635913450975,20.7538295614399
"20","SP_Alta_Sub",142,37,0.294853323,5.68,0.0207988732215451,0.04694866104,0.8896,145202.477488068,0.0519107963028169,0.153513513513513,0.000254816588808138,0.0241562910487412,91.2070972276022
"21","SP_AltaMed",1097,324,6.861061294,43.88,1.37129830257881,1.00071740576,6.4816,2341833.36841353,0.156359646627165,0.135432098765432,0.000138353140052613,0.0251760489463069,31.5586898532864
"22","SP_BajaMed_Sub",5461,1448,13.611608397,218.44,3.14776230989228,1.93771935936,34.1776,5635319.28433754,0.0623128016709394,0.15085635359116,0.000256950835780411,0.00798226249716075,25.107576733677
"23","SP_MangPet",560,153,1.479322042,22.4,0.124808714278501,0.20536752044,3.4208,915005.62153357,0.0660411625892857,0.14640522875817,0.000167212087444412,0.0150284559558646,44.6021428433687
"24","SP_MesoBaja",981,298,9.588449179,39.24,1.54084010762768,1.33699221064,5.6496,1338633.92643427,0.24435395461264,0.131677852348993,0.000222615006324982,0.0282475178572038,22.6577609876978
"25","SP_Secun",2319,643,13.732247323,92.76,2.77611752146197,1.95111367592,14.1392,2735056.47988649,0.148040613658905,0.144261275272162,0.000235095693536349,0.0170850517396974,22.6199423132374
