"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER","Prom_ai","f","SdER","U"
"1","B_Secun",5349,1814,17.203763902,213.96,1.6674644510036,2.25201368408,29.368,6739120.97920828,0.0804064493456721,0.117949283351709,0.00026917457122325,0.00571578192465412,13.9328781005613
"2","BC_AyaCedOya",157,52,9.323356294,6.28,5.16132750811834,1.34128170412,0.888,142447.026139908,1.48461087484076,0.120769230769231,0.000365047985971479,0.284684738376971,37.5843998366718
"3","BC_MatSubMez",761,234,0.466617763,30.44,0.0170485400938228,0.06709821396,4.4112,2558029.53299284,0.015329098653088,0.13008547008547,9.14766608367594e-05,0.0041677805151463,53.2898247610999
"4","BC_PinTasMat",14537,4273,135.702265046,581.48,22.8343736268039,20.05173133812,86.04,13487222.0344533,0.233373916636858,0.136082377720571,0.000316818392185178,0.00732859488320757,6.15494918116237
"5","BL_Chap",483,137,0.08364866,19.32,0.0027918826041198,0.0112590504,2.9424,1938616.87903144,0.00432964078674948,0.141021897810219,7.06689400478382e-05,0.00272394774109773,123.311328479973
"6","BL_EncGal",9874,3049,24.327369307,394.96,2.27042030261875,3.32301156148,57.0624,11407847.244401,0.0615945141457363,0.129537553296163,0.000267272162282543,0.0036495204418876,11.6131447180103
"7","MAT_Cra",160,52,0.098599681,6.4,0.00186875513714336,0.01295561696,0.9024,1225021.75066546,0.01540620015625,0.123076923076923,4.24482258961952e-05,0.00647389740948378,82.3618984168565
"8","MAT_DesMicMez",2843,782,0.542821462,113.72,0.0159745079580834,0.07378663392,17.432,25744393.2737922,0.00477331570524094,0.14542199488491,3.03755459172571e-05,0.00110136465804679,45.2237996200746
"9","MAT_DesRos",1029,303,0.039031482,41.16,0.00071383890410795,0.00419779192,6.12,10929757.5525086,0.000948286734693877,0.135841584158416,2.77224813582855e-05,0.000649064043128941,134.154098964951
"10","MAT_EspTam",1022,285,0.136808424,40.88,0.0022404876354272,0.0186604944,6.2528,3473600.94192519,0.00334658571428571,0.143438596491228,8.20474213258484e-05,0.00114557035821392,67.0927952783221
"11","MAT_RosCost",79,22,0,3.16,0,0,0.4848,499139.420534499,0,0.143636363636364,4.40758615627704e-05,0,NA
"12","MAT_Sar",1505,414,0.127817289,60.2,0.00264968145435707,0.01688245464,9.2368,5646371.73102354,0.0021232107807309,0.145410628019324,7.33214212102455e-05,0.000851202331348259,78.5770581321309
"13","MAT_SarCra",595,162,0.00731608,23.8,5.35250265664e-05,0.0011705728,3.6752,2173885.84119077,0.000307398319327731,0.146913580246914,7.45209324843216e-05,0.000307265551478712,195.915345996476
"14","MAT_SarCraNeb",175,48,0,7,0,0,1.0576,549461.587187342,0,0.145833333333333,8.7358245088085e-05,0,NA
"15","PAST",6168,2066,14.677768775,246.72,2.17985753172306,1.94599198692,34.2912,32241566.6037388,0.0594916049570363,0.119419167473379,6.40787721450366e-05,0.00583228455136054,19.2149425602522
"16","SC_BajaMat_Sub",3089,956,6.690689328,123.56,0.35851743197467,0.91465321904,17.7648,10808794.091653,0.054149314729686,0.129246861924686,8.84464993868523e-05,0.00451954347406522,16.3590347419697
"17","SC_Med_Sub",2858,874,4.374098587,114.32,0.366022787210431,0.5975534246,16.7616,3284532.60819877,0.0382618840710287,0.130800915331808,0.000266095698918727,0.00513894288246097,26.3247048444489
"18","SC_Secun",3907,1253,9.338894075,156.28,0.98471962734688,1.28616508312,22.2032,7972961.8519755,0.0597574486498592,0.124724660814046,0.0001571561514106,0.00610697020364813,20.0304093792306
"19","SP_Alta_Sub",110,31,0.129304034,4.4,0.00767819120495248,0.01804810544,0.672,140855.240387983,0.0293872804545454,0.141935483870968,0.000220084108440773,0.0195983136800493,130.711975449076
"20","SP_AltaMed",1152,373,8.69044933,46.08,1.79434159517978,1.18053141092,6.4832,2423850.00575436,0.188594820529514,0.123538873994638,0.000153887410159241,0.0273097516250962,28.3820695790593
"21","SP_BajaMed_Sub",5500,1550,13.893247898,220,2.77712809891878,1.82561226808,33.4496,5619495.21760099,0.0631511268090909,0.141935483870968,0.000275825486094409,0.00744253295992495,23.0991358959457
"22","SP_MangPet",497,149,1.581706784,19.88,0.21141819433045,0.2385468592,2.9424,907748.921526312,0.0795627154929578,0.133422818791946,0.000164142304624794,0.0221185882716908,54.4883778085114
"23","SP_MesoBaja",923,328,7.627985279,36.92,1.07077407310474,0.97280717164,4.8528,1378768.0854937,0.206608485346696,0.112560975609756,0.000237893524988687,0.0253856457942451,24.0821985956814
"24","SP_Secun",1511,528,9.596849889,60.44,2.08375661550414,1.26675470384,8.1744,1915718.7034914,0.158783088831899,0.114469696969697,0.000275614576940612,0.0227498779013069,28.0821849572204
